Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1.58%,1.69%,(6.04%),(1.88%),0.00%
Total Revenues,1.58%,1.69%,(6.04%),(1.88%),0.00%
Fuel & Purchased Power,0.51%,(1.82%),(19.19%),(8.07%),0.00%
Operations And Maintenance,(1.62%),3.93%,(1.52%),(4.81%),0.00%
Depreciation & Amortization,6.04%,6.58%,4.19%,8.04%,0.00%
Other Operating Expenses,(2.84%),5.43%,(9.31%),(15.94%),0.00%
Total Operating Expenses,0.36%,2.85%,(6.39%),(3.85%),0.00%
Operating Income,5.52%,(1.86%),(4.91%),4.35%,0.00%
"Interest Expense, Total",(2.36%),(2.56%),-4.99%,(9.97%),0.00%
Interest and Investment Income,(15.00%),(2.94%),0.00%,(12.12%),0.00%
Net Interest Expenses,(4.39%),(3.08%),-5.43%,(12.07%),0.00%
Allow. For Equity Funds Used For Const.,,,(22.22%),14.29%,
Other Non-Operating Inc. (Exp.),60.00%,,-43.24%,(23.81%),0.00%
"EBT, Excl. Unusual Items",6.15%,(4.25%),(3.97%),1.57%,0.00%
"EBT, Incl. Unusual Items",6.15%,(4.25%),(3.97%),1.57%,0.00%
Income Tax Expense,50.79%,(58.85%),(23.21%),(14.84%),0.00%
Earnings From Continuing Operations,(19.73%),55.20%,1.58%,5.16%,0.00%
Net Income to Company,(19.73%),55.20%,1.58%,5.16%,0.00%
Minority Interest,0.00%,0.00%,0.00%,0.00%,0.00%
Net Income,(19.91%),55.83%,1.60%,5.19%,0.00%
NI to Common Incl Extra Items,(19.91%),55.83%,1.60%,5.19%,0.00%
NI to Common Excl. Extra Items,(19.91%),55.83%,1.60%,5.19%,0.00%
Revenue Per Share,1.57%,1.18%,(6.74%),(2.44%),0.00%
Basic EPS,(19.86%),54.76%,0.94%,4.64%,0.00%
Basic EPS - Continuing Ops,(19.86%),54.76%,0.94%,4.64%,0.00%
Basic Weighted Average Shares Outst.,0.00%,0.49%,0.74%,0.57%,0.00%
Diluted EPS,(20.15%),55.14%,0.90%,4.48%,0.00%
Diluted EPS - Continuing Ops,(20.15%),55.14%,0.90%,4.48%,0.00%
Diluted Weighted Average Shares Outst.,0.33%,0.66%,0.53%,0.65%,0.00%
Normalized Basic EPS,6.09%,(4.69%),(4.79%),1.06%,0.00%
Normalized Diluted EPS,5.79%,(4.79%),(4.66%),0.76%,0.00%
Dividend Per Share,3.34%,3.79%,3.78%,4.17%,0.00%
Payout Ratio,29.35%,(32.85%),3.01%,(0.50%),0.00%
EBITDA,4.40%,1.75%,(1.21%),4.92%,0.00%
EBITA,5.52%,(1.86%),(4.91%),4.35%,0.00%
EBIT,5.52%,(1.86%),(4.91%),4.35%,0.00%
Effective Tax Rate,42.03%,(57.03%),(20.03%),(16.14%),0.00%
Normalized Net Income,6.21%,(4.29%),(4.01%),1.59%,0.00%
Interest Capitalized,(6.67%),50.00%,(4.76%),(20.00%),
