Income Statement,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,(9.66%),1.42%,20.16%,15.89%,13.04%
Total Revenues,(9.66%),1.42%,20.16%,15.89%,13.04%
Cost Of Revenues,(11.64%),2.21%,22.30%,16.38%,10.20%
Gross Profit,(4.73%),(0.40%),15.08%,14.66%,20.52%
Selling General & Admin Expenses,(39.75%),3.41%,0.16%,18.89%,5.10%
Total Operating Expenses,(39.75%),3.41%,0.16%,18.89%,5.10%
Operating Income,77.30%,(3.44%),27.79%,11.84%,31.71%
Interest Expense,-32.93%,-18.42%,(137.72%),(26.90%),-7.26%
Interest And Investment Income,208.33%,2.70%,78.95%,(54.41%),(41.46%)
Net Interest Expenses,-33.91%,-18.82%,(139.13%),(28.35%),-6.97%
"EBT, Excl. Unusual Items",132.59%,1.49%,9.15%,6.21%,46.42%
"EBT, Incl. Unusual Items",357.80%,21.41%,(7.51%),16.02%,55.37%
Income Tax Expense,448.92%,(31.45%),25.32%,(8.00%),54.15%
Earnings From Continuing Operations,324.90%,46.06%,(14.70%),23.74%,55.71%
Earnings Of Discontinued Operations,,(85.98%),,,
Net Income to Company,,25.28%,(16.43%),24.09%,55.71%
Minority Interest,-21.62%,-60.92%,-97.06%,"(1,600.00%)",(220.00%)
Net Income,,26.45%,(16.09%),23.85%,55.61%
Preferred Dividend and Other Adjustments,(83.33%),,,,
NI to Common Incl Extra Items,,26.61%,(16.09%),23.85%,55.61%
NI to Common Excl. Extra Items,376.47%,48.01%,(14.34%),23.51%,55.61%
Revenue Per Share,(9.12%),8.47%,9.33%,5.61%,12.65%
Basic EPS,,35.24%,(23.61%),12.68%,55.07%
Basic EPS - Continuing Ops,377.76%,58.55%,(22.23%),12.68%,55.07%
Basic Weighted Average Shares Outst.,(0.58%),(6.48%),9.93%,9.75%,0.34%
Diluted EPS,,35.97%,(23.33%),12.42%,54.29%
Diluted EPS - Continuing Ops,390.42%,58.54%,(21.54%),12.42%,54.29%
Diluted Weighted Average Shares Outst.,(0.57%),(6.56%),9.38%,9.65%,0.44%
Normalized Basic EPS,139.79%,9.47%,(0.22%),(3.62%),45.80%
Normalized Diluted EPS,140.92%,9.17%,(0.04%),(3.35%),45.67%
Dividend Per Share,(10.00%),(5.56%),0.00%,0.00%,14.71%
Payout Ratio,,(34.77%),24.03%,(6.24%),(30.78%)
EBITDA,55.17%,(3.55%),28.09%,12.17%,23.54%
EBITA,73.73%,(3.26%),28.14%,12.13%,30.58%
EBIT,77.30%,(3.44%),27.79%,11.84%,31.71%
EBITDAR,50.71%,(3.92%),28.31%,10.88%,
Effective Tax Rate,19.90%,(43.54%),35.50%,(20.71%),(0.79%)
Normalized Net Income,138.13%,2.23%,9.63%,6.02%,46.30%
Interest Capitalized,(35.90%),(30.00%),(22.86%),144.44%,
Interest on Long-Term Debt,(32.78%),(20.83%),139.39%,30.86%,
R&D Expense From Footnotes,(25.17%),6.05%,18.60%,0.53%,0.53%
