Income Statement,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,4396.0,4845.0,5150.0,4950.0,5537.0,5670.0
Total Revenues,4396.0,4845.0,5150.0,4950.0,5537.0,5670.0
Cost Of Revenues,1354.0,1283.0,1277.0,1322.0,1369.0,1444.0
Gross Profit,3042.0,3562.0,3873.0,3628.0,4168.0,4226.0
Selling General & Admin Expenses,1028.0,1112.0,1110.0,1162.0,1137.0,1220.0
R&D Expenses,1109.0,1205.0,1320.0,1433.0,1559.0,1712.0
Total Operating Expenses,2144.0,2323.0,2439.0,2618.0,2718.0,2954.0
Operating Income,898.0,1239.0,1434.0,1010.0,1450.0,1272.0
Interest Expense,(28.0),(47.0),(44.0),(45.0),(44.0),(45.0)
Interest And Investment Income,15.0,25.0,50.0,88.0,100.0,48.0
Net Interest Expenses,(13.0),(22.0),6.0,43.0,56.0,3.0
Currency Exchange Gains (Loss),1.0,6.0,2.0,41.0,7.0,(9.0)
Other Non Operating Income (Expenses),1.0,2.0,7.0,(1.0),,
"EBT, Excl. Unusual Items",887.0,1225.0,1449.0,1093.0,1513.0,1266.0
"EBT, Incl. Unusual Items",877.0,1210.0,1449.0,1079.0,1508.0,1266.0
Income Tax Expense,(279.0),243.0,406.0,60.0,"(1,531.0)",87.0
Earnings From Continuing Operations,1156.0,967.0,1043.0,1019.0,3039.0,1179.0
Net Income to Company,1156.0,967.0,1043.0,1019.0,3039.0,1179.0
Net Income,1156.0,967.0,1043.0,1019.0,3039.0,1179.0
NI to Common Incl Extra Items,1156.0,967.0,1043.0,1019.0,3039.0,1179.0
NI to Common Excl. Extra Items,1156.0,967.0,1043.0,1019.0,3039.0,1179.0
Revenue Per Share,$14.18,$15.99,$16.72,$16.34,$18.90,$19.60
Basic EPS,$3.73,$3.19,$3.39,$3.36,$10.37,$4.08
Basic EPS - Continuing Ops,$3.73,$3.19,$3.39,$3.36,$10.37,$4.08
Basic Weighted Average Shares Outst.,310.0,303.0,308.0,303.0,293.0,289.3
Diluted EPS,$3.50,$3.08,$3.34,$3.33,$10.30,$4.04
Diluted EPS - Continuing Ops,$3.50,$3.08,$3.34,$3.33,$10.30,$4.04
Diluted Weighted Average Shares Outst.,330.0,314.0,312.0,306.0,295.0,292.0
Normalized Basic EPS,$1.79,$2.53,$2.94,$2.25,$3.23,$2.74
Normalized Diluted EPS,$1.68,$2.44,$2.90,$2.23,$3.21,$2.71
EBITDA,1075.0,1407.0,1568.0,1152.0,1598.0,1431.0
EBITA,952.0,1288.0,1445.0,1037.0,1484.0,1297.0
EBIT,898.0,1239.0,1434.0,1010.0,1450.0,1272.0
EBITDAR,1164.0,1498.0,,,1719.0,
Effective Tax Rate,NM,20.1%,28.0%,5.6%,NM,6.9%
Normalized Net Income,554.4,765.6,905.6,683.1,945.6,791.3
Interest on Long-Term Debt,28.0,47.0,44.0,45.0,44.0,
R&D Expense From Footnotes,1109.0,1205.0,1320.0,1433.0,1559.0,1712.0
Foreign Sales,2489.0,2726.0,5150.0,4950.0,5537.0,
