Income Statement,Apr 2017,Apr 2018,Apr 2019,Apr 2020,TTM
Revenues,(0.99%),7.79%,3.84%,(11.94%),(0.23%)
Total Revenues,(0.99%),7.79%,3.84%,(11.94%),(0.23%)
Cost Of Revenues,(2.12%),3.90%,(0.41%),(18.72%),(1.37%)
Gross Profit,(0.27%),10.26%,6.36%,(8.16%),0.35%
Selling General & Admin Expenses,(8.43%),3.33%,(2.57%),(4.65%),1.47%
R&D Expenses,(9.52%),0.51%,5.62%,2.42%,3.81%
Total Operating Expenses,(8.75%),2.52%,(0.25%),(2.53%),2.19%
Operating Income,60.53%,41.78%,25.85%,(21.30%),(4.88%)
Interest Expense,(6.12%),(19.23%),-6.45%,-5.17%,(25.45%)
Interest And Investment Income,(4.35%),79.55%,11.39%,(45.45%),(77.05%)
Net Interest Expenses,(166.67%),,76.47%,,
Other Non Operating Income (Expenses),75.00%,371.43%,(93.94%),0.00%,
"EBT, Excl. Unusual Items",61.71%,47.96%,25.38%,(24.72%),(13.33%)
"EBT, Incl. Unusual Items",80.00%,93.08%,5.75%,(25.55%),(28.01%)
Income Tax Expense,20.69%,673.57%,(90.86%),26.26%,211.86%
Earnings From Continuing Operations,110.04%,(75.88%),907.76%,(29.94%),(41.90%)
Net Income to Company,110.04%,(75.88%),907.76%,(29.94%),(41.90%)
Net Income,110.04%,(75.88%),907.76%,(29.94%),(41.90%)
NI to Common Incl Extra Items,110.04%,(75.88%),907.76%,(29.94%),(41.90%)
NI to Common Excl. Extra Items,110.04%,(75.88%),907.76%,(29.94%),(41.90%)
Revenue Per Share,5.87%,10.59%,9.54%,(2.77%),6.18%
Basic EPS,124.24%,(75.27%),970.32%,(22.59%),(38.17%)
Basic EPS - Continuing Ops,124.24%,(75.27%),970.32%,(22.59%),(38.17%)
Basic Weighted Average Shares Outst.,(6.46%),(2.55%),(5.22%),(9.45%),(6.04%)
Diluted EPS,122.08%,(75.44%),973.81%,(21.95%),(38.10%)
Diluted EPS - Continuing Ops,122.08%,(75.44%),973.81%,(21.95%),(38.10%)
Diluted Weighted Average Shares Outst.,(5.39%),(1.78%),(6.16%),(10.04%),(5.86%)
Normalized Basic EPS,73.20%,51.51%,32.16%,(16.95%),(7.76%)
Normalized Diluted EPS,71.47%,51.12%,33.70%,(16.37%),(7.93%)
Dividend Per Share,5.56%,5.26%,100.00%,20.00%,4.35%
Payout Ratio,(52.84%),326.65%,(81.31%),55.50%,70.13%
EBITDA,36.29%,28.14%,21.96%,(19.27%),(3.57%)
EBITA,62.77%,40.32%,24.66%,(21.96%),(4.25%)
EBIT,60.53%,41.78%,25.85%,(21.30%),(4.88%)
EBITDAR,32.00%,,,,
Effective Tax Rate,(32.94%),300.73%,(91.36%),69.55%,333.24%
Normalized Net Income,61.71%,47.96%,25.38%,(24.72%),(13.33%)
R&D Expense From Footnotes,(6.16%),1.36%,5.37%,2.67%,4.21%
Foreign Sales,(0.82%),9.78%,(0.36%),(6.67%),
