Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,15516.0,15855.0,16580.0,16383.0,13800.0,13800.0
Total Revenues,15516.0,15855.0,16580.0,16383.0,13800.0,13800.0
Cost Of Revenues,9876.0,9789.0,10258.0,8383.0,7720.0,7720.0
Gross Profit,5640.0,6066.0,6322.0,8000.0,6080.0,6080.0
Selling General & Admin Expenses,4147.0,4573.0,4864.0,6879.0,6518.0,6518.0
R&D Expenses,46.0,51.0,50.0,41.0,46.0,46.0
Total Operating Expenses,4193.0,4624.0,4914.0,6920.0,6564.0,6564.0
Operating Income,1447.0,1442.0,1408.0,1080.0,(484.0),(484.0)
Interest Expense,(75.0),(74.0),(73.0),(76.0),(192.0),(192.0)
Interest And Investment Income,8.0,19.0,33.0,30.0,10.0,10.0
Net Interest Expenses,(67.0),(55.0),(40.0),(46.0),(182.0),(182.0)
Currency Exchange Gains (Loss),(8.0),1.0,2.0,5.0,8.0,8.0
Other Non Operating Income (Expenses),,,(34.0),(4.0),15.0,15.0
"EBT, Excl. Unusual Items",1372.0,1388.0,1336.0,1035.0,(643.0),(643.0)
"EBT, Incl. Unusual Items",1124.0,1424.0,1322.0,528.0,"(1,102.0)","(1,102.0)"
Income Tax Expense,448.0,576.0,319.0,177.0,(437.0),(437.0)
Earnings From Continuing Operations,676.0,848.0,1003.0,351.0,(665.0),(665.0)
Net Income to Company,676.0,848.0,1003.0,351.0,(665.0),(665.0)
Net Income,676.0,848.0,1003.0,351.0,(665.0),(665.0)
NI to Common Incl Extra Items,676.0,848.0,1003.0,351.0,(665.0),(665.0)
NI to Common Excl. Extra Items,676.0,848.0,1003.0,351.0,(665.0),(665.0)
Revenue Per Share,$38.89,$40.34,$43.06,$43.57,$36.90,$36.90
Basic EPS,$1.69,$2.16,$2.61,$0.93,($1.78),($1.78)
Basic EPS - Continuing Ops,$1.69,$2.16,$2.61,$0.93,($1.78),($1.78)
Basic Weighted Average Shares Outst.,399.0,393.0,385.0,376.0,374.0,374.0
Diluted EPS,$1.69,$2.14,$2.59,$0.93,($1.78),($1.78)
Diluted EPS - Continuing Ops,$1.69,$2.14,$2.59,$0.93,($1.78),($1.78)
Diluted Weighted Average Shares Outst.,400.0,396.0,388.0,378.0,374.0,374.0
Normalized Basic EPS,$2.15,$2.21,$2.17,$1.72,($1.07),($1.07)
Normalized Diluted EPS,$2.14,$2.19,$2.15,$1.71,($1.07),($1.07)
Dividend Per Share,$0.92,$0.92,$0.97,$0.97,$0.24,$0.24
Payout Ratio,54.29%,42.57%,37.19%,103.70%,,
EBITDA,2040.0,2001.0,1986.0,1637.0,23.0,23.0
EBITA,1447.0,1442.0,1408.0,1080.0,(484.0),(484.0)
EBIT,1447.0,1442.0,1408.0,1080.0,(484.0),(484.0)
EBITDAR,3351.0,,,3482.0,1478.0,1478.0
Effective Tax Rate,39.9%,40.4%,24.1%,33.5%,NM,NM
Normalized Net Income,857.5,867.5,835.0,646.9,(401.9),(401.9)
Interest Capitalized,9.0,9.0,10.0,7.0,9.0,9.0
R&D Expense From Footnotes,46.0,51.0,50.0,41.0,46.0,46.0
Foreign Sales,3527.0,3287.0,3240.0,2985.0,2150.0,2150.0
