Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.44%,2.96%,3.63%,(1.53%),0.73%
Total Revenues,6.44%,2.96%,3.63%,(1.53%),0.73%
Cost Of Revenues,6.30%,2.53%,2.50%,(1.47%),0.16%
Gross Profit,6.66%,3.68%,5.47%,(1.64%),1.64%
Selling General & Admin Expenses,4.11%,(1.02%),12.25%,(3.25%),(2.19%)
Depreciation & Amortization,5.76%,7.34%,6.57%,6.16%,8.14%
Total Operating Expenses,4.91%,3.02%,9.39%,1.37%,2.92%
Operating Income,8.62%,4.39%,1.28%,(5.13%),0.11%
Interest Expense,-4.42%,(1.63%),(9.89%),(3.41%),-14.58%
Interest And Investment Income,(44.44%),,,,
Net Interest Expenses,-3.46%,(3.03%),(9.89%),(3.41%),-3.98%
Other Non Operating Income (Expenses),(75.00%),(33.33%),0.00%,150.00%,50.00%
"EBT, Excl. Unusual Items",10.48%,5.93%,(0.69%),(7.20%),1.93%
"EBT, Incl. Unusual Items",20.25%,8.44%,(11.41%),(10.07%),(3.61%)
Income Tax Expense,(62.31%),87.19%,(4.19%),(8.53%),13.74%
Earnings From Continuing Operations,65.17%,(1.33%),(13.10%),(10.47%),(7.66%)
Net Income to Company,65.17%,(1.33%),(13.10%),(10.47%),(7.66%)
Net Income,64.89%,(1.23%),(13.25%),(10.42%),(7.60%)
NI to Common Incl Extra Items,64.89%,(1.23%),(13.25%),(10.42%),(7.60%)
NI to Common Excl. Extra Items,64.89%,(1.23%),(13.25%),(10.42%),(7.60%)
Revenue Per Share,7.56%,5.29%,4.72%,(1.16%),1.17%
Basic EPS,66.35%,1.04%,(12.40%),(10.01%),(7.20%)
Basic EPS - Continuing Ops,66.35%,1.04%,(12.40%),(10.01%),(7.20%)
Basic Weighted Average Shares Outst.,(1.06%),(2.21%),(1.05%),(0.38%),(0.44%)
Diluted EPS,66.42%,0.91%,(12.13%),(9.97%),(7.34%)
Diluted EPS - Continuing Ops,66.42%,0.91%,(12.13%),(9.97%),(7.34%)
Diluted Weighted Average Shares Outst.,(1.03%),(2.20%),(1.09%),(0.56%),(0.66%)
Normalized Basic EPS,11.51%,8.55%,0.06%,(6.73%),2.45%
Normalized Diluted EPS,11.52%,8.47%,0.27%,(6.64%),2.68%
Dividend Per Share,3.66%,9.41%,10.22%,6.34%,6.12%
Payout Ratio,(37.35%),8.27%,25.91%,18.12%,14.19%
EBITDA,7.62%,5.41%,3.13%,(1.04%),3.09%
EBITA,8.12%,4.42%,1.41%,(4.90%),0.21%
EBIT,8.62%,4.39%,1.28%,(5.13%),0.11%
EBITDAR,7.61%,5.11%,3.11%,(0.83%),
Effective Tax Rate,(68.66%),72.54%,8.11%,1.71%,18.00%
Normalized Net Income,10.31%,6.08%,(0.89%),(7.13%),2.01%
Interest Capitalized,66.67%,6.67%,31.25%,(23.81%),
Interest on Long-Term Debt,(2.79%),4.44%,21.25%,2.06%,
Foreign Sales,3.31%,4.18%,0.94%,(5.44%),
