Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,6521.7,6290.5,6189.2,5646.1,5538.8,6144.3
Other Revenues,96.3,101.7,15.3,23.3,27.7,28.1
Total Revenues,6618.0,6392.2,6204.5,5669.4,5566.5,6172.4
Cost Of Revenues,3570.8,3464.6,3422.4,3285.1,3326.4,3679.5
Gross Profit,3047.2,2927.6,2782.1,2384.3,2240.1,2492.9
Selling General & Admin Expenses,653.3,653.7,717.2,746.9,773.8,880.5
Total Operating Expenses,653.3,653.7,719.0,761.6,827.8,987.9
Operating Income,2393.9,2273.9,2063.1,1622.7,1412.3,1505.0
Interest Expense,(49.9),(51.5),(46.3),(22.4),(33.4),(57.0)
Interest And Investment Income,75.8,88.8,187.2,206.8,133.4,186.3
Net Interest Expenses,25.9,37.3,140.9,184.4,100.0,129.3
Currency Exchange Gains (Loss),(2.9),(16.0),0.6,13.1,(22.3),(30.3)
Other Non Operating Income (Expenses),,13.8,21.7,20.4,35.6,35.6
"EBT, Excl. Unusual Items",2473.6,2416.9,2270.7,1830.2,1427.5,1540.9
"EBT, Incl. Unusual Items",2499.8,2549.1,2215.2,1647.8,1017.9,1109.6
Income Tax Expense,742.1,759.4,1472.5,442.3,230.8,275.8
Earnings From Continuing Operations,1757.7,1789.7,742.7,1205.5,787.1,833.8
Net Income to Company,1757.7,1789.7,742.7,1205.5,787.1,833.8
Minority Interest,(31.0),(93.0),21.7,(9.8),11.8,(40.1)
Net Income,1726.7,1696.7,764.4,1195.7,798.9,793.7
Preferred Dividend and Other Adjustments,10.9,12.4,17.6,10.9,15.3,25.7
NI to Common Incl Extra Items,1715.8,1684.3,746.8,1184.8,783.6,768.0
NI to Common Excl. Extra Items,1715.8,1684.3,746.8,1184.8,783.6,768.0
Revenue Per Share,$11.34,$11.44,$11.55,$11.26,$11.32,$12.57
Basic EPS,$2.94,$3.01,$1.39,$2.35,$1.59,$1.56
Basic EPS - Continuing Ops,$2.94,$3.01,$1.39,$2.35,$1.59,$1.56
Basic Weighted Average Shares Outst.,583.8,558.8,537.4,503.6,491.9,491.0
Diluted EPS,$2.94,$3.01,$1.39,$2.35,$1.59,$1.56
Diluted EPS - Continuing Ops,$2.94,$3.01,$1.39,$2.35,$1.59,$1.56
Diluted Weighted Average Shares Outst.,583.8,559.1,538.0,504.3,492.4,491.5
Normalized Basic EPS,$2.60,$2.54,$2.68,$2.25,$1.84,$1.88
Normalized Diluted EPS,$2.60,$2.54,$2.68,$2.25,$1.84,$1.88
Dividend Per Share,$0.72,$0.80,$0.92,$1.04,$1.08,$1.09
Payout Ratio,23.67%,26.00%,65.00%,43.37%,66.74%,67.71%
EBITDA,2433.1,2305.1,2139.5,1716.1,1540.8,1686.7
EBITA,2404.3,2277.8,2064.9,1637.4,1466.3,1612.4
EBIT,2393.9,2273.9,2063.1,1622.7,1412.3,1505.0
EBITDAR,2565.6,2426.0,2261.5,1849.7,1688.7,
Effective Tax Rate,29.7%,29.8%,66.5%,26.8%,22.7%,24.9%
Normalized Net Income,1515.0,1417.6,1440.9,1134.1,904.0,923.0
Foreign Sales,2554.4,2521.6,2597.0,2273.2,1971.7,
