Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Total Interest and Dividend Income,14.42%,23.86%,13.94%,(16.56%),(24.20%)
Total Interest Expense,24.83%,24.81%,17.70%,(39.43%),(46.91%)
Net Interest Income,10.90%,23.50%,12.49%,(7.37%),(15.81%)
Commission and Fees,3.53%,8.09%,7.00%,(18.74%),(20.03%)
Other Revenue,(13.17%),(6.66%),5.15%,(38.88%),(43.36%)
Revenue Before Loan Losses,3.91%,10.12%,7.98%,(17.15%),(19.91%)
Provision For Loan Losses,36.16%,21.45%,6.59%,32.38%,(73.37%)
Total Revenues,1.94%,9.19%,8.10%,(21.57%),(12.36%)
Salaries and Other Empl. Benefits,7.57%,0.65%,12.59%,(3.27%),(0.19%)
Cost of Services Provided,4.01%,13.42%,10.20%,(18.77%),(19.82%)
Other Operating Expenses,(10.37%),4.92%,3.87%,(11.20%),(8.13%)
Total Operating Expenses,1.46%,9.22%,9.44%,(14.50%),(14.10%)
Operating Income,3.66%,9.12%,3.41%,(47.90%),(4.53%)
"EBT, Excl. Unusual Items",3.22%,8.77%,3.78%,(49.03%),(6.27%)
"EBT, Incl. Unusual Items",(7.67%),9.39%,3.78%,(49.03%),(1.24%)
Income Tax Expense,75.37%,(74.32%),39.05%,(30.48%),36.15%
Earnings From Continuing Operations,(48.87%),151.86%,(2.34%),(53.62%),(10.28%)
Net Income to Company,(48.87%),151.86%,(2.34%),(53.62%),(10.28%)
Net Income,(48.87%),151.86%,(2.34%),(53.62%),(10.28%)
Pref. Dividends and Other Adj.,(17.07%),31.37%,(4.48%),(22.66%),(27.69%)
NI to Common Incl Extra Items,(49.62%),156.50%,(2.30%),(54.22%),(9.86%)
NI to Common Excl. Extra Items,(49.62%),156.50%,(2.30%),(54.22%),(9.86%)
Revenue Per Share,7.72%,12.64%,11.75%,(19.34%),(10.69%)
Basic EPS,(46.77%),164.29%,0.99%,(52.92%),(8.15%)
Basic EPS - Continuing Ops,(46.77%),164.29%,0.99%,(52.92%),(8.15%)
Basic Weighted Average Shares Outst.,(5.36%),(3.06%),(3.27%),(2.78%),(1.86%)
Diluted EPS,(46.70%),164.55%,1.01%,(52.82%),(7.99%)
Diluted EPS - Continuing Ops,(46.70%),164.55%,1.01%,(52.82%),(7.99%)
Diluted Weighted Average Shares Outst.,(5.24%),(3.05%),(3.38%),(2.89%),(1.95%)
Normalized Basic EPS,8.97%,12.10%,7.29%,(47.56%),(4.49%)
Normalized Diluted EPS,8.83%,12.13%,7.40%,(47.54%),(4.41%)
Dividend Per Share,9.84%,10.45%,10.81%,4.88%,2.38%
Payout Ratio,102.69%,(57.97%),9.98%,123.47%,11.76%
Effective Tax Rate,89.96%,(76.53%),33.96%,36.42%,37.87%
Normalized Net Income,3.22%,8.77%,3.78%,(49.03%),(6.27%)
Foreign Sales,7.51%,7.26%,4.56%,(24.52%),
