Income Statement,Dec 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,(23.87%),36.90%,(10.66%),2.16%,(13.01%)
Total Revenues,(23.87%),36.90%,(10.66%),2.16%,(13.01%)
Cost Of Revenues,(30.93%),45.81%,(17.20%),0.63%,(6.21%)
Gross Profit,(16.66%),29.37%,(4.44%),3.42%,(18.15%)
Selling General & Admin Expenses,(6.96%),24.32%,(4.57%),5.27%,(7.82%)
Total Operating Expenses,(6.96%),24.32%,(4.57%),5.27%,(7.82%)
Operating Income,(40.87%),49.22%,(4.03%),(2.61%),(52.42%)
Interest Expense,(7.66%),(0.40%),(5.23%),-14.57%,(39.34%)
Interest And Investment Income,41.70%,8.52%,6.36%,32.38%,(54.70%)
Net Interest Expenses,(4.00%),-0.78%,(5.05%),-22.17%,(74.27%)
Currency Exchange Gains (Loss),,(52.89%),,"2,802.54%",(59.18%)
Other Non Operating Income (Expenses),,(23.96%),,"(1,214.05%)",(148.57%)
"EBT, Excl. Unusual Items",(43.31%),54.06%,(5.12%),(5.60%),(62.85%)
"EBT, Incl. Unusual Items",(38.67%),62.26%,(18.78%),(29.96%),
Income Tax Expense,152.50%,23.41%,(73.83%),(41.59%),"1,651.33%"
Earnings From Continuing Operations,(75.15%),137.59%,36.66%,(27.72%),
Earnings Of Discontinued Operations,,(93.76%),"1,698.87%",(87.08%),(87.50%)
Net Income to Company,(42.75%),7.10%,91.30%,(46.07%),
Net Income,(42.75%),7.10%,91.30%,(46.07%),
NI to Common Incl Extra Items,(42.75%),7.10%,91.30%,(46.07%),
NI to Common Excl. Extra Items,(75.15%),137.59%,36.66%,(27.72%),
Revenue Per Share,(20.65%),38.33%,(10.69%),2.10%,(11.52%)
Basic EPS,(40.30%),8.25%,90.89%,(46.13%),
Basic EPS - Continuing Ops,(74.07%),140.64%,36.80%,(27.68%),
Basic Weighted Average Shares Outst.,(4.06%),(1.05%),0.04%,0.06%,(1.69%)
Diluted EPS,(40.41%),8.42%,90.44%,(45.99%),
Diluted EPS - Continuing Ops,(74.22%),141.49%,36.48%,(27.65%),
Diluted Weighted Average Shares Outst.,(4.39%),(0.91%),0.15%,(0.14%),(2.88%)
Normalized Basic EPS,(40.89%),55.96%,(5.01%),(5.76%),(62.21%)
Normalized Diluted EPS,(40.73%),55.25%,(5.35%),(5.37%),(61.75%)
Dividend Per Share,12.42%,2.33%,10.23%,(2.06%),0.00%
Payout Ratio,88.05%,(1.06%),(44.73%),80.96%,
EBITDA,(36.02%),43.03%,(5.02%),(1.44%),(43.31%)
EBITA,(39.96%),49.09%,(3.93%),(2.71%),(50.78%)
EBIT,(40.87%),49.22%,(4.03%),(2.61%),(52.42%)
EBITDAR,(30.91%),,,6.51%,
Effective Tax Rate,311.83%,(23.95%),(67.78%),(16.61%),
Normalized Net Income,(43.31%),54.06%,(5.12%),(5.60%),(62.85%)
Foreign Sales,(6.28%),,,0.97%,
