Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,6.07%,2.12%,10.25%,10.55%,9.73%
Total Interest And Dividend Income,11.30%,11.88%,3.61%,(12.74%),(12.87%)
Gain (Loss) on Sale of Investments,-71.30%,,,,
Other Revenues,4.29%,2.39%,58.49%,86.87%,54.96%
Total Revenues,6.11%,2.27%,13.16%,16.94%,14.17%
Policy Benefits,8.08%,(0.47%),13.76%,7.65%,7.46%
Amort. of Goodwill and Intangibles,(11.98%),111.83%,(5.59%),6.80%,7.19%
Selling General & Admin Expenses,0.72%,10.83%,9.53%,64.12%,43.00%
Total Operating Expenses,6.87%,1.43%,12.99%,16.54%,13.69%
Operating Income,(5.36%),16.50%,15.71%,22.70%,21.19%
"Interest Expense, Total",(3.60%),-1.20%,(0.81%),(5.37%),(4.12%)
"EBT, Excl. Unusual Items",(6.78%),19.62%,17.88%,24.85%,23.28%
Restructuring Charges,,,,,0.00%
Legal Settlements,,,,,0.00%
Other Unusual Items,,-96.10%,-81.82%,"(1,700.00%)",(775.00%)
"EBT, Incl. Unusual Items",(12.97%),27.85%,18.09%,4.23%,3.20%
Income Tax Expense,(94.20%),989.26%,(10.62%),41.43%,19.19%
Earnings From Continuing Operations,55.59%,(2.42%),28.19%,(4.89%),(1.32%)
Net Income to Company,55.59%,(2.42%),28.19%,(4.89%),(1.32%)
Net Income,55.59%,(2.42%),28.19%,(4.89%),(1.36%)
NI to Common Incl Extra Items,55.59%,(2.42%),28.19%,(4.89%),(1.36%)
NI to Common Excl. Extra Items,55.59%,(2.42%),28.19%,(4.89%),(1.36%)
Revenue Per Share,6.68%,3.61%,14.31%,19.14%,16.63%
Basic EPS,56.34%,(1.16%),29.48%,(3.09%),0.77%
Basic EPS - Continuing Ops,56.34%,(1.16%),29.48%,(3.09%),0.77%
Basic Weighted Average Shares Outst.,(0.53%),(1.30%),(1.01%),(1.84%),(2.11%)
Diluted EPS,55.81%,(1.11%),30.16%,(2.65%),1.19%
Diluted EPS - Continuing Ops,55.81%,(1.11%),30.16%,(2.65%),1.19%
Diluted Weighted Average Shares Outst.,(0.11%),(1.34%),(1.48%),(2.31%),(2.54%)
Normalized Basic EPS,(6.30%),21.17%,19.07%,27.15%,25.89%
Normalized Diluted EPS,(6.69%),21.24%,19.59%,27.76%,26.44%
Dividend Per Share,3.85%,11.11%,6.67%,18.75%,18.81%
Payout Ratio,(33.75%),12.77%,(17.75%),22.60%,17.92%
EBITDA,(5.40%),21.69%,14.34%,21.40%,20.52%
EBITA,(5.60%),19.62%,14.48%,21.94%,20.54%
EBIT,(5.36%),16.50%,15.71%,22.70%,21.19%
EBITDAR,(5.24%),20.93%,14.21%,24.05%,
Effective Tax Rate,(93.33%),752.67%,(24.33%),35.71%,15.49%
Normalized Net Income,(6.78%),19.62%,17.88%,24.85%,23.23%
Interest on Long-Term Debt,0.00%,(29.41%),(25.00%),(33.33%),
