Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6286.4,7011.3,8202.0,8225.4,8598.9,8598.9
Total Revenues,6286.4,7011.3,8202.0,8225.4,8598.9,8598.9
Cost Of Revenues,4246.4,4701.4,5547.1,5609.4,5934.8,5934.8
Gross Profit,2040.0,2309.9,2654.9,2616.0,2664.1,2664.1
Selling General & Admin Expenses,647.3,699.5,746.0,742.1,760.3,760.3
R&D Expenses,166.1,193.7,220.9,234.2,260.7,260.7
Total Operating Expenses,813.4,893.2,966.9,976.3,1021.0,1021.0
Operating Income,1226.6,1416.7,1688.0,1639.7,1643.1,1643.1
Interest Expense,(72.6),(92.3),(101.7),(117.6),(115.4),(115.4)
Net Interest Expenses,(72.6),(92.3),(101.7),(117.6),(115.4),(115.4)
Other Non Operating Income (Expenses),23.7,32.0,10.6,13.5,10.4,10.4
"EBT, Excl. Unusual Items",1177.7,1356.4,1596.9,1535.6,1538.1,1538.1
"EBT, Incl. Unusual Items",1141.1,1352.4,1588.4,1495.9,1526.6,1526.6
Income Tax Expense,308.5,691.7,371.5,331.9,313.3,313.3
Earnings From Continuing Operations,832.6,660.7,1216.9,1164.0,1213.3,1213.3
Net Income to Company,832.6,660.7,1216.9,1164.0,1213.3,1213.3
Minority Interest,(9.7),(10.2),(11.9),(9.0),(9.9),(9.9)
Net Income,822.9,650.5,1205.0,1155.0,1203.4,1203.4
NI to Common Incl Extra Items,822.9,650.5,1205.0,1155.0,1203.4,1203.4
NI to Common Excl. Extra Items,822.9,650.5,1205.0,1155.0,1203.4,1203.4
Revenue Per Share,$10.20,$11.47,$13.62,$13.82,$14.43,$14.43
Basic EPS,$1.33,$1.06,$2.00,$1.94,$2.02,$2.02
Basic EPS - Continuing Ops,$1.33,$1.06,$2.00,$1.94,$2.02,$2.02
Basic Weighted Average Shares Outst.,616.6,611.4,602.4,595.0,596.0,596.0
Diluted EPS,$1.31,$1.03,$1.93,$1.88,$1.96,$1.96
Diluted EPS - Continuing Ops,$1.31,$1.03,$1.93,$1.88,$1.96,$1.96
Diluted Weighted Average Shares Outst.,630.4,633.0,625.2,615.8,615.0,615.0
Normalized Basic EPS,$1.18,$1.37,$1.64,$1.60,$1.60,$1.60
Normalized Diluted EPS,$1.15,$1.32,$1.58,$1.54,$1.55,$1.55
Dividend Per Share,$0.29,$0.35,$0.44,$0.48,$0.52,$0.52
Payout Ratio,20.99%,31.51%,21.05%,24.20%,24.73%,24.73%
EBITDA,1443.6,1643.5,1987.7,1951.8,1951.2,1951.2
EBITA,1281.2,1465.3,1734.9,1707.0,1692.7,1692.7
EBIT,1226.6,1416.7,1688.0,1639.7,1643.1,1643.1
EBITDAR,1494.1,1702.0,2074.9,2049.4,2049.9,2049.9
Effective Tax Rate,27.0%,51.1%,23.4%,22.2%,20.5%,20.5%
Normalized Net Income,726.4,837.6,986.2,950.8,951.4,951.4
Interest on Long-Term Debt,72.6,92.3,101.7,117.6,115.4,115.4
R&D Expense From Footnotes,166.1,193.7,220.9,234.2,260.7,260.7
Foreign Sales,4545.7,5032.9,5960.6,5700.7,6104.9,6104.9
