Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.66%,15.09%,7.41%,(6.00%),0.00%
Total Revenues,5.66%,15.09%,7.41%,(6.00%),0.00%
Cost Of Revenues,7.07%,13.65%,3.55%,(4.11%),0.00%
Gross Profit,4.16%,16.68%,11.56%,(7.88%),0.00%
Selling General & Admin Expenses,(2.00%),20.43%,12.38%,(8.53%),0.00%
R&D Expenses,2.71%,12.15%,7.85%,(0.15%),0.00%
Total Operating Expenses,1.98%,18.02%,10.78%,(4.82%),0.00%
Operating Income,7.06%,14.98%,12.57%,(11.81%),0.00%
Interest Expense,-4.02%,(11.63%),-1.25%,-1.69%,0.00%
Interest And Investment Income,(30.00%),28.57%,(5.56%),(23.53%),0.00%
Net Interest Expenses,-1.47%,(10.45%),-0.90%,0.00%,0.00%
Currency Exchange Gains (Loss),(45.45%),(137.50%),-21.05%,-36.67%,0.00%
Other Non Operating Income (Expenses),(22.22%),,,(88.89%),0.00%
"EBT, Excl. Unusual Items",7.65%,8.53%,21.93%,(13.49%),0.00%
"EBT, Incl. Unusual Items",27.49%,2.42%,(9.17%),17.28%,0.00%
Income Tax Expense,335.11%,(89.16%),(2.26%),70.00%,0.00%
Earnings From Continuing Operations,,,(10.11%),9.41%,0.00%
Net Income to Company,,,(10.11%),9.41%,0.00%
Minority Interest,(100.00%),-25.00%,0.00%,(33.33%),0.00%
Net Income,,,(10.14%),9.33%,0.00%
NI to Common Incl Extra Items,,,(10.14%),9.33%,0.00%
NI to Common Excl. Extra Items,,,(10.14%),9.33%,0.00%
Revenue Per Share,10.01%,15.43%,4.69%,(7.88%),0.00%
Basic EPS,,,(12.44%),7.15%,0.00%
Basic EPS - Continuing Ops,,,(12.44%),7.15%,0.00%
Basic Weighted Average Shares Outst.,(3.95%),(0.31%),2.59%,2.04%,0.00%
Diluted EPS,,,(11.92%),10.10%,0.00%
Diluted EPS - Continuing Ops,,,(11.92%),10.10%,0.00%
Diluted Weighted Average Shares Outst.,(5.89%),5.59%,2.09%,(0.85%),0.00%
Normalized Basic EPS,11.86%,8.94%,19.05%,(15.34%),0.00%
Normalized Diluted EPS,13.94%,2.86%,19.60%,(12.96%),0.00%
Dividend Per Share,13.53%,10.36%,10.33%,11.91%,0.00%
Payout Ratio,,,25.15%,5.23%,0.00%
EBITDA,8.82%,12.93%,11.98%,(8.91%),0.00%
EBITA,9.26%,15.95%,12.36%,(10.18%),0.00%
EBIT,7.06%,14.98%,12.57%,(11.81%),0.00%
EBITDAR,8.98%,13.04%,14.33%,(8.38%),
Effective Tax Rate,241.32%,(89.42%),7.60%,44.92%,0.00%
Normalized Net Income,7.36%,8.72%,22.02%,(13.64%),0.00%
Interest on Long-Term Debt,(4.44%),11.63%,(1.25%),(1.69%),
R&D Expense From Footnotes,2.71%,12.15%,7.85%,(0.15%),0.00%
Foreign Sales,(67.27%),16.32%,2.23%,3.33%,
