Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,21.87%,(1.68%),9.24%,36.01%,0.00%
Total Revenues,21.87%,(1.68%),9.24%,36.01%,0.00%
Cost Of Revenues,15.17%,(3.80%),8.49%,39.85%,0.00%
Gross Profit,27.42%,(0.09%),9.79%,33.28%,0.00%
Selling General & Admin Expenses,3.41%,12.84%,15.06%,6.65%,0.00%
R&D Expenses,12.54%,(1.89%),7.07%,16.15%,0.00%
Other Operating Expense/(Income),-11.76%,,(37.94%),131.81%,0.00%
Total Operating Expenses,3.57%,7.09%,10.99%,9.07%,0.00%
Operating Income,79.64%,(9.15%),8.00%,70.31%,0.00%
Interest Expense,(495.63%),(0.54%),(2.04%),(8.81%),0.00%
Interest And Investment Income,91.53%,14.90%,(16.95%),(64.79%),0.00%
Net Interest Expenses,,-65.73%,(295.92%),(247.73%),0.00%
Currency Exchange Gains (Loss),(163.34%),(176.51%),-10.77%,(40.25%),0.00%
Other Non Operating Income (Expenses),(52.31%),"(1,047.66%)",-99.57%,,0.00%
"EBT, Excl. Unusual Items",74.88%,(10.20%),8.50%,68.83%,0.00%
"EBT, Incl. Unusual Items",,(10.80%),12.39%,71.37%,0.00%
Income Tax Expense,,(93.99%),263.90%,100.45%,0.00%
Earnings From Continuing Operations,,75.32%,3.47%,67.74%,0.00%
Net Income to Company,,75.32%,3.47%,67.74%,0.00%
Net Income,,75.32%,3.47%,67.74%,0.00%
NI to Common Incl Extra Items,,75.32%,3.47%,67.74%,0.00%
NI to Common Excl. Extra Items,,75.32%,3.47%,67.74%,0.00%
Revenue Per Share,24.71%,3.74%,20.34%,39.50%,0.00%
Basic EPS,,85.18%,13.82%,72.28%,0.00%
Basic EPS - Continuing Ops,,85.18%,13.82%,72.28%,0.00%
Basic Weighted Average Shares Outst.,(2.23%),(5.25%),(9.19%),(2.53%),0.00%
Diluted EPS,,83.59%,10.64%,64.62%,0.00%
Diluted EPS - Continuing Ops,,83.59%,10.64%,64.62%,0.00%
Diluted Weighted Average Shares Outst.,(0.46%),(4.48%),(6.83%),2.00%,0.00%
Normalized Basic EPS,79.21%,(4.97%),19.22%,72.98%,0.00%
Normalized Diluted EPS,76.04%,(5.72%),16.12%,65.66%,0.00%
Dividend Per Share,16.67%,28.57%,0.00%,11.11%,0.00%
Payout Ratio,,(30.76%),(11.99%),(35.33%),0.00%
EBITDA,54.07%,(6.83%),7.73%,58.20%,0.00%
EBITA,63.54%,(7.83%),8.06%,63.71%,0.00%
EBIT,79.64%,(9.15%),8.00%,70.31%,0.00%
EBITDAR,,,,55.60%,
Effective Tax Rate,,(93.27%),224.25%,16.96%,0.00%
Normalized Net Income,74.88%,(10.20%),8.50%,68.83%,0.00%
Interest on Long-Term Debt,495.63%,0.54%,2.04%,8.81%,
R&D Expense From Footnotes,5.18%,(1.89%),7.07%,16.15%,0.00%
Foreign Sales,23.04%,(3.51%),7.92%,42.71%,
