Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,1140.5,1164.0,1241.8,1255.6,1458.4,1531.4
Total Revenues,1140.5,1164.0,1241.8,1255.6,1458.4,1531.4
Cost Of Revenues,325.7,328.5,326.5,325.4,334.3,333.7
Gross Profit,814.9,835.5,915.3,930.3,1124.1,1197.7
Selling General & Admin Expenses,509.6,517.0,556.7,542.1,587.2,612.5
R&D Expenses,229.3,236.0,249.8,246.9,256.6,262.1
Total Operating Expenses,772.1,785.1,837.8,812.8,872.5,903.0
Operating Income,42.8,50.4,77.5,117.4,251.7,294.7
Interest Expense,(29.9),(42.4),(41.7),(43.0),(76.4),(75.8)
Interest And Investment Income,3.4,3.2,,4.1,3.8,3.5
Net Interest Expenses,(26.4),(39.2),(41.7),(38.9),(72.6),(72.3)
Currency Exchange Gains (Loss),(1.9),(5.7),(7.0),(3.2),(1.7),(3.5)
Other Non Operating Income (Expenses),(1.8),(1.1),4.1,(0.8),(0.8),(0.8)
"EBT, Excl. Unusual Items",12.6,4.4,32.9,74.5,176.5,218.0
"EBT, Incl. Unusual Items",(67.2),(1.4),28.7,20.3,134.7,193.1
Income Tax Expense,(12.7),(7.6),(23.3),47.8,4.0,74.3
Earnings From Continuing Operations,(54.5),6.2,52.0,(27.5),130.7,118.8
Net Income to Company,(54.5),6.2,52.0,(27.5),130.7,118.8
Net Income,(54.5),6.2,52.0,(27.5),130.7,118.8
NI to Common Incl Extra Items,(54.5),6.2,52.0,(27.5),130.7,118.8
NI to Common Excl. Extra Items,(54.5),6.2,52.0,(27.5),130.7,118.8
Revenue Per Share,$9.95,$10.08,$10.67,$10.67,$12.61,$13.21
Basic EPS,($0.48),$0.05,$0.45,($0.23),$1.13,$1.02
Basic EPS - Continuing Ops,($0.48),$0.05,$0.45,($0.23),$1.13,$1.02
Basic Weighted Average Shares Outst.,114.6,115.5,116.4,117.7,115.7,116.0
Diluted EPS,($0.48),$0.05,$0.44,($0.23),$1.12,$1.01
Diluted EPS - Continuing Ops,($0.48),$0.05,$0.44,($0.23),$1.12,$1.01
Diluted Weighted Average Shares Outst.,114.6,117.4,118.2,117.7,116.3,116.7
Normalized Basic EPS,$0.07,$0.02,$0.18,$0.40,$0.95,$1.17
Normalized Diluted EPS,$0.07,$0.02,$0.17,$0.40,$0.95,$1.17
EBITDA,104.7,110.5,133.4,166.0,305.1,347.3
EBITA,76.0,82.5,108.9,141.3,280.4,322.6
EBIT,42.8,50.4,77.5,117.4,251.7,294.7
EBITDAR,141.9,146.3,,,349.2,
Effective Tax Rate,NM,NM,NM,235.3%,3.0%,38.5%
Normalized Net Income,7.9,2.8,20.6,46.6,110.3,136.2
Interest on Long-Term Debt,,,41.7,43.0,76.4,
R&D Expense From Footnotes,229.3,236.0,249.8,246.9,256.6,262.1
Foreign Sales,677.4,688.5,754.5,741.2,836.6,
