Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.94%,6.08%,1.23%,2.34%,0.00%
Total Revenues,5.94%,6.08%,1.23%,2.34%,0.00%
Cost Of Revenues,8.51%,5.94%,(0.13%),2.10%,0.00%
Gross Profit,0.79%,6.37%,4.17%,2.84%,0.00%
Selling General & Admin Expenses,(1.69%),4.64%,1.77%,(2.61%),0.00%
Total Operating Expenses,(1.90%),4.90%,3.40%,(1.47%),0.00%
Operating Income,4.10%,8.08%,5.04%,7.61%,0.00%
Interest Expense,(1.20%),-4.36%,(1.55%),-5.82%,0.00%
Interest And Investment Income,134.67%,(14.20%),(21.19%),(14.29%),0.00%
Net Interest Expenses,-4.01%,-3.42%,(3.49%),-5.27%,0.00%
Currency Exchange Gains (Loss),,(183.05%),-53.89%,,0.00%
Other Non Operating Income (Expenses),0.00%,-26.09%,-55.88%,-66.67%,0.00%
"EBT, Excl. Unusual Items",4.38%,10.77%,7.92%,13.94%,0.00%
"EBT, Incl. Unusual Items",1.39%,16.40%,(19.11%),69.11%,0.00%
Income Tax Expense,245.71%,(6.96%),(75.09%),85.51%,0.00%
Earnings From Continuing Operations,(78.52%),139.33%,95.41%,64.83%,0.00%
Earnings Of Discontinued Operations,287.48%,(94.31%),,,0.00%
Net Income to Company,67.54%,(76.30%),36.20%,91.22%,0.00%
Net Income,67.54%,(76.30%),36.20%,91.22%,0.00%
Preferred Dividend and Other Adjustments,44.12%,(81.63%),(44.44%),(60.00%),0.00%
NI to Common Incl Extra Items,67.70%,(76.27%),36.58%,91.50%,0.00%
NI to Common Excl. Extra Items,(79.96%),158.03%,96.25%,65.04%,0.00%
Revenue Per Share,10.16%,24.39%,4.58%,1.75%,0.00%
Basic EPS,74.05%,(72.15%),40.60%,90.53%,0.00%
Basic EPS - Continuing Ops,(79.21%),202.34%,102.15%,64.10%,0.00%
Basic Weighted Average Shares Outst.,(3.81%),(14.71%),(3.20%),0.58%,0.00%
Diluted EPS,74.39%,(71.89%),39.85%,90.56%,0.00%
Diluted EPS - Continuing Ops,(79.15%),202.34%,101.06%,64.02%,0.00%
Diluted Weighted Average Shares Outst.,(4.21%),(15.19%),(3.12%),0.52%,0.00%
Normalized Basic EPS,8.42%,29.85%,11.47%,13.25%,0.00%
Normalized Diluted EPS,8.81%,30.90%,11.38%,13.17%,0.00%
Dividend Per Share,4.92%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,(41.24%),266.98%,(30.10%),(47.02%),0.00%
EBITDA,5.90%,8.27%,8.38%,7.15%,0.00%
EBITA,3.71%,8.31%,6.76%,8.44%,0.00%
EBIT,4.10%,8.08%,5.04%,7.61%,0.00%
EBITDAR,,,,6.46%,
Effective Tax Rate,240.90%,(20.07%),(69.20%),9.68%,0.00%
Normalized Net Income,4.38%,10.77%,7.92%,13.94%,0.00%
Interest Capitalized,(6.36%),(38.83%),33.33%,(33.33%),
Interest on Long-Term Debt,(0.11%),(4.78%),3.31%,(5.67%),
R&D Expense From Footnotes,4.32%,(11.98%),(4.33%),24.06%,0.00%
Foreign Sales,3.93%,6.82%,(1.76%),0.28%,
