Income Statement,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,6.43%,9.88%,5.07%,3.41%,5.61%
Total Revenues,6.43%,9.88%,5.07%,3.41%,5.61%
Cost Of Revenues,3.39%,7.77%,5.55%,6.11%,6.75%
Gross Profit,9.19%,11.71%,4.66%,1.14%,4.64%
Selling General & Admin Expenses,2.64%,9.71%,2.72%,2.72%,(0.07%)
R&D Expenses,4.92%,13.49%,4.39%,(1.49%),(2.22%)
Total Operating Expenses,3.14%,10.54%,3.10%,1.76%,(0.55%)
Operating Income,22.21%,13.83%,7.42%,0.10%,13.96%
Interest Expense,(9.72%),-5.06%,-1.33%,(5.41%),(1.32%)
Interest And Investment Income,100.00%,72.73%,(5.26%),(77.78%),(82.76%)
Net Interest Expenses,-6.56%,-35.09%,(2.70%),(84.21%),(53.19%)
Currency Exchange Gains (Loss),-60.00%,(50.00%),(133.33%),-42.86%,0.00%
Other Non Operating Income (Expenses),(8.70%),33.33%,(35.71%),(16.67%),29.41%
"EBT, Excl. Unusual Items",26.36%,17.67%,5.94%,(3.05%),12.42%
"EBT, Incl. Unusual Items",47.61%,17.81%,(2.85%),(8.38%),5.06%
Income Tax Expense,45.12%,429.41%,,,(0.79%)
Earnings From Continuing Operations,48.05%,(53.80%),238.92%,(32.87%),6.02%
Net Income to Company,48.05%,(53.80%),238.92%,(32.87%),6.02%
Net Income,48.05%,(53.80%),238.92%,(32.87%),6.02%
NI to Common Incl Extra Items,48.05%,(53.80%),238.92%,(32.87%),6.02%
NI to Common Excl. Extra Items,48.05%,(53.80%),238.92%,(32.87%),6.02%
Revenue Per Share,7.74%,10.21%,7.40%,5.10%,6.99%
Basic EPS,49.59%,(53.56%),248.04%,(31.76%),7.40%
Basic EPS - Continuing Ops,49.59%,(53.56%),248.04%,(31.76%),7.40%
Basic Weighted Average Shares Outst.,(1.23%),(0.31%),(2.18%),(1.59%),(1.28%)
Diluted EPS,50.00%,(53.81%),247.42%,(31.75%),7.44%
Diluted EPS - Continuing Ops,50.00%,(53.81%),247.42%,(31.75%),7.44%
Diluted Weighted Average Shares Outst.,(0.91%),(0.31%),(2.15%),(1.89%),(1.50%)
Normalized Basic EPS,27.57%,18.18%,8.14%,(1.37%),13.88%
Normalized Diluted EPS,27.03%,18.22%,8.52%,(1.34%),14.14%
Dividend Per Share,14.78%,12.45%,9.33%,9.09%,9.23%
Payout Ratio,(23.46%),143.23%,(68.18%),60.56%,1.06%
EBITDA,12.82%,10.89%,8.47%,5.54%,14.38%
EBITA,14.20%,11.10%,8.33%,5.04%,15.30%
EBIT,22.21%,13.83%,7.42%,0.10%,13.96%
EBITDAR,11.64%,10.96%,8.92%,4.20%,
Effective Tax Rate,(1.66%),349.37%,,,(5.57%)
Normalized Net Income,26.36%,17.67%,5.94%,(3.05%),12.42%
Interest on Long-Term Debt,9.72%,(5.06%),(1.33%),5.41%,
R&D Expense From Footnotes,3.65%,13.49%,4.39%,22.52%,21.67%
Foreign Sales,7.01%,10.83%,1.26%,1.21%,
