Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,25.89%,0.74%,48.83%,15.76%,14.87%
Total Revenues,25.89%,0.74%,48.83%,15.76%,14.87%
Cost Of Revenues,26.74%,(10.52%),68.98%,1.73%,15.66%
Gross Profit,24.81%,15.28%,28.64%,34.23%,14.11%
Selling General & Admin Expenses,27.15%,1.42%,33.48%,15.47%,2.95%
R&D Expenses,15.11%,42.39%,17.21%,28.77%,6.40%
Depreciation & Amortization,6.62%,43.19%,(8.50%),19.59%,12.69%
Total Operating Expenses,23.38%,11.84%,26.71%,18.89%,4.25%
Operating Income,34.10%,35.80%,38.16%,103.38%,43.95%
Interest Expense,(1.13%),-24.69%,-63.93%,-67.17%,-66.10%
Interest And Investment Income,,170.22%,78.80%,24.52%,(58.77%)
Net Interest Expenses,-25.78%,-95.37%,,49.08%,(57.48%)
Currency Exchange Gains (Loss),,,-83.38%,(610.69%),
Other Non Operating Income (Expenses),131.29%,399.12%,,-22.53%,-22.53%
"EBT, Excl. Unusual Items",80.98%,59.14%,54.34%,97.17%,35.70%
"EBT, Incl. Unusual Items",,77.52%,70.38%,96.94%,37.79%
Income Tax Expense,,,(173.79%),,(6.20%)
Earnings From Continuing Operations,,157.84%,92.38%,21.15%,45.55%
Net Income to Company,,157.84%,92.38%,21.15%,45.55%
Net Income,,157.84%,92.38%,21.15%,45.55%
Preferred Dividend and Other Adjustments,,(87.53%),,,
NI to Common Incl Extra Items,,162.58%,92.55%,21.15%,45.55%
NI to Common Excl. Extra Items,,162.58%,92.55%,21.15%,45.55%
Revenue Per Share,16.43%,(17.51%),44.82%,15.83%,13.57%
Basic EPS,,115.69%,87.88%,21.23%,43.90%
Basic EPS - Continuing Ops,,115.69%,87.88%,21.23%,43.90%
Basic Weighted Average Shares Outst.,8.11%,22.10%,2.79%,(0.07%),1.15%
Diluted EPS,,113.55%,88.31%,22.07%,44.33%
Diluted EPS - Continuing Ops,,113.55%,88.31%,22.07%,44.33%
Diluted Weighted Average Shares Outst.,10.69%,22.13%,2.16%,(0.92%),0.69%
Normalized Basic EPS,65.95%,31.09%,49.33%,97.18%,34.16%
Normalized Diluted EPS,62.09%,29.98%,51.95%,98.44%,34.77%
EBITDA,32.86%,46.67%,24.88%,81.11%,39.75%
EBITA,42.02%,57.42%,25.14%,91.55%,42.71%
EBIT,34.10%,35.80%,38.16%,103.38%,43.95%
EBITDAR,29.47%,44.67%,23.90%,74.24%,
Effective Tax Rate,,,,,(31.92%)
Normalized Net Income,80.98%,59.14%,54.34%,97.17%,35.70%
Interest on Long-Term Debt,12.99%,(4.42%),(94.51%),(70.71%),
R&D Expense From Footnotes,15.11%,50.55%,14.43%,24.75%,6.40%
Foreign Sales,16.38%,(5.13%),67.64%,5.78%,
