Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,(0.86%),5.39%,0.23%,1.41%,0.00%
Total Revenues,(0.86%),5.39%,0.23%,1.41%,0.00%
Cost Of Revenues,1.02%,8.48%,4.85%,(1.26%),0.00%
Gross Profit,(3.84%),0.23%,(8.12%),6.93%,0.00%
Selling General & Admin Expenses,(5.78%),0.17%,(6.45%),2.05%,0.00%
Total Operating Expenses,(5.78%),0.17%,(6.45%),2.05%,0.00%
Operating Income,(0.39%),0.33%,(10.93%),15.50%,0.00%
Interest Expense,-36.95%,(12.11%),-1.05%,-1.06%,0.00%
Interest And Investment Income,,,,(12.50%),0.00%
Net Interest Expenses,-36.16%,(12.11%),-9.41%,0.00%,0.00%
Currency Exchange Gains (Loss),,,,(50.00%),0.00%
Other Non Operating Income (Expenses),,,,(56.32%),0.00%
"EBT, Excl. Unusual Items",44.67%,(13.18%),(8.85%),8.72%,0.00%
"EBT, Incl. Unusual Items",77.97%,(8.35%),(14.89%),22.27%,0.00%
Income Tax Expense,74.47%,(55.85%),77.35%,0.62%,0.00%
Earnings From Continuing Operations,79.14%,7.18%,(27.31%),29.38%,0.00%
Net Income to Company,79.14%,7.18%,(27.31%),29.38%,0.00%
Minority Interest,,,(112.50%),-23.53%,0.00%
Net Income,79.40%,6.54%,(28.14%),30.31%,0.00%
NI to Common Incl Extra Items,79.40%,6.54%,(28.14%),30.31%,0.00%
NI to Common Excl. Extra Items,79.40%,6.54%,(28.14%),30.31%,0.00%
Revenue Per Share,(0.28%),5.69%,1.99%,0.82%,0.00%
Basic EPS,80.17%,6.95%,(26.88%),29.33%,0.00%
Basic EPS - Continuing Ops,80.17%,6.95%,(26.88%),29.33%,0.00%
Basic Weighted Average Shares Outst.,(0.57%),(0.29%),(1.73%),0.59%,0.00%
Diluted EPS,81.73%,6.98%,(26.89%),29.64%,0.00%
Diluted EPS - Continuing Ops,81.73%,6.98%,(26.89%),29.64%,0.00%
Diluted Weighted Average Shares Outst.,(1.13%),(0.57%),(1.44%),0.58%,0.00%
Normalized Basic EPS,45.41%,(13.58%),(8.19%),8.48%,0.00%
Normalized Diluted EPS,46.43%,(13.32%),(8.42%),8.64%,0.00%
Dividend Per Share,3.92%,3.77%,2.73%,0.88%,0.00%
Payout Ratio,(42.70%),(2.82%),40.43%,(21.96%),0.00%
EBITDA,(1.85%),1.80%,(9.87%),11.67%,0.00%
EBITA,(0.11%),0.94%,(10.57%),15.25%,0.00%
EBIT,(0.39%),0.33%,(10.93%),15.50%,0.00%
EBITDAR,(0.96%),(0.85%),(9.34%),11.07%,
Effective Tax Rate,(1.95%),(51.83%),108.34%,(17.70%),0.00%
Normalized Net Income,44.84%,(13.85%),(9.78%),9.31%,0.00%
R&D Expense From Footnotes,(18.68%),4.05%,(6.49%),(6.25%),0.00%
Foreign Sales,3.12%,14.42%,6.00%,4.50%,
