Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,3744.1,4354.6,4467.9,4986.3,5720.0,5975.7
Total Revenues,3744.1,4354.6,4467.9,4986.3,5720.0,5975.7
Cost Of Revenues,2487.6,2934.8,2978.6,3304.1,3719.1,3869.0
Gross Profit,1256.4,1419.8,1489.3,1682.3,2001.0,2106.7
Selling General & Admin Expenses,919.6,1050.8,1076.4,1206.1,1429.6,1420.3
Depreciation & Amortization,64.8,71.8,72.2,85.9,110.7,122.4
Total Operating Expenses,984.4,1122.6,1148.6,1292.0,1540.3,1542.7
Operating Income,272.1,297.3,340.7,390.3,460.7,564.1
Interest Expense,(41.1),(48.6),(42.0),(50.0),(56.1),(38.5)
Net Interest Expenses,(41.1),(48.6),(42.0),(50.0),(56.1),(38.5)
"EBT, Excl. Unusual Items",230.9,248.6,298.7,340.3,404.6,525.6
"EBT, Incl. Unusual Items",223.6,248.6,298.7,327.9,401.6,522.6
Income Tax Expense,80.8,84.9,(2.5),62.3,80.2,108.4
Earnings From Continuing Operations,142.8,163.7,301.2,265.6,321.5,414.2
Net Income to Company,142.8,163.7,301.2,265.6,321.5,414.2
Net Income,142.8,163.7,301.2,265.6,321.5,414.2
NI to Common Incl Extra Items,142.8,163.7,301.2,265.6,321.5,414.2
NI to Common Excl. Extra Items,142.8,163.7,301.2,265.6,321.5,414.2
Revenue Per Share,$154.32,$178.46,$181.50,$200.79,$228.52,$238.63
Basic EPS,$5.89,$6.71,$12.23,$10.70,$12.84,$16.54
Basic EPS - Continuing Ops,$5.89,$6.71,$12.23,$10.70,$12.84,$16.54
Basic Weighted Average Shares Outst.,24.3,24.4,24.6,24.8,25.0,25.0
Diluted EPS,$5.76,$6.53,$11.93,$10.46,$12.61,$16.33
Diluted EPS - Continuing Ops,$5.76,$6.53,$11.93,$10.46,$12.61,$16.33
Diluted Weighted Average Shares Outst.,24.8,25.1,25.3,25.4,25.5,25.4
Normalized Basic EPS,$5.95,$6.37,$7.58,$8.56,$10.10,$13.12
Normalized Diluted EPS,$5.82,$6.20,$7.39,$8.38,$9.92,$12.96
EBITDA,333.6,369.0,412.9,476.1,571.4,686.5
EBITA,310.1,338.0,378.9,436.1,520.0,623.4
EBIT,272.1,297.3,340.7,390.3,460.7,564.1
EBITDAR,396.4,445.2,,,671.0,
Effective Tax Rate,36.1%,34.2%,NM,19.0%,20.0%,20.7%
Normalized Net Income,144.3,155.4,186.7,212.7,252.9,328.5
R&D Expense From Footnotes,3.2,,,,,
Foreign Sales,150.1,137.1,163.3,156.9,163.4,
