Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,14.30%,2.68%,5.66%,7.60%,7.60%
Total Revenues,14.30%,2.68%,5.66%,7.60%,7.60%
Cost Of Revenues,10.89%,(4.77%),2.13%,(2.09%),(2.09%)
Gross Profit,21.33%,16.73%,11.08%,21.30%,21.30%
Selling General & Admin Expenses,19.36%,(1.21%),1.75%,(0.52%),(0.52%)
Total Operating Expenses,19.36%,(1.21%),1.75%,(0.52%),(0.52%)
Operating Income,33.17%,113.01%,34.32%,62.45%,62.45%
Interest Expense,(19.05%),(21.39%),(29.02%),-20.18%,-20.18%
Interest And Investment Income,(82.80%),62.26%,59.71%,4.95%,4.95%
Net Interest Expenses,(25.90%),(21.01%),(28.64%),-20.56%,-20.56%
Other Non Operating Income (Expenses),(33.33%),0.00%,(25.00%),-20.00%,-20.00%
"EBT, Excl. Unusual Items",39.05%,181.03%,36.13%,87.04%,87.04%
"EBT, Incl. Unusual Items",163.42%,614.35%,67.23%,39.84%,39.84%
Income Tax Expense,697.08%,0.40%,93.43%,114.31%,114.31%
Earnings From Continuing Operations,,,62.36%,23.34%,23.34%
Net Income to Company,,,62.36%,23.34%,23.34%
Net Income,,,62.36%,23.34%,23.34%
NI to Common Incl Extra Items,,,62.36%,23.34%,23.34%
NI to Common Excl. Extra Items,,,62.36%,23.34%,23.34%
Revenue Per Share,71.94%,28.52%,19.67%,4.39%,4.39%
Basic EPS,,,83.90%,19.65%,19.66%
Basic EPS - Continuing Ops,,,83.90%,19.65%,19.66%
Basic Weighted Average Shares Outst.,(33.52%),(20.11%),(11.71%),3.07%,3.07%
Diluted EPS,,,77.15%,9.81%,9.81%
Diluted EPS - Continuing Ops,,,77.15%,9.81%,9.81%
Diluted Weighted Average Shares Outst.,(33.90%),(1.92%),(8.42%),12.36%,12.36%
Normalized Basic EPS,110.13%,250.79%,54.17%,81.53%,81.46%
Normalized Diluted EPS,110.13%,185.75%,48.59%,66.43%,66.46%
EBITDA,37.81%,72.08%,27.68%,50.34%,50.34%
EBITA,33.17%,113.01%,34.32%,62.45%,62.45%
EBIT,33.17%,113.01%,34.32%,62.45%,62.45%
EBITDAR,32.77%,41.87%,21.40%,41.09%,
Effective Tax Rate,202.59%,(85.94%),15.63%,53.27%,53.26%
Normalized Net Income,39.05%,181.03%,36.13%,87.04%,87.04%
Interest Capitalized,36.64%,(4.99%),57.06%,13.06%,
Interest on Long-Term Debt,10.31%,30.59%,16.11%,(6.54%),
