Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,3.08%,(5.12%),(9.70%),(9.39%),(4.59%)
Total Revenues,3.08%,(5.12%),(9.70%),(9.39%),(4.59%)
Cost Of Revenues,10.06%,(3.72%),(15.22%),(18.90%),(13.44%)
Gross Profit,(9.96%),(8.31%),3.54%,9.25%,9.95%
Selling General & Admin Expenses,(14.90%),11.92%,(14.74%),(3.27%),26.06%
R&D Expenses,(6.07%),24.26%,(5.64%),(11.73%),(7.31%)
Total Operating Expenses,(10.15%),20.02%,(8.36%),(9.16%),4.93%
Operating Income,(8.89%),,,793.86%,48.15%
Interest Expense,(25.00%),(270.00%),-4.50%,(6.13%),(31.78%)
Interest And Investment Income,(77.42%),228.57%,69.57%,102.56%,(24.76%)
Net Interest Expenses,(211.76%),(275.47%),-13.07%,-15.61%,(77.10%)
"EBT, Excl. Unusual Items",(13.48%),,-89.25%,,41.99%
"EBT, Incl. Unusual Items",(19.31%),,-72.97%,,"2,168.67%"
Income Tax Expense,258.82%,231.97%,(99.26%),"12,766.67%",46.69%
Earnings From Continuing Operations,(32.41%),,-81.55%,,
Net Income to Company,(32.41%),,-81.55%,,
Net Income,(32.41%),,-81.55%,,
NI to Common Incl Extra Items,(32.41%),,-81.55%,,
NI to Common Excl. Extra Items,(32.41%),,-81.55%,,
Revenue Per Share,8.42%,(3.44%),(10.74%),(6.70%),(6.80%)
Basic EPS,(28.82%),,-81.77%,,
Basic EPS - Continuing Ops,(28.82%),,-81.77%,,
Basic Weighted Average Shares Outst.,(4.92%),(1.72%),1.17%,(2.89%),2.37%
Diluted EPS,(28.27%),,-81.77%,,
Diluted EPS - Continuing Ops,(28.27%),,-81.77%,,
Diluted Weighted Average Shares Outst.,(6.07%),(3.93%),1.17%,0.58%,9.94%
Normalized Basic EPS,(9.13%),,-89.38%,,38.69%
Normalized Diluted EPS,(8.13%),,-89.38%,,29.15%
EBITDA,(10.14%),(58.22%),66.53%,48.27%,37.61%
EBITA,(13.31%),(75.94%),152.35%,78.67%,55.38%
EBIT,(8.89%),,,793.86%,48.15%
EBITDAR,(9.00%),(54.13%),55.12%,43.36%,
Effective Tax Rate,344.44%,,,,(93.53%)
Normalized Net Income,(13.48%),,-89.25%,,41.99%
Interest on Long-Term Debt,25.00%,270.00%,(4.50%),6.13%,
R&D Expense From Footnotes,(6.07%),24.26%,(5.64%),(11.03%),(7.62%)
Foreign Sales,4.87%,3.54%,(5.96%),(8.32%),
