Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,5026.8,5225.8,6257.2,5681.1,5698.7,5689.0
Total Revenues,5026.8,5225.8,6257.2,5681.1,5698.7,5689.0
Cost Of Revenues,3479.0,3655.0,4400.7,3881.6,3911.3,3905.5
Gross Profit,1547.8,1570.8,1856.5,1799.5,1787.4,1783.5
Selling General & Admin Expenses,800.6,792.3,940.1,890.7,927.5,947.7
Other Operating Expense/(Income),0.1,1.0,1.8,2.1,1.3,(3.7)
Total Operating Expenses,953.3,952.4,1119.3,1054.1,1089.1,1123.3
Operating Income,594.5,618.4,737.2,745.4,698.3,660.2
Interest Expense,(489.4),(212.7),(278.3),(657.7),(575.7),(179.8)
Net Interest Expenses,(489.4),(212.7),(278.3),(657.7),(575.7),(179.8)
Currency Exchange Gains (Loss),,(10.3),,,,
Other Non Operating Income (Expenses),,2.6,12.1,37.1,8.5,(2.9)
"EBT, Excl. Unusual Items",105.1,398.0,470.7,87.8,100.2,450.1
"EBT, Incl. Unusual Items",(30.1),74.4,264.4,122.1,32.5,382.4
Income Tax Expense,(26.8),26.1,(204.0),(3.9),3.5,72.9
Earnings From Continuing Operations,(3.3),48.3,468.4,126.0,29.0,309.5
Net Income to Company,(3.3),48.3,468.4,126.0,29.0,309.5
Minority Interest,,,(1.1),(1.3),(28.2),(25.4)
Net Income,(3.3),48.3,467.3,124.7,0.8,284.1
Preferred Dividend and Other Adjustments,25.1,13.5,10.0,3.0,,
NI to Common Incl Extra Items,(28.4),34.8,457.3,121.7,0.8,284.1
NI to Common Excl. Extra Items,(28.4),34.8,457.3,121.7,0.8,284.1
Revenue Per Share,$73.06,$77.08,$93.95,$80.24,$82.71,$85.74
Basic EPS,($0.41),$0.51,$6.87,$1.72,$0.01,$4.28
Basic EPS - Continuing Ops,($0.41),$0.51,$6.87,$1.72,$0.01,$4.28
Basic Weighted Average Shares Outst.,68.8,67.8,66.6,70.8,68.9,66.4
Diluted EPS,($0.41),$0.50,$6.16,$1.66,$0.01,$4.18
Diluted EPS - Continuing Ops,($0.41),$0.50,$6.16,$1.66,$0.01,$4.18
Diluted Weighted Average Shares Outst.,68.8,69.9,75.9,75.1,70.1,68.1
Normalized Basic EPS,$0.95,$3.67,$4.40,$0.76,$0.50,$3.86
Normalized Diluted EPS,$0.95,$3.56,$3.86,$0.71,$0.49,$3.76
Payout Ratio,NM,27.95%,2.31%,3.21%,,
EBITDA,896.9,941.5,1133.1,1117.6,1068.6,1049.5
EBITA,747.1,777.5,914.6,906.7,858.6,839.5
EBIT,594.5,618.4,737.2,745.4,698.3,660.2
EBITDAR,928.9,983.3,1174.4,1157.7,1110.6,
Effective Tax Rate,NM,35.1%,NM,NM,10.8%,19.1%
Normalized Net Income,65.7,248.8,293.1,53.6,34.4,255.9
R&D Expense From Footnotes,16.3,18.6,25.1,25.0,28.5,28.5
Foreign Sales,,418.1,807.2,727.2,792.1,
