Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,18636.0,19036.0,19167.0,18885.0,15031.0,15031.0
Other Revenues,1045.0,1048.0,1062.0,1089.0,924.0,924.0
Total Revenues,19681.0,20084.0,20229.0,19974.0,15955.0,15955.0
Cost Of Revenues,11944.0,12176.0,12199.0,12140.0,10173.0,10173.0
Gross Profit,7737.0,7908.0,8030.0,7834.0,5782.0,5782.0
Selling General & Admin Expenses,5430.0,5501.0,5601.0,5705.0,4893.0,4893.0
Depreciation & Amortization,938.0,969.0,964.0,917.0,874.0,874.0
Total Operating Expenses,6368.0,6470.0,6565.0,6622.0,5767.0,5767.0
Operating Income,1369.0,1438.0,1465.0,1212.0,15.0,15.0
Interest Expense,(308.0),(299.0),(256.0),(207.0),(284.0),(284.0)
Net Interest Expenses,(308.0),(299.0),(256.0),(207.0),(284.0),(284.0)
"EBT, Excl. Unusual Items",1061.0,1139.0,1209.0,1005.0,(269.0),(269.0)
"EBT, Incl. Unusual Items",875.0,1117.0,1042.0,901.0,(546.0),(546.0)
Income Tax Expense,319.0,258.0,241.0,210.0,(383.0),(383.0)
Earnings From Continuing Operations,556.0,859.0,801.0,691.0,(163.0),(163.0)
Net Income to Company,556.0,859.0,801.0,691.0,(163.0),(163.0)
Net Income,556.0,859.0,801.0,691.0,(163.0),(163.0)
NI to Common Incl Extra Items,556.0,859.0,801.0,691.0,(163.0),(163.0)
NI to Common Excl. Extra Items,556.0,859.0,801.0,691.0,(163.0),(163.0)
Revenue Per Share,$110.57,$120.26,$123.35,$127.22,$103.60,$103.60
Basic EPS,$3.12,$5.14,$4.88,$4.40,($1.06),($1.06)
Basic EPS - Continuing Ops,$3.12,$5.14,$4.88,$4.40,($1.06),($1.06)
Basic Weighted Average Shares Outst.,178.0,167.0,164.0,157.0,154.0,154.0
Diluted EPS,$3.11,$5.12,$4.84,$4.37,($1.06),($1.06)
Diluted EPS - Continuing Ops,$3.11,$5.12,$4.84,$4.37,($1.06),($1.06)
Diluted Weighted Average Shares Outst.,179.0,168.0,165.0,158.0,154.0,154.0
Normalized Basic EPS,$3.73,$4.26,$4.61,$4.00,($1.09),($1.09)
Normalized Diluted EPS,$3.70,$4.24,$4.58,$3.98,($1.09),($1.09)
Dividend Per Share,$2.00,$2.20,$2.44,$2.68,$0.70,$0.70
Payout Ratio,64.39%,42.84%,49.94%,61.22%,NM,NM
EBITDA,2307.0,2407.0,2429.0,2129.0,889.0,889.0
EBITA,1369.0,1438.0,1465.0,1212.0,15.0,15.0
EBIT,1369.0,1438.0,1465.0,1212.0,15.0,15.0
EBITDAR,2583.0,2700.0,2730.0,2443.0,1203.0,1203.0
Effective Tax Rate,36.5%,23.1%,23.1%,23.3%,NM,NM
Normalized Net Income,663.1,711.9,755.6,628.1,(168.1),(168.1)
Interest on Long-Term Debt,,,,135.0,138.0,138.0
R&D Expense From Footnotes,,,,21.0,,
