Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,10.90%,14.97%,6.09%,(7.77%),(8.52%)
Total Interest Income,9.03%,14.38%,3.99%,(5.63%),(6.26%)
Interest On Deposits,19.80%,48.24%,59.88%,(51.12%),(73.10%)
Total Interest On Borrowings,77.33%,52.54%,54.15%,(76.60%),(74.58%)
Total Interest Expense,32.50%,49.51%,58.15%,(58.60%),(73.52%)
Net Interest Income,7.89%,12.29%,(0.31%),1.04%,1.91%
Service Charges On Deposits,4.24%,4.95%,1.55%,(2.87%),(4.67%)
Trust Income,10.97%,9.47%,5.18%,3.22%,4.08%
Gain (Loss) on Sale of Assets,,,73.82%,,0.00%
Gain (Loss) on Sale of Invest. & Securities,,,,204.25%,
Total Other Non Interest Income,(0.97%),6.87%,3.71%,(3.68%),(0.67%)
Total Non Interest Income,8.92%,2.99%,5.49%,(2.16%),6.57%
Revenue Before Loan Losses,8.29%,8.58%,1.88%,(0.21%),3.72%
Provision For Loan Losses,24.58%,(5.64%),18.14%,172.00%,(23.90%)
Total Revenues,7.75%,9.13%,1.34%,(6.90%),5.85%
Salaries And Other Employee Benefits,4.90%,4.33%,5.23%,4.05%,2.58%
Occupancy Expense,(1.46%),0.95%,2.42%,(1.09%),(1.03%)
Total Selling General & Admin Expenses,0.24%,4.87%,6.32%,(1.12%),(1.93%)
Total Other Non Interest Expense,41.02%,(14.85%),(4.16%),(16.41%),(5.25%)
Total Non Interest Expense,8.00%,(0.88%),3.96%,(0.06%),(0.41%)
"EBT, Excl. Unusual Items",7.33%,26.43%,(2.21%),(16.76%),16.03%
Asset Writedown,,,,(443.12%),(68.18%)
"EBT, Incl. Unusual Items",7.33%,26.43%,(2.27%),(17.04%),15.91%
Income Tax Expense,(10.99%),(4.12%),2.95%,(19.97%),13.29%
Earnings From Continuing Operations,15.55%,36.98%,(3.54%),(16.28%),16.59%
Net Income to Company,15.55%,36.98%,(3.54%),(16.28%),16.59%
Minority Interest,-64.66%,(803.68%),-68.30%,,
Net Income,15.97%,35.74%,(2.84%),(15.95%),15.22%
Preferred Dividend and Other Adjustments,1.18%,5.53%,(3.98%),16.61%,3.08%
Net Income to Common Incl Extra Items,16.69%,37.01%,(2.80%),(16.99%),15.64%
Net Income to Common Excl. Extra Items,16.69%,37.01%,(2.80%),(16.99%),15.64%
Revenue Per Share,7.42%,9.19%,3.66%,(4.37%),7.91%
Basic EPS,16.14%,36.96%,(0.68%),(14.84%),17.88%
Basic EPS - Continuing Ops,16.14%,36.96%,(0.68%),(14.84%),17.88%
Basic Weighted Average Shares Outst.,0.30%,(0.02%),(2.21%),(2.61%),(1.90%)
Diluted EPS,16.27%,37.09%,(0.63%),(14.76%),17.63%
Diluted EPS - Continuing Ops,16.27%,37.09%,(0.63%),(14.76%),17.63%
Diluted Weighted Average Shares Outst.,0.38%,(0.06%),(2.27%),(2.66%),(1.95%)
Normalized Basic EPS,7.18%,24.80%,0.77%,(14.05%),16.51%
Normalized Diluted EPS,7.33%,24.98%,0.89%,(13.91%),16.57%
Dividend Per Share,5.71%,9.73%,16.42%,9.36%,7.19%
Payout Ratio,(9.68%),(20.01%),15.37%,23.94%,
Effective Tax Rate,(17.07%),(24.15%),5.35%,(3.53%),(2.26%)
Normalized Net Income,7.75%,24.93%,(1.29%),(16.33%),14.30%
Interest on Long-Term Debt,(22.23%),(98.54%),"2,015.56%",6.51%,
