Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,4.11%,13.48%,3.23%,(3.83%),(7.17%)
Total Revenues,4.11%,13.48%,3.23%,(3.83%),(7.17%)
Cost Of Revenues,4.88%,13.42%,2.56%,(0.99%),(3.29%)
Gross Profit,3.19%,13.54%,4.04%,(7.25%),(11.83%)
Selling General & Admin Expenses,(3.36%),9.47%,(0.51%),(9.48%),(12.30%)
R&D Expenses,6.86%,5.26%,9.78%,0.73%,(1.48%)
Total Operating Expenses,(1.99%),8.85%,0.95%,(7.91%),(10.64%)
Operating Income,13.61%,21.69%,8.86%,(6.30%),(13.53%)
Interest Expense,-6.40%,(22.92%),-28.03%,-30.59%,-42.96%
Interest And Investment Income,27.20%,27.59%,(3.86%),(20.70%),(20.70%)
Net Interest Expenses,-13.40%,(21.50%),-35.79%,-35.35%,-52.81%
Currency Exchange Gains (Loss),(569.32%),-54.55%,(750.39%),-56.71%,(98.82%)
Other Non Operating Income (Expenses),,-48.44%,(46.43%),,
"EBT, Excl. Unusual Items",11.96%,24.39%,3.85%,(0.11%),(12.81%)
"EBT, Incl. Unusual Items",(80.40%),445.21%,13.18%,(11.23%),(26.75%)
Income Tax Expense,(95.12%),"1,220.33%",23.82%,(8.99%),(23.10%)
Earnings From Continuing Operations,(71.36%),364.15%,10.02%,(11.98%),(27.91%)
Net Income to Company,(71.28%),364.15%,10.02%,(11.98%),(27.91%)
Minority Interest,-51.77%,(3.88%),(25.28%),-12.24%,-6.20%
Net Income,(71.69%),377.00%,9.90%,(11.98%),(28.07%)
Preferred Dividend and Other Adjustments,(43.78%),52.88%,41.51%,(44.44%),(55.08%)
NI to Common Incl Extra Items,(71.75%),378.30%,9.86%,(11.92%),(28.03%)
NI to Common Excl. Extra Items,(71.82%),378.30%,9.86%,(11.92%),(28.03%)
Revenue Per Share,2.63%,12.39%,2.46%,(4.41%),(7.71%)
Basic EPS,(72.15%),375.31%,9.10%,(12.35%),(28.45%)
Basic EPS - Continuing Ops,(72.27%),375.31%,9.10%,(12.35%),(28.45%)
Basic Weighted Average Shares Outst.,1.44%,0.96%,0.76%,0.60%,0.59%
Diluted EPS,(72.31%),374.63%,9.43%,(12.36%),(28.49%)
Diluted EPS - Continuing Ops,(72.43%),374.63%,9.43%,(12.36%),(28.49%)
Diluted Weighted Average Shares Outst.,1.87%,0.68%,0.59%,0.25%,0.12%
Normalized Basic EPS,11.63%,23.53%,3.05%,(0.62%),(13.37%)
Normalized Diluted EPS,11.32%,23.75%,3.07%,(0.29%),(12.96%)
Dividend Per Share,5.34%,7.97%,10.07%,4.27%,2.38%
Payout Ratio,278.15%,(77.16%),0.97%,19.06%,43.01%
EBITDA,12.56%,18.18%,7.71%,(4.94%),(11.09%)
EBITA,13.61%,21.69%,13.50%,(5.87%),(11.71%)
EBIT,13.61%,21.69%,8.86%,(6.30%),(13.53%)
EBITDAR,12.34%,16.69%,7.68%,(4.85%),
Effective Tax Rate,(75.12%),142.11%,9.39%,2.53%,4.98%
Normalized Net Income,13.21%,24.56%,3.70%,(0.01%),(12.86%)
R&D Expense From Footnotes,6.86%,5.26%,9.78%,0.73%,(1.48%)
Foreign Earnings,,429.27%,7.42%,(5.27%),
Foreign Sales,(19.14%),195.26%,3.23%,(3.83%),
