Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,(1.91%),15.04%,0.31%,(20.63%),(19.22%)
Total Revenues,(1.91%),15.04%,0.31%,(20.63%),(19.22%)
Cost Of Revenues,(4.70%),9.85%,(0.19%),(13.00%),(16.66%)
Gross Profit,4.69%,26.20%,1.26%,(34.72%),(24.93%)
Selling General & Admin Expenses,0.94%,0.45%,(5.33%),(18.87%),(16.45%)
Total Operating Expenses,0.06%,0.05%,(5.23%),(18.42%),(16.06%)
Operating Income,23.37%,111.76%,11.29%,(56.16%),(42.53%)
Interest Expense,(3.93%),(4.30%),(9.68%),(6.55%),(57.25%)
Net Interest Expenses,(3.93%),(4.30%),(9.68%),(6.55%),(57.25%)
Currency Exchange Gains (Loss),,-4.48%,-57.81%,(25.93%),(11.27%)
Other Non Operating Income (Expenses),"1,519.06%",(90.40%),(3.67%),(29.56%),"1,068.40%"
"EBT, Excl. Unusual Items",57.77%,84.04%,12.78%,(62.84%),(59.26%)
"EBT, Incl. Unusual Items",,235.93%,13.16%,(99.37%),(69.51%)
Income Tax Expense,18.10%,134.09%,(9.46%),(88.94%),46.07%
Earnings From Continuing Operations,,294.50%,20.88%,,(79.09%)
Net Income to Company,,294.50%,20.88%,,(79.09%)
Minority Interest,(36.37%),(71.71%),(21.95%),-89.68%,(241.91%)
Net Income,,307.38%,20.85%,,(84.37%)
NI to Common Incl Extra Items,,307.38%,20.85%,,(84.37%)
NI to Common Excl. Extra Items,,307.38%,20.85%,,(84.37%)
Revenue Per Share,(2.52%),13.34%,(0.71%),(21.26%),(19.73%)
Basic EPS,,302.44%,19.87%,,(84.47%)
Basic EPS - Continuing Ops,,302.44%,19.87%,,(84.47%)
Basic Weighted Average Shares Outst.,0.65%,1.48%,1.02%,0.81%,0.62%
Diluted EPS,,296.72%,19.83%,,(84.30%)
Diluted EPS - Continuing Ops,,296.72%,19.83%,,(84.30%)
Diluted Weighted Average Shares Outst.,1.67%,1.95%,0.65%,(0.29%),(0.05%)
Normalized Basic EPS,57.15%,82.37%,11.39%,(62.39%),(62.34%)
Normalized Diluted EPS,55.57%,81.22%,11.71%,(61.91%),(62.09%)
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,,(75.08%),(16.43%),,543.50%
EBITDA,7.93%,65.95%,9.23%,(41.18%),(25.99%)
EBITA,17.12%,99.69%,10.73%,(54.16%),(40.23%)
EBIT,23.37%,111.76%,11.29%,(56.16%),(42.53%)
EBITDAR,6.24%,60.01%,8.70%,(39.78%),
Effective Tax Rate,,(30.31%),(19.98%),"1,655.89%",379.09%
Normalized Net Income,58.51%,84.40%,12.52%,(62.04%),(62.10%)
R&D Expense From Footnotes,(3.55%),2.37%,0.26%,(0.77%),(7.71%)
Foreign Sales,(3.44%),17.48%,(2.63%),(18.65%),
