Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,12.69%,19.32%,2.93%,(21.67%),(11.06%)
Total Revenues,12.69%,19.32%,2.93%,(21.67%),(11.06%)
Cost Of Revenues,14.14%,21.53%,5.68%,(20.24%),(13.02%)
Gross Profit,8.39%,12.44%,(6.34%),(27.09%),(3.57%)
Selling General & Admin Expenses,(3.01%),14.34%,(8.47%),(14.07%),(8.61%)
R&D Expenses,18.75%,15.79%,(9.09%),(5.00%),0.00%
Total Operating Expenses,0.32%,14.60%,(8.59%),(12.42%),(7.10%)
Operating Income,17.01%,10.47%,(4.21%),(40.38%),0.00%
Interest Expense,-1.85%,(1.89%),(9.26%),-10.17%,-13.79%
Interest And Investment Income,80.00%,11.11%,(10.00%),(11.11%),(45.45%)
Net Interest Expenses,-10.20%,0.00%,(13.64%),-10.00%,-6.38%
Currency Exchange Gains (Loss),,0.00%,,,0.00%
Other Non Operating Income (Expenses),,0.00%,,,
"EBT, Excl. Unusual Items",22.62%,10.03%,(8.82%),(44.84%),(1.81%)
"EBT, Incl. Unusual Items",57.73%,(61.11%),115.13%,,(37.50%)
Income Tax Expense,0.00%,484.85%,(63.73%),172.86%,238.03%
Earnings From Continuing Operations,69.57%,,,,
Net Income to Company,68.52%,,,,
Minority Interest,(66.67%),(56.00%),-25.64%,-41.38%,(16.67%)
Net Income,68.71%,,,,
Preferred Dividend and Other Adjustments,100.00%,(50.00%),100.00%,,
NI to Common Incl Extra Items,68.49%,,,,
NI to Common Excl. Extra Items,69.66%,,,,
Revenue Per Share,12.87%,20.49%,8.20%,(18.76%),(9.89%)
Basic EPS,68.75%,,,,
Basic EPS - Continuing Ops,70.20%,,,,
Basic Weighted Average Shares Outst.,(0.16%),(0.96%),(4.86%),(3.58%),(1.31%)
Diluted EPS,68.53%,,,,
Diluted EPS - Continuing Ops,70.00%,,,,
Diluted Weighted Average Shares Outst.,(0.32%),(1.59%),(4.70%),(3.74%),(1.39%)
Normalized Basic EPS,18.36%,4.15%,(0.12%),(43.49%),(3.54%)
Normalized Diluted EPS,18.12%,4.93%,(0.29%),(43.29%),(3.45%)
Dividend Per Share,18.27%,4.88%,5.43%,2.94%,0.00%
Payout Ratio,(29.79%),,,,
EBITDA,9.67%,5.81%,(3.41%),(26.67%),1.28%
EBITA,16.94%,9.94%,(4.39%),(39.46%),0.31%
EBIT,17.01%,10.47%,(4.21%),(40.38%),0.00%
EBITDAR,9.47%,,,,
Effective Tax Rate,(36.60%),"1,404.50%",(83.14%),,440.85%
Normalized Net Income,17.98%,3.20%,(5.04%),(45.45%),(4.80%)
Interest Capitalized,0.00%,100.00%,100.00%,(50.00%),
R&D Expense From Footnotes,18.75%,15.79%,(9.09%),(5.00%),0.00%
Foreign Sales,14.73%,23.84%,2.69%,(22.85%),
