Income Statement,Jan 2017,Jan 2018,Jan 2019,Jan 2020,Jan 2021,TTM
Revenues,178.4,229.5,287.2,532.0,733.6,733.6
Total Revenues,178.4,229.5,287.2,532.0,733.6,733.6
Cost Of Revenues,72.0,94.6,106.1,206.1,318.2,318.2
Gross Profit,106.4,134.9,181.2,325.9,415.3,415.3
Selling General & Admin Expenses,38.5,48.3,62.5,104.5,134.5,134.5
R&D Expenses,22.4,27.4,35.1,77.6,124.8,124.8
Total Operating Expenses,65.1,80.5,103.5,216.8,335.3,335.3
Operating Income,41.2,54.4,77.7,109.1,80.0,80.0
Interest Expense,(0.3),(0.3),(0.3),(24.8),(34.9),(34.9)
Interest And Investment Income,0.5,,1.9,5.9,1.0,1.0
Net Interest Expenses,0.3,(0.3),1.7,(18.9),(33.8),(33.8)
Other Non Operating Income (Expenses),(0.7),0.2,(1.3),(1.9),(1.7),(1.7)
"EBT, Excl. Unusual Items",40.8,54.4,78.0,88.3,44.4,44.4
"EBT, Incl. Unusual Items",40.1,52.2,75.8,43.2,4.1,4.1
Income Tax Expense,13.7,4.8,1.9,3.5,(4.7),(4.7)
Earnings From Continuing Operations,26.4,47.4,73.9,39.7,8.8,8.8
Net Income to Company,26.4,47.4,73.9,39.7,8.8,8.8
Net Income,26.4,47.4,73.9,39.7,8.8,8.8
NI to Common Incl Extra Items,26.4,47.4,73.9,39.7,8.8,8.8
NI to Common Excl. Extra Items,26.4,47.4,73.9,39.7,8.8,8.8
Revenue Per Share,$3.04,$3.81,$4.65,$7.94,$9.88,$9.88
Basic EPS,$0.45,$0.79,$1.20,$0.59,$0.12,$0.12
Basic EPS - Continuing Ops,$0.45,$0.79,$1.20,$0.59,$0.12,$0.12
Basic Weighted Average Shares Outst.,58.6,60.3,61.8,67.0,74.2,74.2
Diluted EPS,$0.44,$0.77,$1.17,$0.58,$0.12,$0.12
Diluted EPS - Continuing Ops,$0.44,$0.77,$1.17,$0.58,$0.12,$0.12
Diluted Weighted Average Shares Outst.,59.9,61.9,63.4,68.5,75.7,75.7
Normalized Basic EPS,$0.43,$0.56,$0.79,$0.82,$0.37,$0.37
Normalized Diluted EPS,$0.43,$0.55,$0.77,$0.81,$0.37,$0.37
EBITDA,54.4,70.4,95.9,164.5,195.9,195.9
EBITA,52.4,67.6,92.4,155.6,179.9,179.9
EBIT,41.2,54.4,77.7,109.1,80.0,80.0
EBITDAR,58.0,74.7,101.3,172.8,210.2,210.2
Effective Tax Rate,34.3%,9.2%,2.5%,8.1%,NM,NM
Normalized Net Income,25.5,34.0,48.8,55.2,27.8,27.8
Interest on Long-Term Debt,0.3,0.3,0.3,24.8,34.9,34.9
R&D Expense From Footnotes,22.4,27.4,35.1,77.6,124.8,124.8
