Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1.38%,20.08%,(1.87%),(10.54%),(8.52%)
Total Revenues,1.38%,20.08%,(1.87%),(10.54%),(8.52%)
Cost Of Revenues,0.72%,21.76%,(2.42%),(8.24%),(7.41%)
Gross Profit,2.57%,17.16%,(0.87%),(14.66%),(10.51%)
Selling General & Admin Expenses,(5.16%),16.66%,0.16%,(1.01%),(3.09%)
Total Operating Expenses,(5.16%),16.66%,2.90%,(3.64%),(5.64%)
Operating Income,15.76%,17.87%,(6.08%),(31.36%),(18.38%)
Interest Expense,-1.10%,(41.00%),-8.06%,(18.16%),(18.99%)
Interest And Investment Income,31.58%,(8.00%),17.39%,(25.93%),(20.00%)
Net Interest Expenses,-2.89%,(44.64%),-9.26%,(20.86%),(21.16%)
Other Non Operating Income (Expenses),,(18.18%),-26.92%,,
"EBT, Excl. Unusual Items",8.95%,15.54%,(5.61%),(36.15%),(22.32%)
"EBT, Incl. Unusual Items",123.95%,11.95%,(58.51%),31.52%,91.88%
Income Tax Expense,383.87%,(61.08%),(51.12%),16.98%,66.97%
Earnings From Continuing Operations,39.34%,94.49%,(60.18%),35.55%,99.03%
Net Income to Company,39.34%,94.49%,(60.18%),35.55%,99.03%
Minority Interest,-30.00%,,,-66.67%,-50.00%
Net Income,39.90%,95.34%,(60.28%),35.78%,99.30%
NI to Common Incl Extra Items,39.90%,95.34%,(60.28%),35.78%,99.30%
NI to Common Excl. Extra Items,39.90%,95.34%,(60.28%),35.78%,99.30%
Revenue Per Share,(0.14%),19.69%,(2.19%),(8.24%),(6.32%)
Basic EPS,37.73%,94.84%,(60.41%),39.22%,104.09%
Basic EPS - Continuing Ops,37.73%,94.84%,(60.41%),39.22%,104.09%
Basic Weighted Average Shares Outst.,1.54%,0.34%,0.34%,(2.51%),(2.35%)
Diluted EPS,37.20%,93.66%,(60.00%),40.00%,105.98%
Diluted EPS - Continuing Ops,37.20%,93.66%,(60.00%),40.00%,105.98%
Diluted Weighted Average Shares Outst.,1.85%,0.99%,(0.66%),(2.97%),(2.82%)
Normalized Basic EPS,7.50%,15.63%,(5.98%),(34.48%),(20.43%)
Normalized Diluted EPS,7.13%,14.67%,(5.20%),(34.14%),(20.04%)
Dividend Per Share,0.00%,6.06%,11.43%,10.26%,7.50%
Payout Ratio,(27.41%),(45.47%),181.02%,(20.67%),(47.40%)
EBITDA,14.53%,24.79%,(5.95%),(22.84%),(12.16%)
EBITA,14.59%,19.65%,(6.41%),(27.24%),(12.74%)
EBIT,15.76%,17.87%,(6.08%),(31.36%),(18.38%)
EBITDAR,13.99%,24.90%,(5.49%),(20.66%),
Effective Tax Rate,116.05%,(65.23%),17.80%,(11.04%),(12.98%)
Normalized Net Income,9.12%,15.92%,(5.75%),(36.12%),(22.30%)
Interest on Long-Term Debt,(1.10%),,,,
R&D Expense From Footnotes,(4.88%),52.31%,(16.16%),(0.13%),(0.13%)
Foreign Sales,4.13%,21.56%,(5.37%),(8.33%),
