Income Statement,Apr 2016,Apr 2017,Apr 2018,Apr 2019,Apr 2020,TTM
Revenues,6304.1,6640.6,7472.1,8364.9,8112.3,7127.6
Total Revenues,6304.1,6640.6,7472.1,8364.9,8112.3,7127.6
Cost Of Revenues,4690.5,4959.4,5702.7,6410.2,5967.6,4807.1
Gross Profit,1613.6,1681.2,1769.4,1954.7,2144.7,2320.5
Selling General & Admin Expenses,1052.2,1171.6,1282.5,1390.1,1496.9,1545.2
Depreciation & Amortization,170.9,197.6,221.0,244.4,251.2,255.5
Total Operating Expenses,1223.1,1369.3,1503.5,1634.5,1748.0,1800.7
Operating Income,390.5,311.9,265.9,320.2,396.6,519.8
Interest Expense,(40.3),(42.1),(52.5),(56.3),(54.3),(50.2)
Interest And Investment Income,0.2,0.6,1.6,0.6,0.9,0.9
Net Interest Expenses,(40.2),(41.5),(50.9),(55.7),(53.4),(49.3)
"EBT, Excl. Unusual Items",350.3,270.4,214.9,264.6,343.2,470.5
"EBT, Incl. Unusual Items",348.7,269.7,214.4,263.4,342.0,432.3
Income Tax Expense,122.7,92.2,(103.5),59.5,78.2,99.0
Earnings From Continuing Operations,226.0,177.5,317.9,203.9,263.8,333.3
Net Income to Company,226.0,177.5,317.9,203.9,263.8,333.3
Net Income,226.0,177.5,317.9,203.9,263.8,333.3
NI to Common Incl Extra Items,226.0,177.5,317.9,203.9,263.8,333.3
NI to Common Excl. Extra Items,226.0,177.5,317.9,203.9,263.8,333.3
Revenue Per Share,$161.58,$169.73,$197.79,$227.86,$219.51,$192.41
Basic EPS,$5.79,$4.54,$8.41,$5.55,$7.14,$9.00
Basic EPS - Continuing Ops,$5.79,$4.54,$8.41,$5.55,$7.14,$9.00
Basic Weighted Average Shares Outst.,39.0,39.1,37.8,36.7,37.0,37.0
Diluted EPS,$5.73,$4.48,$8.34,$5.51,$7.10,$8.95
Diluted EPS - Continuing Ops,$5.73,$4.48,$8.34,$5.51,$7.10,$8.95
Diluted Weighted Average Shares Outst.,39.4,39.6,38.1,37.0,37.2,37.3
Normalized Basic EPS,$5.61,$4.32,$3.56,$4.50,$5.80,$7.94
Normalized Diluted EPS,$5.55,$4.27,$3.52,$4.47,$5.77,$7.89
Dividend Per Share,$0.88,$0.96,$1.04,$1.16,$1.28,$1.30
Payout Ratio,14.84%,20.71%,12.20%,20.32%,17.42%,14.16%
EBITDA,561.4,509.5,486.9,564.6,647.8,775.3
EBITA,390.5,311.9,265.9,320.2,396.6,519.8
EBIT,390.5,311.9,265.9,320.2,396.6,519.8
EBITDAR,563.3,511.5,,,,
Effective Tax Rate,35.2%,34.2%,NM,22.6%,22.9%,22.9%
Normalized Net Income,219.0,169.0,134.3,165.4,214.5,294.1
Interest Capitalized,1.1,1.5,2.3,3.1,5.3,
