Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,15.29%,14.08%,10.35%,(11.27%),(14.61%)
Total Revenues,15.29%,14.08%,10.35%,(11.27%),(14.61%)
Cost Of Revenues,18.02%,13.44%,5.58%,(13.23%),(19.17%)
Gross Profit,14.02%,14.39%,12.65%,(10.39%),(12.57%)
Selling General & Admin Expenses,14.58%,12.64%,11.72%,(9.36%),(11.62%)
Depreciation & Amortization,17.91%,11.30%,8.76%,11.86%,6.40%
Total Operating Expenses,14.69%,12.60%,11.61%,(8.64%),(11.00%)
Operating Income,8.69%,29.33%,20.12%,(22.11%),(23.01%)
Interest Expense,(24.06%),-9.07%,(10.37%),-6.38%,-20.85%
Net Interest Expenses,(24.06%),-9.07%,(10.37%),-6.38%,-20.85%
Other Non Operating Income (Expenses),(87.12%),805.88%,(58.44%),45.31%,192.75%
"EBT, Excl. Unusual Items",6.44%,31.12%,18.74%,(24.92%),(12.09%)
"EBT, Incl. Unusual Items",15.55%,31.77%,(1.19%),(24.08%),(8.88%)
Income Tax Expense,117.57%,(16.39%),(25.48%),(33.06%),(21.34%)
Earnings From Continuing Operations,(19.20%),75.92%,9.40%,(21.42%),(5.02%)
Net Income to Company,(19.20%),75.92%,9.40%,(21.42%),(5.02%)
Minority Interest,-80.86%,(132.26%),-63.89%,(676.92%),-51.33%
Net Income,(16.17%),75.29%,10.49%,(24.81%),(3.68%)
Preferred Dividend and Other Adjustments,0.00%,0.00%,125.00%,,
NI to Common Incl Extra Items,(16.19%),75.40%,10.39%,(24.68%),(3.51%)
NI to Common Excl. Extra Items,(16.19%),75.40%,10.39%,(24.68%),(3.51%)
Revenue Per Share,14.88%,13.58%,3.26%,(16.48%),(17.00%)
Basic EPS,(16.45%),74.64%,3.24%,(29.14%),(6.21%)
Basic EPS - Continuing Ops,(16.45%),74.64%,3.24%,(29.14%),(6.21%)
Basic Weighted Average Shares Outst.,0.36%,0.44%,6.88%,6.24%,2.88%
Diluted EPS,(16.60%),74.79%,3.13%,(29.16%),(6.20%)
Diluted EPS - Continuing Ops,(16.60%),74.79%,3.13%,(29.16%),(6.20%)
Diluted Weighted Average Shares Outst.,0.51%,0.38%,7.02%,6.36%,2.85%
Normalized Basic EPS,10.48%,29.73%,12.33%,(32.47%),(13.47%)
Normalized Diluted EPS,10.36%,29.74%,12.18%,(32.53%),(13.45%)
Dividend Per Share,12.50%,13.89%,4.88%,,
Payout Ratio,34.25%,(34.88%),2.27%,,
EBITDA,10.64%,25.28%,24.82%,(12.72%),(15.37%)
EBITA,8.69%,29.33%,34.84%,(15.87%),(18.44%)
EBIT,8.69%,29.33%,20.12%,(22.11%),(23.01%)
EBITDAR,11.68%,19.76%,21.28%,(9.39%),
Effective Tax Rate,88.33%,(36.55%),(24.57%),(11.82%),(13.68%)
Normalized Net Income,10.91%,30.23%,20.04%,(28.25%),(10.98%)
Foreign Sales,35.82%,13.28%,1.72%,(10.04%),
