Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(5.20%),(22.41%),0.31%,13.98%,0.00%
Total Revenues,(5.20%),(22.41%),0.31%,13.98%,0.00%
Cost Of Revenues,(6.62%),(32.06%),(4.59%),(5.54%),0.00%
Gross Profit,(3.56%),(11.66%),4.51%,29.23%,0.00%
Selling General & Admin Expenses,0.92%,(6.95%),8.18%,17.26%,0.00%
Depreciation & Amortization,4.78%,1.88%,(3.34%),(0.37%),0.00%
Total Operating Expenses,1.97%,(4.47%),4.73%,12.39%,0.00%
Operating Income,(15.50%),(30.38%),3.73%,90.01%,0.00%
Interest Expense,-0.06%,(19.25%),(3.63%),-10.72%,0.00%
Interest And Investment Income,(49.80%),2.94%,35.45%,(66.10%),0.00%
Net Interest Expenses,(2.46%),(19.65%),(2.95%),-9.17%,0.00%
Other Non Operating Income (Expenses),,(49.31%),182.22%,(62.36%),0.00%
"EBT, Excl. Unusual Items",(4.96%),(46.39%),10.24%,143.63%,0.00%
"EBT, Incl. Unusual Items",1.97%,(38.23%),(69.15%),856.78%,0.00%
Income Tax Expense,(66.67%),62.82%,,,0.00%
Earnings From Continuing Operations,36.01%,(50.51%),(54.37%),682.50%,0.00%
Earnings Of Discontinued Operations,,"1,720.93%",(67.38%),137.70%,0.00%
Net Income to Company,42.81%,(19.91%),(59.48%),510.28%,0.00%
Net Income,42.81%,(19.91%),(59.48%),510.28%,0.00%
NI to Common Incl Extra Items,42.81%,(19.91%),(59.48%),510.28%,0.00%
NI to Common Excl. Extra Items,36.01%,(50.51%),(54.37%),682.50%,0.00%
Revenue Per Share,(0.63%),(19.87%),1.56%,15.91%,0.00%
Basic EPS,49.37%,(17.19%),(59.06%),518.85%,0.00%
Basic EPS - Continuing Ops,42.13%,(48.86%),(54.05%),701.06%,0.00%
Basic Weighted Average Shares Outst.,(4.57%),(3.17%),(1.20%),(1.68%),0.00%
Diluted EPS,49.65%,(16.76%),(58.60%),513.27%,0.00%
Diluted EPS - Continuing Ops,42.28%,(48.57%),(53.33%),680.95%,0.00%
Diluted Weighted Average Shares Outst.,(4.36%),(3.47%),(1.52%),(0.65%),0.00%
Normalized Basic EPS,(0.30%),(44.80%),11.33%,147.35%,0.00%
Normalized Diluted EPS,(0.92%),(44.58%),12.66%,144.15%,0.00%
Dividend Per Share,,,,400.00%,0.00%
Payout Ratio,,,,,0.00%
EBITDA,(8.91%),(16.96%),(0.07%),48.93%,0.00%
EBITA,(11.54%),(22.79%),1.25%,65.68%,0.00%
EBIT,(15.50%),(30.38%),3.73%,90.01%,0.00%
EBITDAR,(9.90%),,,45.67%,
Effective Tax Rate,(67.31%),163.47%,,,0.00%
Normalized Net Income,(4.96%),(46.39%),10.24%,143.63%,0.00%
Interest on Long-Term Debt,2.78%,15.95%,5.61%,(12.40%),
Foreign Sales,7.69%,7.06%,9.38%,1.67%,
