Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.62%,1.99%,17.77%,3.67%,2.21%
Total Revenues,7.62%,1.99%,17.77%,3.67%,2.21%
Fuel & Purchased Power,4.25%,2.53%,7.24%,(22.66%),(19.62%)
Operations And Maintenance,8.36%,3.85%,19.63%,3.38%,0.13%
Depreciation & Amortization,(4.08%),6.13%,16.26%,11.36%,9.14%
Other Operating Expenses,11.42%,(4.44%),8.13%,(2.30%),0.23%
Total Operating Expenses,8.00%,2.71%,17.62%,2.62%,0.30%
Operating Income,4.16%,(4.86%),19.33%,14.31%,22.30%
"Interest Expense, Total",-5.76%,(2.21%),(16.51%),-2.10%,-4.43%
Net Interest Expenses,-5.76%,(2.21%),(16.51%),-2.10%,-4.43%
Other Non-Operating Inc. (Exp.),26.13%,,,27.80%,223.72%
"EBT, Excl. Unusual Items",7.30%,(9.47%),26.39%,18.95%,33.67%
"EBT, Incl. Unusual Items",7.30%,(9.47%),25.74%,19.24%,33.33%
Income Tax Expense,(30.16%),(26.99%),33.26%,33.68%,47.88%
Earnings From Continuing Operations,22.26%,(5.47%),24.42%,16.52%,30.51%
Earnings Of Discontinued Operations,-97.76%,,(90.21%),,90.24%
Net Income to Company,336.43%,(3.16%),23.18%,16.32%,30.52%
Net Income,336.43%,(3.16%),23.18%,16.32%,30.52%
Pref. Dividends and Other Adj.,12.55%,,,,
NI to Common Incl Extra Items,339.91%,(2.89%),23.18%,16.32%,30.52%
NI to Common Excl. Extra Items,22.29%,(5.22%),24.42%,16.52%,30.51%
Revenue Per Share,7.62%,1.77%,16.07%,2.70%,1.72%
Basic EPS,335.11%,(3.38%),21.51%,15.16%,29.89%
Basic EPS - Continuing Ops,22.29%,(5.73%),22.29%,15.25%,29.89%
Basic Weighted Average Shares Outst.,0.00%,0.21%,1.48%,0.95%,0.48%
Diluted EPS,333.54%,(2.70%),21.51%,15.16%,29.87%
Diluted EPS - Continuing Ops,21.85%,(5.08%),22.29%,15.25%,29.87%
Diluted Weighted Average Shares Outst.,0.04%,0.24%,1.26%,0.98%,0.53%
Normalized Basic EPS,7.71%,(9.65%),24.78%,17.85%,33.03%
Normalized Diluted EPS,7.49%,(9.85%),24.77%,17.81%,32.97%
Dividend Per Share,1.97%,1.92%,1.87%,1.83%,2.44%
Payout Ratio,(76.53%),5.90%,(15.83%),(10.73%),(21.37%)
EBITDA,1.30%,(1.25%),18.25%,13.29%,17.57%
EBITA,4.01%,(5.02%),19.57%,15.61%,23.22%
EBIT,4.16%,(4.86%),19.33%,14.31%,22.30%
EBITDAR,,,,12.70%,
Effective Tax Rate,(34.92%),(19.35%),5.95%,12.12%,10.91%
Normalized Net Income,7.30%,(9.47%),26.39%,18.95%,33.67%
Interest Capitalized,5.69%,137.06%,22.58%,(5.95%),
Interest on Long-Term Debt,(5.76%),2.21%,16.51%,,
