Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,16.31%,2.60%,11.60%,14.71%,6.74%
Total Revenues,16.31%,2.60%,11.60%,14.71%,6.74%
Cost Of Revenues,17.98%,1.49%,10.93%,12.56%,6.18%
Gross Profit,13.00%,4.89%,12.96%,18.94%,7.79%
Selling General & Admin Expenses,14.26%,2.43%,12.06%,18.53%,(0.55%)
Depreciation & Amortization,10.82%,0.61%,18.95%,28.89%,12.33%
Total Operating Expenses,14.04%,2.32%,12.49%,19.22%,0.37%
Operating Income,9.27%,14.61%,14.55%,18.05%,35.10%
Interest Expense,(18.24%),-13.58%,(18.85%),(12.21%),-39.70%
Net Interest Expenses,(18.24%),-13.58%,(18.85%),(12.21%),-39.70%
"EBT, Excl. Unusual Items",7.67%,20.13%,13.94%,18.90%,48.60%
"EBT, Incl. Unusual Items",11.18%,20.13%,9.79%,22.48%,53.11%
Income Tax Expense,5.12%,,,28.65%,70.62%
Earnings From Continuing Operations,14.62%,84.01%,(11.81%),21.04%,49.11%
Net Income to Company,14.62%,84.01%,(11.81%),21.04%,49.11%
Net Income,14.62%,84.01%,(11.81%),21.04%,49.11%
NI to Common Incl Extra Items,14.62%,84.01%,(11.81%),21.04%,49.11%
NI to Common Excl. Extra Items,14.62%,84.01%,(11.81%),21.04%,49.11%
Revenue Per Share,15.64%,1.70%,10.63%,13.81%,6.47%
Basic EPS,13.88%,82.34%,(12.55%),20.03%,48.73%
Basic EPS - Continuing Ops,13.88%,82.34%,(12.55%),20.03%,48.73%
Basic Weighted Average Shares Outst.,0.57%,0.88%,0.88%,0.80%,0.26%
Diluted EPS,13.37%,82.70%,(12.32%),20.55%,49.75%
Diluted EPS - Continuing Ops,13.37%,82.70%,(12.32%),20.55%,49.75%
Diluted Weighted Average Shares Outst.,1.08%,0.74%,0.55%,0.35%,(0.49%)
Normalized Basic EPS,7.03%,19.04%,12.99%,18.03%,48.22%
Normalized Diluted EPS,6.50%,19.21%,13.33%,18.42%,49.32%
EBITDA,10.63%,11.89%,15.32%,20.00%,30.39%
EBITA,9.00%,12.11%,15.09%,19.25%,34.55%
EBIT,9.27%,14.61%,14.55%,18.05%,35.10%
EBITDAR,12.32%,,,,
Effective Tax Rate,(5.46%),,,5.04%,11.43%
Normalized Net Income,7.67%,20.13%,13.94%,18.90%,48.60%
Foreign Sales,(8.66%),19.05%,(3.90%),4.13%,
