Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7551.5,7687.0,8130.6,9174.6,8797.1,8801.3
Total Revenues,7551.5,7687.0,8130.6,9174.6,8797.1,8801.3
Cost Of Revenues,6513.7,6540.0,6925.2,7818.7,7401.7,7397.9
Gross Profit,1037.9,1147.0,1205.5,1355.9,1395.4,1403.4
Selling General & Admin Expenses,721.7,757.1,796.4,891.9,900.6,897.5
Total Operating Expenses,721.7,757.1,796.4,891.9,900.6,897.5
Operating Income,316.1,390.0,409.0,464.0,494.8,505.9
Interest Expense,(12.6),(12.8),(13.5),(13.8),(9.0),(7.9)
Interest And Investment Income,0.7,1.0,2.7,2.3,1.5,1.5
Net Interest Expenses,(12.0),(11.8),(10.8),(11.6),(7.5),(6.4)
"EBT, Excl. Unusual Items",304.2,378.1,398.2,452.4,487.3,499.5
"EBT, Incl. Unusual Items",296.5,318.7,395.0,450.9,252.3,264.6
Income Tax Expense,111.2,90.7,109.1,125.7,119.4,122.4
Earnings From Continuing Operations,185.3,228.1,285.9,325.1,132.9,142.2
Earnings Of Discontinued Operations,(3.1),(0.9),(2.3),,,
Net Income to Company,182.2,227.2,283.6,325.1,132.9,142.2
Minority Interest,(0.2),0.0,(0.0),,,(0.2)
Net Income,181.9,227.2,283.5,325.1,132.9,142.1
NI to Common Incl Extra Items,181.9,227.2,283.5,325.1,132.9,142.1
NI to Common Excl. Extra Items,185.1,228.1,285.9,325.1,132.9,142.1
Revenue Per Share,$124.26,$129.73,$139.91,$163.23,$159.38,$160.26
Basic EPS,$2.99,$3.83,$4.88,$5.78,$2.41,$2.59
Basic EPS - Continuing Ops,$3.05,$3.85,$4.92,$5.78,$2.41,$2.59
Basic Weighted Average Shares Outst.,60.8,59.3,58.1,56.2,55.2,54.9
Diluted EPS,$2.97,$3.82,$4.85,$5.75,$2.40,$2.58
Diluted EPS - Continuing Ops,$3.02,$3.83,$4.89,$5.75,$2.40,$2.58
Diluted Weighted Average Shares Outst.,61.2,59.6,58.4,56.5,55.4,55.2
Normalized Basic EPS,$3.12,$3.99,$4.28,$5.03,$5.52,$5.68
Normalized Diluted EPS,$3.10,$3.96,$4.26,$5.00,$5.50,$5.66
Dividend Per Share,$0.32,$0.32,$0.32,$0.32,$0.37,$0.42
Payout Ratio,10.69%,8.35%,6.57%,5.52%,13.29%,14.29%
EBITDA,395.9,478.5,490.0,556.1,601.4,613.0
EBITA,357.0,438.5,451.5,512.1,554.7,566.1
EBIT,316.1,390.0,409.0,464.0,494.8,505.9
EBITDAR,544.9,644.4,681.3,776.7,815.3,
Effective Tax Rate,37.5%,28.5%,27.6%,27.9%,47.3%,46.3%
Normalized Net Income,189.9,236.3,248.9,282.8,304.6,312.0
Interest on Long-Term Debt,,,,0.4,0.4,
Foreign Earnings,10.1,,,,,
Foreign Sales,326.3,,,,439.9,
