Income Statement,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,4.72%,4.53%,19.84%,7.67%,5.50%
Total Revenues,4.72%,4.53%,19.84%,7.67%,5.50%
Cost Of Revenues,4.40%,5.89%,21.63%,7.05%,6.16%
Gross Profit,5.29%,2.19%,16.65%,8.83%,4.31%
Selling General & Admin Expenses,4.73%,(14.37%),21.96%,8.06%,(1.09%)
R&D Expenses,,,30.66%,13.75%,0.00%
Total Operating Expenses,4.73%,0.39%,23.24%,8.95%,1.07%
Operating Income,6.19%,5.06%,6.61%,8.63%,10.09%
Interest Expense,-1.15%,-0.09%,(51.00%),(14.99%),(0.85%)
Interest And Investment Income,64.33%,81.24%,11.77%,(54.41%),(54.41%)
Net Interest Expenses,-4.08%,-6.31%,(56.81%),(22.31%),(6.00%)
Currency Exchange Gains (Loss),58.42%,(26.96%),38.24%,30.55%,
Other Non Operating Income (Expenses),85.15%,(16.29%),1.06%,14.73%,355.90%
"EBT, Excl. Unusual Items",7.43%,5.42%,4.42%,6.49%,9.26%
"EBT, Incl. Unusual Items",6.88%,5.44%,(13.50%),26.37%,35.03%
Income Tax Expense,(14.07%),17.54%,(52.07%),60.68%,59.85%
Earnings From Continuing Operations,15.90%,1.58%,0.75%,20.34%,30.35%
Net Income to Company,15.90%,1.58%,0.75%,20.34%,30.35%
Net Income,15.90%,1.58%,0.75%,20.34%,30.35%
NI to Common Incl Extra Items,15.90%,1.58%,0.75%,20.34%,30.35%
NI to Common Excl. Extra Items,15.90%,1.58%,0.75%,20.34%,30.35%
Revenue Per Share,6.19%,6.44%,19.38%,6.79%,4.75%
Basic EPS,17.70%,3.50%,0.24%,19.16%,29.42%
Basic EPS - Continuing Ops,17.70%,3.50%,0.24%,19.16%,29.42%
Basic Weighted Average Shares Outst.,(1.39%),(1.79%),0.38%,0.83%,0.72%
Diluted EPS,16.99%,3.73%,1.20%,19.76%,29.33%
Diluted EPS - Continuing Ops,16.99%,3.73%,1.20%,19.76%,29.33%
Diluted Weighted Average Shares Outst.,(0.66%),(2.33%),(0.52%),0.53%,0.45%
Normalized Basic EPS,9.00%,7.26%,3.94%,5.44%,8.48%
Normalized Diluted EPS,7.85%,8.18%,5.07%,5.86%,8.77%
Dividend Per Share,16.67%,14.29%,12.50%,11.11%,9.46%
Payout Ratio,(0.78%),10.49%,12.21%,(6.91%),(15.39%)
EBITDA,5.42%,3.40%,11.76%,8.70%,8.62%
EBITA,6.23%,4.23%,9.25%,8.52%,9.27%
EBIT,6.19%,5.06%,6.61%,8.63%,10.09%
EBITDAR,5.44%,3.07%,12.51%,5.94%,
Effective Tax Rate,(19.60%),11.47%,(44.60%),27.13%,18.37%
Normalized Net Income,7.43%,5.42%,4.42%,6.49%,9.26%
Interest Capitalized,(40.00%),200.00%,44.44%,(23.08%),
Interest on Long-Term Debt,(2.13%),3.00%,50.71%,13.34%,
R&D Expense From Footnotes,3.88%,3.86%,30.66%,13.75%,13.75%
Foreign Sales,5.58%,5.09%,12.73%,(6.46%),
