Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,15.32%,26.77%,(11.71%),1.20%,13.30%
Other Revenues,3.24%,13.51%,9.11%,(2.32%),(14.81%)
Total Revenues,15.14%,26.59%,(11.46%),1.14%,12.84%
Cost Of Revenues,15.96%,27.13%,(12.01%),2.27%,13.74%
Gross Profit,12.21%,24.59%,(9.40%),(2.96%),9.51%
Selling General & Admin Expenses,14.86%,20.99%,(13.71%),4.06%,10.53%
Depreciation & Amortization,13.31%,7.42%,2.06%,3.12%,4.02%
Other Operating Expense/(Income),(11.21%),11.27%,16.80%,(13.71%),(17.73%)
Total Operating Expenses,12.93%,19.43%,(11.08%),2.79%,8.10%
Operating Income,10.66%,36.01%,(6.13%),(13.54%),12.32%
Interest Expense,-16.55%,(5.94%),-6.35%,(25.85%),(22.96%)
Net Interest Expenses,-16.55%,(5.94%),-6.35%,(25.85%),(22.96%)
"EBT, Excl. Unusual Items",11.13%,36.40%,(6.13%),(13.94%),12.19%
"EBT, Incl. Unusual Items",9.73%,36.37%,(9.93%),(15.81%),10.96%
Income Tax Expense,(22.29%),14.67%,(6.98%),(16.41%),9.92%
Earnings From Continuing Operations,28.86%,44.19%,(10.78%),(15.63%),11.28%
Net Income to Company,28.86%,44.19%,(10.78%),(15.63%),11.28%
Minority Interest,,(26.09%),(75.00%),,
Net Income,28.93%,44.15%,(10.80%),(15.64%),11.28%
NI to Common Incl Extra Items,28.93%,44.15%,(10.80%),(15.64%),11.28%
NI to Common Excl. Extra Items,28.93%,44.15%,(10.80%),(15.64%),11.28%
Revenue Per Share,15.62%,28.62%,(8.15%),4.25%,16.36%
Basic EPS,29.53%,46.57%,(7.53%),(13.00%),14.75%
Basic EPS - Continuing Ops,29.53%,46.57%,(7.53%),(13.00%),14.75%
Basic Weighted Average Shares Outst.,(0.41%),(1.59%),(3.60%),(2.98%),(3.03%)
Diluted EPS,29.54%,46.79%,(7.44%),(13.00%),14.95%
Diluted EPS - Continuing Ops,29.54%,46.79%,(7.44%),(13.00%),14.95%
Diluted Weighted Average Shares Outst.,(0.50%),(1.70%),(3.69%),(2.98%),(3.03%)
Normalized Basic EPS,11.51%,38.53%,(2.65%),(11.34%),15.70%
Normalized Diluted EPS,11.62%,38.80%,(2.65%),(11.34%),15.70%
Dividend Per Share,11.76%,65.79%,11.11%,12.86%,13.19%
Payout Ratio,(13.71%),287.02%,(64.84%),29.85%,(75.67%)
EBITDA,11.03%,31.92%,(5.18%),(11.45%),11.19%
EBITA,10.66%,36.01%,(6.13%),(13.54%),12.32%
EBIT,10.66%,36.01%,(6.13%),(13.54%),12.32%
EBITDAR,11.19%,32.27%,(4.82%),(12.03%),
Effective Tax Rate,(29.17%),(15.92%),3.28%,(0.70%),(0.94%)
Normalized Net Income,11.20%,36.36%,(6.15%),(13.95%),12.19%
Foreign Sales,,26.57%,(11.50%),1.19%,
