Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,13.36%,3.54%,1.65%,5.63%,8.81%
Other Revenue,25.19%,9.92%,30.54%,19.73%,14.84%
Total Revenues,14.32%,4.11%,4.38%,7.30%,9.60%
Property Expenses,19.58%,1.18%,6.83%,6.68%,9.24%
Selling General & Admin Exp.,16.07%,(3.42%),0.00%,6.07%,11.32%
Depreciation & Amortization,13.23%,(19.35%),6.64%,10.46%,11.53%
Total Operating Expenses,16.80%,(6.61%),5.78%,7.74%,10.44%
Operating Income,9.72%,25.35%,2.33%,6.64%,8.33%
Total Interest Expense,(36.43%),-4.96%,(8.15%),(12.54%),(9.20%)
Interest and Investment Income,(89.55%),85.71%,"2,530.77%",(94.44%),132.84%
Net Interest Expenses,(36.59%),-4.97%,(7.68%),(13.02%),(8.67%)
"EBT, Excl. Unusual Items",(3.75%),46.91%,(0.13%),3.47%,8.16%
Gain (Loss) on Sale of Assets,,,85.82%,(99.72%),(100.00%)
Asset Writedown,-48.78%,-26.19%,-64.52%,(427.27%),"(1,350.00%)"
"EBT, Incl. Unusual Items",13.95%,114.40%,25.30%,(41.42%),(37.68%)
Earnings From Continuing Operations,13.95%,114.40%,25.30%,(41.42%),(37.68%)
Net Income to Company,13.95%,114.40%,25.30%,(41.42%),(37.68%)
Minority Interest,,(118.02%),(42.36%),-42.74%,-41.89%
Net Income,13.07%,114.38%,25.22%,(41.41%),(37.65%)
NI to Common Incl Extra Items,13.07%,114.38%,25.22%,(41.41%),(37.65%)
NI to Common Excl. Extra Items,13.07%,114.38%,25.22%,(41.41%),(37.65%)
Revenue Per Share,6.44%,3.87%,4.15%,5.53%,5.84%
Basic EPS,4.95%,113.08%,25.08%,(42.35%),(39.79%)
Basic EPS - Continuing Ops,4.95%,113.08%,25.08%,(42.35%),(39.79%)
Basic Weighted Average Shares Outst.,7.38%,0.28%,0.18%,1.69%,3.55%
Diluted EPS,5.34%,114.49%,25.00%,(42.43%),(39.78%)
Diluted EPS - Continuing Ops,5.34%,114.49%,25.00%,(42.43%),(39.78%)
Diluted Weighted Average Shares Outst.,7.10%,0.23%,0.12%,1.71%,3.57%
Normalized Basic EPS,(11.17%),46.44%,(0.60%),2.55%,5.15%
Normalized Diluted EPS,(11.40%),46.14%,(0.75%),2.37%,5.12%
Dividend Per Share,5.40%,(0.12%),1.62%,6.27%,5.32%
Payout Ratio,3.98%,(52.81%),(19.82%),85.12%,
FFO,22.13%,11.55%,3.92%,4.38%,8.44%
FFO Payout Ratio %,(3.73%),(9.31%),(3.39%),3.91%,
AFFO,22.13%,11.55%,3.92%,4.38%,
Funds Available for Distribution,22.13%,11.55%,3.92%,4.38%,
EBITDA,11.12%,7.11%,3.66%,7.85%,8.38%
EBITA,5.57%,10.18%,3.53%,7.71%,6.57%
EBIT,9.72%,25.35%,2.33%,6.64%,8.33%
EBITDAR,,,,7.70%,
Normalized Net Income,(4.79%),46.43%,(0.56%),4.14%,8.88%
Interest Capitalized,200.00%,100.00%,50.00%,(55.56%),
Interest on Long-Term Debt,57.93%,(4.54%),8.50%,11.75%,
