Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.94%,5.59%,(17.22%),(5.76%),0.15%
Total Revenues,5.94%,5.59%,(17.22%),(5.76%),0.15%
Fuel & Purchased Power,16.77%,2.67%,(4.12%),(8.22%),5.43%
Operations And Maintenance,0.94%,(1.05%),(22.38%),(4.65%),3.29%
Depreciation & Amortization,(9.35%),15.83%,(1.75%),7.82%,9.29%
Other Operating Expenses,9.12%,25.58%,(42.56%),(7.55%),2.65%
Total Operating Expenses,5.74%,8.79%,(18.67%),(4.12%),5.18%
Operating Income,7.01%,(11.04%),(8.00%),(14.93%),(26.21%)
"Interest Expense, Total",-3.56%,(0.15%),-4.42%,(1.08%),(4.52%)
Interest and Investment Income,,(72.22%),780.00%,(63.64%),(52.94%)
Net Interest Expenses,-6.12%,(2.12%),-10.24%,(5.79%),(7.74%)
Allow. For Equity Funds Used For Const.,,0.00%,91.67%,(17.39%),(13.64%)
Other Non-Operating Inc. (Exp.),,,266.67%,0.00%,650.00%
"EBT, Excl. Unusual Items",12.95%,(16.60%),(1.61%),(20.56%),(32.86%)
Gain (Loss) on Sale of Assets,,,"2,755.56%",(98.44%),(89.74%)
Other Unusual Items,(94.85%),185.71%,,,
"EBT, Incl. Unusual Items",6.44%,(15.14%),12.80%,(31.75%),(33.16%)
Income Tax Expense,(25.76%),,-57.42%,(498.48%),(54.94%)
Earnings From Continuing Operations,10.53%,1.10%,6.55%,(12.88%),(21.73%)
Net Income to Company,10.53%,1.10%,6.55%,(12.88%),(21.73%)
Minority Interest,,,,"12,500.00%",910.53%
Net Income,10.88%,1.10%,6.61%,(6.14%),(11.96%)
NI to Common Incl Extra Items,10.88%,1.10%,6.61%,(6.14%),(11.96%)
NI to Common Excl. Extra Items,10.88%,1.10%,6.61%,(6.14%),(11.96%)
Revenue Per Share,2.83%,4.55%,(17.70%),(6.30%),(0.57%)
Basic EPS,7.61%,0.11%,6.10%,(6.77%),(12.60%)
Basic EPS - Continuing Ops,7.61%,0.11%,6.10%,(6.77%),(12.60%)
Basic Weighted Average Shares Outst.,3.04%,0.98%,0.58%,0.58%,0.73%
Diluted EPS,7.64%,0.00%,6.21%,(6.69%),(12.53%)
Diluted EPS - Continuing Ops,7.64%,0.00%,6.21%,(6.69%),(12.53%)
Diluted Weighted Average Shares Outst.,3.03%,0.98%,0.39%,0.39%,0.53%
Normalized Basic EPS,9.90%,(17.52%),(2.23%),(8.15%),(15.32%)
Normalized Diluted EPS,10.00%,(17.49%),(1.91%),(7.66%),(15.15%)
Dividend Per Share,2.88%,4.67%,4.91%,5.11%,3.78%
Payout Ratio,(4.55%),4.65%,(0.97%),12.51%,19.22%
EBITDA,(1.30%),0.59%,(0.44%),(3.07%),(8.06%)
EBITA,4.31%,(12.31%),(0.94%),(15.52%),(26.21%)
EBIT,7.01%,(11.04%),(8.00%),(14.93%),(26.21%)
EBITDAR,,,,(3.27%),
Effective Tax Rate,(30.27%),,,,(131.81%)
Normalized Net Income,13.50%,(16.60%),(1.50%),(7.50%),(14.70%)
