Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.77%,7.62%,6.11%,1.42%,0.06%
Total Revenues,7.77%,7.62%,6.11%,1.42%,0.06%
Cost Of Revenues,6.69%,5.23%,9.55%,1.35%,(0.34%)
Gross Profit,8.71%,9.65%,3.30%,1.48%,0.41%
Selling General & Admin Expenses,15.08%,10.69%,14.10%,(2.22%),(0.81%)
R&D Expenses,0.05%,9.90%,7.44%,(5.67%),1.62%
Total Operating Expenses,10.89%,10.83%,12.39%,(3.55%),(0.68%)
Operating Income,(1.36%),3.53%,(47.13%),60.90%,12.25%
Interest Expense,(14.31%),(31.42%),(29.69%),-16.16%,-6.23%
Interest And Investment Income,70.91%,102.22%,39.54%,(40.76%),(51.69%)
Net Interest Expenses,(11.02%),(25.09%),(28.26%),-12.29%,(1.00%)
Other Non Operating Income (Expenses),(85.71%),,,(12.58%),
"EBT, Excl. Unusual Items",0.65%,(4.75%),(62.56%),112.87%,3.29%
"EBT, Incl. Unusual Items",1.73%,(23.52%),(76.28%),104.19%,(11.00%)
Income Tax Expense,,-98.57%,(504.11%),,"1,050.37%"
Earnings From Continuing Operations,62.17%,(39.10%),(73.44%),(35.19%),(83.51%)
Net Income to Company,62.17%,(39.10%),(73.44%),(35.19%),(83.51%)
Net Income,62.17%,(39.10%),(73.44%),(35.19%),(83.51%)
NI to Common Incl Extra Items,62.17%,(39.10%),(73.44%),(35.19%),(83.51%)
NI to Common Excl. Extra Items,62.17%,(39.10%),(73.44%),(35.19%),(83.51%)
Revenue Per Share,6.53%,6.37%,5.00%,0.38%,(0.34%)
Basic EPS,61.00%,(39.88%),(73.72%),(35.94%),(83.57%)
Basic EPS - Continuing Ops,61.00%,(39.88%),(73.72%),(35.94%),(83.57%)
Basic Weighted Average Shares Outst.,1.16%,1.15%,1.04%,1.03%,0.40%
Diluted EPS,60.42%,(39.61%),(73.15%),(36.00%),(84.40%)
Diluted EPS - Continuing Ops,60.42%,(39.61%),(73.15%),(36.00%),(84.40%)
Diluted Weighted Average Shares Outst.,0.97%,0.56%,0.56%,0.79%,(0.25%)
Normalized Basic EPS,(0.51%),(6.31%),(62.97%),108.99%,2.88%
Normalized Diluted EPS,(0.32%),(5.58%),(62.95%),114.45%,3.56%
Dividend Per Share,0.00%,0.00%,0.00%,(75.00%),(100.00%)
Payout Ratio,(37.64%),65.94%,281.31%,(61.04%),(100.00%)
EBITDA,(1.51%),3.27%,(23.54%),18.52%,(0.33%)
EBITA,0.02%,5.47%,(25.87%),16.84%,(3.02%)
EBIT,(1.36%),3.53%,(47.13%),60.90%,12.25%
EBITDAR,1.67%,7.08%,(16.26%),25.19%,
Effective Tax Rate,,,,,"1,192.62%"
Normalized Net Income,0.65%,(4.75%),(62.56%),112.87%,3.29%
R&D Expense From Footnotes,4.63%,12.36%,9.92%,7.32%,13.75%
Foreign Sales,15.72%,48.61%,3.20%,12.72%,
