Income Statement,Sep 2016,Sep 2017,Sep 2018,Aug 2019,Aug 2020,TTM
Revenues,2863.5,2887.7,3203.9,3363.8,3192.4,3128.6
Total Revenues,2863.5,2887.7,3203.9,3363.8,3192.4,3128.6
Cost Of Revenues,1574.6,1601.5,1810.9,1931.8,1849.1,1815.4
Gross Profit,1288.9,1286.2,1393.0,1432.0,1343.3,1313.2
Selling General & Admin Expenses,912.9,907.2,965.2,935.8,906.9,884.9
Depreciation & Amortization,,,,65.0,68.7,68.7
Total Operating Expenses,912.9,907.2,965.2,1000.8,975.6,953.6
Operating Income,376.0,379.0,427.8,431.2,367.8,359.6
Interest Expense,(5.8),(12.4),(14.5),(16.9),(16.7),(16.9)
Interest And Investment Income,0.7,0.7,0.6,0.5,0.3,0.3
Net Interest Expenses,(5.2),(11.7),(13.8),(16.4),(16.3),(16.7)
Other Non Operating Income (Expenses),0.9,0.7,(0.5),(0.5),(0.2),0.4
"EBT, Excl. Unusual Items",371.7,368.0,413.4,414.4,351.3,343.4
"EBT, Incl. Unusual Items",371.7,368.0,406.2,383.1,334.3,248.4
Income Tax Expense,140.5,136.6,77.0,94.3,82.5,60.6
Earnings From Continuing Operations,231.2,231.4,329.2,288.8,251.8,187.9
Net Income to Company,231.2,231.4,329.2,288.8,251.8,187.9
Minority Interest,,,,0.1,(0.6),(1.1)
Net Income,231.2,231.4,329.2,288.9,251.1,186.7
Preferred Dividend and Other Adjustments,0.9,0.6,0.4,0.1,,(0.0)
NI to Common Incl Extra Items,230.3,230.8,328.8,288.7,251.1,186.8
NI to Common Excl. Extra Items,230.3,230.8,328.8,288.7,251.1,186.8
Revenue Per Share,$47.01,$51.03,$56.85,$60.89,$57.55,$56.21
Basic EPS,$3.78,$4.08,$5.84,$5.23,$4.53,$3.36
Basic EPS - Continuing Ops,$3.78,$4.08,$5.84,$5.23,$4.53,$3.36
Basic Weighted Average Shares Outst.,60.9,56.6,56.4,55.2,55.5,55.7
Diluted EPS,$3.77,$4.05,$5.80,$5.20,$4.51,$3.34
Diluted EPS - Continuing Ops,$3.77,$4.05,$5.80,$5.20,$4.51,$3.34
Diluted Weighted Average Shares Outst.,61.1,57.0,56.7,55.5,55.6,55.9
Normalized Basic EPS,$3.81,$4.06,$4.58,$4.69,$3.95,$3.84
Normalized Diluted EPS,$3.80,$4.04,$4.56,$4.67,$3.93,$3.82
Dividend Per Share,$1.72,$1.80,$2.22,$2.64,$3.00,$3.00
Payout Ratio,45.75%,44.17%,38.10%,50.44%,66.32%,89.45%
EBITDA,447.9,442.0,490.9,496.6,436.8,429.0
EBITA,390.4,387.2,438.3,443.0,379.2,371.1
EBIT,376.0,379.0,427.8,431.2,367.8,359.6
EBITDAR,461.3,454.5,,,463.2,
Effective Tax Rate,37.8%,37.1%,18.9%,24.6%,24.7%,24.4%
Normalized Net Income,232.3,230.0,258.4,259.0,218.9,213.5
Interest on Long-Term Debt,5.8,,14.5,16.9,16.7,
Foreign Sales,,,,120.8,147.5,
