Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,13.94%,12.96%,9.04%,12.01%,13.56%
Total Interest And Dividend Income,8.15%,12.31%,19.75%,(0.78%),8.12%
Gain (Loss) on Sale of Investments,(67.25%),,,,
Other Revenues,9.31%,13.47%,4.73%,5.59%,8.29%
Total Revenues,11.57%,12.90%,8.44%,8.29%,11.99%
Policy Benefits,13.15%,9.99%,7.92%,24.65%,31.24%
Policy Acquisition / Underwriting Costs,16.20%,14.63%,5.82%,(8.28%),(11.30%)
Selling General & Admin Expenses,9.90%,13.09%,6.45%,5.36%,6.49%
Other Operating Expenses,4.23%,21.29%,3.28%,2.13%,5.01%
Total Operating Expenses,11.13%,13.57%,6.30%,8.56%,10.96%
Operating Income,12.91%,10.92%,14.90%,7.54%,14.97%
"Interest Expense, Total",(16.36%),(19.77%),(16.35%),(11.90%),(10.00%)
"EBT, Excl. Unusual Items",12.42%,9.63%,14.67%,6.84%,15.81%
"EBT, Incl. Unusual Items",12.42%,9.63%,14.67%,6.21%,15.17%
Income Tax Expense,(75.24%),214.33%,20.36%,8.89%,17.64%
Earnings From Continuing Operations,59.63%,(7.47%),13.05%,5.40%,14.42%
Net Income to Company,59.63%,(7.47%),13.05%,5.40%,14.42%
Net Income,59.63%,(7.47%),13.05%,5.40%,14.42%
Pref. Dividends and Other Adj.,37.66%,(25.06%),(12.63%),1.03%,13.76%
NI to Common Incl Extra Items,59.82%,(7.34%),13.20%,5.42%,14.42%
NI to Common Excl. Extra Items,59.82%,(7.34%),13.20%,5.42%,14.42%
Revenue Per Share,16.01%,17.40%,12.73%,14.00%,17.96%
Basic EPS,66.14%,(3.71%),17.65%,10.94%,20.52%
Basic EPS - Continuing Ops,66.14%,(3.71%),17.65%,10.94%,20.52%
Basic Weighted Average Shares Outst.,(3.82%),(3.82%),(3.81%),(5.02%),(5.06%)
Diluted EPS,65.81%,(3.74%),17.60%,11.00%,20.51%
Diluted EPS - Continuing Ops,65.81%,(3.74%),17.60%,11.00%,20.51%
Diluted Weighted Average Shares Outst.,(3.72%),(3.73%),(3.80%),(5.03%),(5.06%)
Normalized Basic EPS,16.90%,14.04%,19.21%,12.47%,21.98%
Normalized Diluted EPS,16.67%,13.92%,19.24%,12.45%,21.98%
Dividend Per Share,16.67%,29.76%,30.28%,17.61%,17.57%
Payout Ratio,(32.76%),33.13%,15.48%,5.93%,
EBITDA,12.17%,10.34%,15.71%,7.19%,14.51%
EBITA,12.79%,10.84%,14.67%,7.00%,14.38%
EBIT,12.91%,10.92%,14.90%,7.54%,14.97%
EBITDAR,12.09%,,,7.10%,
Effective Tax Rate,(77.97%),186.75%,4.96%,2.51%,2.14%
Normalized Net Income,12.42%,9.63%,14.67%,6.84%,15.81%
Interest on Long-Term Debt,42.29%,39.53%,29.04%,18.93%,
Foreign Sales,13.45%,8.63%,4.17%,5.56%,
