Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,3198.5,3400.5,3462.3,3519.3,3024.3,3157.2
Total Revenues,3198.5,3400.5,3462.3,3519.3,3024.3,3157.2
Cost Of Revenues,1820.0,1917.2,1964.8,2010.7,1691.3,1715.5
Gross Profit,1378.5,1483.4,1497.5,1508.6,1333.0,1441.7
Selling General & Admin Expenses,995.4,1107.3,1144.9,1140.9,1057.8,1064.0
Other Operating Expense/(Income),(42.8),(43.2),(38.9),(34.6),(26.3),(26.4)
Total Operating Expenses,952.6,1064.1,1105.9,1106.2,1031.5,1037.6
Operating Income,425.9,419.3,391.5,402.3,301.5,404.1
Interest Expense,(27.0),(30.0),(34.6),(37.6),(56.1),(62.5)
Interest And Investment Income,0.6,0.3,0.5,1.3,1.5,1.3
Net Interest Expenses,(26.5),(29.7),(34.0),(36.3),(54.5),(61.3)
Currency Exchange Gains (Loss),(3.9),,,,,
Other Non Operating Income (Expenses),(0.1),1.5,(1.5),0.6,(1.1),4.6
"EBT, Excl. Unusual Items",395.4,391.1,356.0,366.6,245.8,347.4
"EBT, Incl. Unusual Items",395.4,391.1,356.0,328.0,135.0,340.0
Income Tax Expense,137.7,88.2,73.9,64.2,25.3,65.4
Earnings From Continuing Operations,257.7,302.8,282.1,263.8,109.7,274.6
Net Income to Company,257.7,302.8,282.1,263.8,109.7,274.6
Net Income,257.7,302.8,282.1,263.8,109.7,274.6
Preferred Dividend and Other Adjustments,2.0,2.4,2.1,2.4,1.1,1.9
NI to Common Incl Extra Items,255.7,300.4,279.9,261.4,108.6,272.7
NI to Common Excl. Extra Items,255.7,300.4,279.9,261.4,108.6,272.7
Revenue Per Share,$64.08,$71.45,$75.00,$79.26,$69.94,$73.00
Basic EPS,$5.12,$6.31,$6.06,$5.89,$2.51,$6.31
Basic EPS - Continuing Ops,$5.12,$6.31,$6.06,$5.89,$2.51,$6.31
Basic Weighted Average Shares Outst.,49.9,47.6,46.2,44.4,43.2,43.2
Diluted EPS,$5.08,$6.24,$6.00,$5.85,$2.50,$6.28
Diluted EPS - Continuing Ops,$5.08,$6.24,$6.00,$5.85,$2.50,$6.28
Diluted Weighted Average Shares Outst.,50.4,48.1,46.6,44.7,43.4,43.4
Normalized Basic EPS,$4.95,$5.14,$4.82,$5.16,$3.55,$5.02
Normalized Diluted EPS,$4.91,$5.08,$4.77,$5.12,$3.54,$5.00
Dividend Per Share,$1.32,$1.48,$1.80,$2.00,$0.60,$0.00
Payout Ratio,25.75%,23.42%,29.68%,33.96%,23.93%,0.00%
EBITDA,499.4,503.7,481.2,498.3,395.5,498.9
EBITA,427.8,421.9,395.3,406.1,305.2,407.8
EBIT,425.9,419.3,391.5,402.3,301.5,404.1
EBITDAR,650.0,665.6,646.8,741.3,647.5,
Effective Tax Rate,34.8%,22.6%,20.8%,19.6%,18.7%,19.2%
Normalized Net Income,247.2,244.4,222.5,229.1,153.6,217.2
Foreign Earnings,59.2,,,,,
Foreign Sales,364.7,415.5,430.4,429.5,356.6,
