Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,1080.1,1207.9,960.3,1013.8,1052.0,1091.7
Total Revenues,1080.1,1207.9,960.3,1013.8,1052.0,1091.7
Cost Of Revenues,569.0,638.2,448.2,484.3,490.1,479.6
Gross Profit,511.1,569.7,512.1,529.6,561.9,612.1
Selling General & Admin Expenses,352.6,369.0,327.7,359.3,395.8,416.1
Total Operating Expenses,352.6,369.0,327.7,359.3,395.8,416.1
Operating Income,158.5,200.6,184.4,170.2,166.1,196.0
Interest Expense,(5.9),(9.1),(11.6),(19.9),(19.5),(19.9)
Interest And Investment Income,0.7,4.9,0.6,4.0,3.7,6.2
Net Interest Expenses,(5.3),(4.2),(11.0),(15.9),(15.8),(13.7)
Other Non Operating Income (Expenses),,,,,110.7,26.9
"EBT, Excl. Unusual Items",153.2,195.7,173.3,154.3,261.0,209.2
"EBT, Incl. Unusual Items",150.8,130.6,156.0,139.7,237.2,157.2
Income Tax Expense,25.3,9.6,88.1,32.9,(6.4),(2.9)
Earnings From Continuing Operations,125.5,121.0,67.9,106.9,243.5,160.1
Earnings Of Discontinued Operations,(128.3),2.3,(34.7),(12.1),(329.3),(348.8)
Net Income to Company,(2.8),123.3,33.3,94.8,(85.8),(188.6)
Minority Interest,(0.4),(1.0),0.5,0.4,0.4,0.5
Net Income,(3.2),122.3,33.8,95.2,(85.3),(188.2)
NI to Common Incl Extra Items,(3.2),122.3,33.8,95.2,(85.3),(188.2)
NI to Common Excl. Extra Items,125.1,120.0,68.4,107.2,244.0,160.6
Revenue Per Share,$16.87,$19.02,$15.62,$17.32,$19.61,$21.03
Basic EPS,($0.05),$1.93,$0.55,$1.63,($1.59),($3.62)
Basic EPS - Continuing Ops,$1.95,$1.89,$1.11,$1.83,$4.55,$3.09
Basic Weighted Average Shares Outst.,64.0,63.5,61.5,58.5,53.7,51.9
Diluted EPS,($0.05),$1.91,$0.54,$1.61,($1.58),($3.62)
Diluted EPS - Continuing Ops,$1.94,$1.87,$1.10,$1.81,$4.51,$3.09
Diluted Weighted Average Shares Outst.,64.4,64.0,62.3,59.3,54.1,51.9
Normalized Basic EPS,$1.49,$1.91,$1.77,$1.65,$3.05,$2.53
Normalized Diluted EPS,$1.48,$1.89,$1.75,$1.63,$3.02,$2.53
Dividend Per Share,$0.36,$0.18,,,,
Payout Ratio,NM,9.33%,,,,
EBITDA,207.0,257.6,226.2,212.5,212.4,244.2
EBITA,163.7,211.8,193.2,178.7,177.9,207.7
EBIT,158.5,200.6,184.4,170.2,166.1,196.0
EBITDAR,244.6,302.0,251.2,248.3,249.0,
Effective Tax Rate,16.8%,7.3%,56.5%,23.5%,NM,NM
Normalized Net Income,95.3,121.3,108.8,96.8,163.6,131.2
Interest on Long-Term Debt,5.9,9.1,11.6,19.9,19.5,
Foreign Sales,549.1,622.0,382.1,407.5,400.7,
