Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,39.38%,20.54%,(3.11%),3.82%,4.38%
Tenant Reimbursements,64.41%,29.92%,3.19%,2.20%,6.08%
Other Revenue,59.13%,(37.70%),,"(4,389.29%)",(614.55%)
Total Revenues,42.70%,22.95%,(1.75%),5.06%,5.94%
Property Expenses,47.02%,26.37%,1.79%,2.71%,6.15%
Selling General & Admin Exp.,24.79%,25.52%,14.86%,2.01%,3.46%
Depreciation & Amortization,44.54%,26.55%,(7.55%),2.15%,2.78%
Total Operating Expenses,43.38%,26.38%,(1.77%),2.36%,4.23%
Operating Income,41.03%,14.42%,(1.72%),12.44%,10.50%
Total Interest Expense,(98.98%),(40.79%),-1.75%,-12.06%,-14.15%
Net Interest Expenses,(98.98%),(40.79%),-1.75%,-12.06%,-14.15%
"EBT, Excl. Unusual Items",11.46%,(9.59%),(1.67%),47.17%,42.67%
Gain (Loss) on Sale of Assets,,98.57%,168.42%,(81.34%),(81.42%)
"EBT, Incl. Unusual Items",26.18%,46.63%,32.35%,(11.27%),(11.55%)
Earnings From Continuing Operations,26.18%,46.63%,32.35%,(11.27%),(11.55%)
Net Income to Company,26.18%,46.63%,32.35%,(11.27%),(11.55%)
Minority Interest,(5.58%),(28.52%),(29.27%),-12.28%,-13.19%
Net Income,27.23%,47.41%,32.46%,(11.23%),(11.49%)
Pref. Dividends and Other Adj.,(60.64%),83.31%,(9.78%),2.65%,(24.56%)
NI to Common Incl Extra Items,33.04%,46.71%,33.49%,(11.46%),(11.28%)
NI to Common Excl. Extra Items,33.04%,46.71%,33.49%,(11.46%),(11.28%)
Revenue Per Share,10.34%,10.02%,(3.65%),(4.65%),(3.58%)
Basic EPS,4.26%,31.08%,31.48%,(18.55%),(19.25%)
Basic EPS - Continuing Ops,4.26%,31.08%,31.48%,(18.55%),(19.25%)
Basic Weighted Average Shares Outst.,29.32%,11.61%,2.04%,9.94%,9.87%
Diluted EPS,4.16%,30.92%,31.21%,(19.03%),(18.92%)
Diluted EPS - Continuing Ops,4.16%,30.92%,31.21%,(19.03%),(18.92%)
Diluted Weighted Average Shares Outst.,28.95%,11.47%,2.19%,10.19%,10.02%
Normalized Basic EPS,(14.65%),(21.75%),(6.80%),39.29%,34.94%
Normalized Diluted EPS,(13.31%),(19.81%),(3.20%),34.73%,34.76%
Dividend Per Share,1.67%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,7.22%,(20.33%),(23.24%),23.10%,
FFO,37.79%,28.14%,(5.92%),16.29%,15.57%
FFO Payout Ratio %,(1.00%),(8.35%),8.08%,(6.03%),
AFFO,37.79%,28.14%,(5.92%),16.29%,
Funds Available for Distribution,37.79%,28.14%,(5.92%),16.29%,
FFO Per Share (Diluted),6.82%,14.89%,(8.33%),6.06%,5.05%
FFO Shares (Diluted),28.97%,11.47%,2.19%,10.19%,10.02%
Adjusted FFO Per Share (Diluted),6.82%,14.95%,(7.89%),6.05%,
EBITDA,42.62%,20.66%,(4.99%),6.49%,6.63%
EBITA,36.92%,19.21%,(9.52%),8.29%,(17.71%)
EBIT,41.03%,14.42%,(1.72%),12.44%,10.50%
EBITDAR,,,,6.54%,
Normalized Net Income,11.80%,(11.62%),(4.06%),53.36%,48.26%
