Income Statement,Dec 2016,Dec 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,2218.4,2707.5,1112.7,1000.4,1243.7,1361.3
Other Revenues,1629.6,2163.2,4110.6,4358.2,5712.2,6606.0
Total Revenues,3848.0,4870.7,5223.3,5358.7,6955.9,7967.3
Cost Of Revenues,3733.9,4307.5,4915.9,4684.4,5641.3,6005.1
Gross Profit,114.1,563.2,307.4,674.3,1314.6,1962.1
Selling General & Admin Expenses,0.4,72.5,153.6,137.7,139.1,142.6
Depreciation & Amortization,3.6,3.5,4.9,5.5,8.7,8.7
Total Operating Expenses,67.8,76.0,158.5,143.2,194.1,197.5
Operating Income,46.3,487.2,148.9,531.1,1120.5,1764.6
Interest Expense,(58.9),(58.9),(68.8),(53.0),(53.4),(54.6)
Net Interest Expenses,(58.9),(58.9),(68.8),(53.0),(53.4),(54.6)
"EBT, Excl. Unusual Items",(12.6),428.3,81.2,478.6,1067.1,1710.1
"EBT, Incl. Unusual Items",(12.6),606.5,323.0,478.6,1067.1,1710.1
Income Tax Expense,25.8,642.3,20.7,(484.0),298.7,471.1
Earnings From Continuing Operations,(38.4),(35.8),302.3,962.6,768.4,1238.9
Earnings Of Discontinued Operations,232.7,288.6,844.3,,,
Net Income to Company,194.3,252.8,1146.6,962.6,768.4,1238.9
Minority Interest,(64.3),(81.1),(26.5),2.1,6.8,5.9
Net Income,130.0,171.7,1120.1,964.7,775.2,1244.9
Preferred Dividend and Other Adjustments,4.6,5.0,10.4,10.7,10.4,13.2
NI to Common Incl Extra Items,125.4,166.7,1109.7,954.0,764.8,1231.7
NI to Common Excl. Extra Items,(107.3),(121.9),265.3,954.0,764.8,1231.7
Revenue Per Share,$10.37,$13.23,$15.04,$17.25,$24.35,$28.80
Basic EPS,$0.34,$0.45,$3.20,$3.07,$2.68,$4.45
Basic EPS - Continuing Ops,($0.29),($0.33),$0.76,$3.07,$2.68,$4.45
Basic Weighted Average Shares Outst.,371.2,368.2,347.3,310.7,285.7,276.7
Diluted EPS,$0.34,$0.45,$3.16,$3.03,$2.65,$4.39
Diluted EPS - Continuing Ops,($0.29),($0.33),$0.76,$3.03,$2.65,$4.39
Diluted Weighted Average Shares Outst.,371.5,370.7,351.3,317.0,290.5,281.6
Normalized Basic EPS,($0.19),$0.51,$0.07,$0.97,$2.36,$3.88
Normalized Diluted EPS,($0.19),$0.50,$0.07,$0.95,$2.32,$3.82
Dividend Per Share,$0.25,$0.33,$0.49,$0.50,$0.60,$0.65
Payout Ratio,70.23%,68.37%,14.78%,15.51%,20.76%,13.49%
EBITDA,117.9,552.0,222.4,660.9,1262.9,1910.0
EBITA,64.5,500.1,163.3,545.7,1135.8,1779.7
EBIT,46.3,487.2,148.9,531.1,1120.5,1764.6
EBITDAR,179.5,612.2,,726.5,1346.4,
Effective Tax Rate,NM,105.9%,6.4%,NM,28.0%,27.6%
Normalized Net Income,(72.2),186.5,24.2,301.3,673.8,1074.7
Interest Capitalized,,,,6.2,8.6,
Foreign Sales,544.3,595.4,,704.6,1139.6,
