Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,20.18%,19.95%,21.84%,3.05%,1.75%
Other Revenue,299.83%,(26.76%),,,83.88%
Total Revenues,20.33%,19.41%,21.91%,5.75%,3.09%
Property Expenses,17.36%,(10.96%),153.95%,104.07%,45.53%
Selling General & Admin Exp.,20.66%,11.55%,14.32%,(8.78%),34.55%
Depreciation & Amortization,25.63%,20.99%,22.08%,9.44%,8.59%
Other Operating Expenses,,,,-90.73%,-90.73%
Total Operating Expenses,25.30%,18.66%,18.84%,12.38%,17.48%
Operating Income,16.75%,19.99%,24.26%,0.90%,(7.19%)
Total Interest Expense,(14.54%),(7.12%),(22.15%),(7.65%),(4.83%)
Net Interest Expenses,(14.54%),(7.12%),(22.15%),(7.65%),(4.83%)
"EBT, Excl. Unusual Items",19.63%,31.49%,25.80%,(3.87%),(15.63%)
Gain (Loss) on Sale of Assets,241.57%,14.94%,84.81%,(72.93%),(59.81%)
Asset Writedown,"(59,600.00%)",-56.43%,(260.46%),(17.21%),(38.80%)
Other Unusual Items,,,,-26.87%,0.00%
"EBT, Incl. Unusual Items",31.30%,33.92%,31.28%,(25.37%),(32.12%)
Income Tax Expense,5.53%,40.17%,10.12%,(17.40%),(10.56%)
Earnings From Continuing Operations,31.39%,33.90%,31.34%,(25.39%),(32.17%)
Net Income to Company,31.39%,33.90%,31.34%,(25.39%),(32.17%)
Net Income,31.39%,33.90%,31.34%,(25.39%),(32.17%)
Pref. Dividends and Other Adj.,(13.26%),(10.56%),1.26%,92.56%,86.54%
NI to Common Incl Extra Items,31.58%,34.02%,31.40%,(25.56%),(32.33%)
NI to Common Excl. Extra Items,31.58%,34.02%,31.40%,(25.56%),(32.33%)
Revenue Per Share,0.23%,4.20%,8.29%,(3.81%),(6.19%)
Basic EPS,10.35%,17.77%,16.86%,(32.35%),(38.42%)
Basic EPS - Continuing Ops,10.35%,17.77%,16.86%,(32.35%),(38.42%)
Basic Weighted Average Shares Outst.,19.95%,14.41%,12.44%,9.92%,9.90%
Diluted EPS,9.76%,17.77%,16.86%,(32.35%),(38.42%)
Diluted EPS - Continuing Ops,9.76%,17.77%,16.86%,(32.35%),(38.42%)
Diluted Weighted Average Shares Outst.,19.80%,14.71%,12.37%,9.71%,9.74%
Normalized Basic EPS,0.39%,15.38%,12.36%,(13.01%),(23.23%)
Normalized Diluted EPS,0.36%,15.04%,12.09%,(13.05%),(23.12%)
Dividend Per Share,7.14%,6.67%,6.25%,4.41%,3.62%
Payout Ratio,(1.75%),(9.08%),(8.49%),54.13%,
FFO,22.96%,25.96%,23.38%,2.99%,(1.12%)
FFO Payout Ratio %,4.97%,(3.34%),(2.59%),11.65%,
AFFO,24.51%,23.46%,21.23%,1.07%,
Funds Available for Distribution,24.51%,23.46%,21.23%,1.07%,
EBITDA,19.79%,20.31%,23.49%,4.02%,(1.89%)
EBITA,16.09%,19.24%,23.75%,0.58%,(8.65%)
EBIT,16.75%,19.99%,24.26%,0.90%,(7.19%)
EBITDAR,19.86%,20.27%,23.47%,4.06%,
Effective Tax Rate,(19.49%),5.36%,(17.53%),9.56%,31.79%
Normalized Net Income,19.63%,31.49%,25.80%,(3.87%),(15.63%)
Interest Capitalized,51.96%,112.47%,(39.42%),(53.06%),
Interest on Long-Term Debt,,,,8.07%,
