Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,20.19%,11.97%,11.58%,3.62%,13.18%
Other Revenues,(2.74%),14.54%,(7.44%),(0.62%),(6.11%)
Total Revenues,19.80%,12.01%,11.31%,3.57%,12.94%
Cost Of Revenues,20.31%,11.54%,12.16%,3.58%,11.23%
Gross Profit,18.32%,13.39%,8.88%,3.52%,18.17%
Selling General & Admin Expenses,23.79%,4.79%,13.26%,(5.20%),(5.40%)
R&D Expenses,28.72%,8.98%,12.78%,0.92%,(2.47%)
Total Operating Expenses,24.89%,5.75%,13.15%,(3.76%),(4.69%)
Operating Income,2.68%,35.52%,(0.76%),22.29%,89.10%
Interest Expense,(97.04%),(77.27%),(36.14%),-14.05%,-15.53%
Net Interest Expenses,(97.04%),(77.27%),(36.14%),-14.05%,-15.53%
Currency Exchange Gains (Loss),,,(53.42%),,
"EBT, Excl. Unusual Items",7.39%,23.57%,(1.90%),27.66%,113.20%
"EBT, Incl. Unusual Items",1.77%,34.63%,(4.99%),(65.33%),(1.08%)
Income Tax Expense,45.86%,(35.82%),(10.65%),(80.33%),3.24%
Earnings From Continuing Operations,(19.00%),94.39%,(3.40%),(61.44%),(2.07%)
Net Income to Company,(19.00%),94.39%,(3.40%),(61.44%),(2.07%)
Net Income,(19.00%),94.39%,(3.37%),(61.48%),(2.18%)
NI to Common Incl Extra Items,(19.00%),94.39%,(3.37%),(61.48%),(2.18%)
NI to Common Excl. Extra Items,(19.00%),94.39%,(3.37%),(61.48%),(2.18%)
Revenue Per Share,22.42%,12.76%,13.31%,2.73%,12.26%
Basic EPS,(17.17%),95.80%,(1.55%),(61.82%),(2.78%)
Basic EPS - Continuing Ops,(17.17%),95.80%,(1.55%),(61.82%),(2.78%)
Basic Weighted Average Shares Outst.,(2.15%),(0.66%),(1.76%),0.81%,0.61%
Diluted EPS,(17.74%),94.80%,(0.76%),(61.73%),(3.35%)
Diluted EPS - Continuing Ops,(17.74%),94.80%,(0.76%),(61.73%),(3.35%)
Diluted Weighted Average Shares Outst.,(1.50%),(0.44%),(2.50%),0.48%,1.12%
Normalized Basic EPS,9.57%,24.46%,(0.18%),26.62%,111.71%
Normalized Diluted EPS,9.20%,23.96%,0.56%,27.04%,110.63%
Dividend Per Share,5.45%,3.45%,1.67%,1.64%,1.63%
Payout Ratio,27.93%,(47.29%),3.55%,165.53%,4.34%
EBITDA,6.37%,26.81%,2.84%,18.66%,58.22%
EBITA,2.68%,35.52%,7.63%,19.63%,79.69%
EBIT,2.68%,35.52%,(0.76%),22.29%,89.10%
EBITDAR,8.69%,25.42%,2.95%,18.03%,
Effective Tax Rate,43.32%,(52.33%),(5.97%),(43.27%),4.37%
Normalized Net Income,7.39%,23.57%,(1.86%),27.57%,113.00%
Interest on Long-Term Debt,97.04%,77.27%,36.14%,(14.05%),
R&D Expense From Footnotes,28.72%,8.98%,12.78%,0.92%,(2.47%)
Foreign Sales,14.75%,8.52%,3.02%,0.49%,
