Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,23.45%,13.71%,10.79%,(6.54%),(9.35%)
Total Interest Income,23.00%,14.18%,9.48%,(6.02%),(8.47%)
Interest On Deposits,56.43%,70.77%,43.82%,(53.05%),(67.75%)
Total Interest On Borrowings,31.54%,53.56%,(12.60%),(36.12%),(30.09%)
Total Interest Expense,48.21%,65.73%,28.50%,(49.92%),(61.08%)
Net Interest Income,20.21%,7.13%,5.46%,5.28%,4.27%
Service Charges On Deposits,12.10%,2.53%,1.28%,(11.24%),(17.86%)
Trust Income,(4.40%),24.59%,11.03%,(5.55%),(4.74%)
Total Mortgage Banking Activities,(6.59%),2.78%,27.00%,102.71%,106.95%
Gain (Loss) on Sale of Assets,(4.30%),229.69%,(97.59%),65.60%,65.60%
Gain (Loss) on Sale of Invest. & Securities,,,,-32.13%,-29.61%
Total Other Non Interest Income,8.53%,(14.77%),53.08%,0.25%,(5.41%)
Total Non Interest Income,4.84%,6.48%,11.07%,3.09%,(0.53%)
Revenue Before Loan Losses,15.97%,6.97%,6.85%,4.72%,3.01%
Provision For Loan Losses,(46.71%),(38.75%),32.10%,"1,163.74%",27.04%
Total Revenues,24.65%,9.68%,6.02%,(43.01%),(3.95%)
Salaries And Other Employee Benefits,9.97%,2.84%,6.90%,7.65%,6.68%
Amort. of Goodwill & Intang. Assets,13.33%,(1.64%),(5.47%),(4.45%),(9.79%)
Occupancy Expense,(25.25%),54.83%,(34.70%),7.24%,7.16%
Total Selling General & Admin Expenses,34.69%,(4.05%),15.74%,10.39%,7.13%
Total Other Non Interest Expense,(0.96%),7.74%,(0.75%),(15.13%),(25.32%)
Total Non Interest Expense,12.67%,3.82%,3.66%,7.06%,1.80%
"EBT, Excl. Unusual Items",61.87%,22.34%,10.34%,,(26.39%)
Other Unusual Items,-14.25%,-49.99%,,,
"EBT, Incl. Unusual Items",65.01%,23.89%,2.78%,,(11.62%)
Income Tax Expense,146.64%,(37.13%),12.02%,,
Earnings From Continuing Operations,44.43%,50.15%,1.11%,,26.13%
Net Income to Company,44.43%,50.15%,1.11%,,26.13%
Net Income,44.43%,50.15%,1.11%,,26.13%
Preferred Dividend and Other Adjustments,29.79%,26.98%,(6.48%),(68.34%),(20.92%)
Net Income to Common Incl Extra Items,44.79%,50.66%,1.26%,,27.78%
Net Income to Common Excl. Extra Items,44.79%,50.66%,1.26%,,27.78%
Revenue Per Share,14.54%,8.86%,4.65%,(43.02%),(3.46%)
Basic EPS,33.20%,49.55%,0.03%,,28.43%
Basic EPS - Continuing Ops,33.20%,49.55%,0.03%,,28.43%
Basic Weighted Average Shares Outst.,8.79%,0.78%,1.33%,0.05%,(0.51%)
Diluted EPS,32.62%,50.00%,0.00%,,28.62%
Diluted EPS - Continuing Ops,32.62%,50.00%,0.00%,,28.62%
Diluted Weighted Average Shares Outst.,9.00%,0.66%,1.26%,(0.08%),(0.58%)
Normalized Basic EPS,49.03%,21.65%,8.98%,,(26.02%)
Normalized Diluted EPS,48.55%,21.41%,8.84%,,(25.96%)
Dividend Per Share,0.00%,6.25%,5.88%,0.00%,0.00%
Payout Ratio,(24.68%),(28.93%),5.61%,,
Effective Tax Rate,49.47%,(49.26%),8.98%,283.33%,
Normalized Net Income,61.87%,22.34%,10.34%,,(26.39%)
Interest on Long-Term Debt,(20.27%),(21.07%),(6.40%),45.25%,
