Income Statement,Aug 2017,Aug 2018,Aug 2019,Aug 2020,TTM
Revenues,8.35%,10.56%,6.31%,4.09%,4.94%
Total Revenues,8.35%,10.56%,6.31%,4.09%,4.94%
Cost Of Revenues,16.24%,16.36%,0.63%,4.82%,9.68%
Gross Profit,2.33%,5.54%,11.73%,3.47%,0.92%
Selling General & Admin Expenses,3.20%,7.09%,4.42%,7.53%,(0.54%)
Total Operating Expenses,3.20%,7.09%,4.42%,7.53%,(0.54%)
Operating Income,1.62%,4.23%,18.04%,0.37%,2.04%
Interest Expense,(199.71%),(114.46%),(3.06%),-39.70%,-57.29%
Interest And Investment Income,0.00%,(18.75%),15.38%,(26.67%),(98.02%)
Net Interest Expenses,(480.99%),(146.76%),(2.08%),-40.87%,-49.95%
Other Non Operating Income (Expenses),,,(71.15%),,-67.62%
"EBT, Excl. Unusual Items",0.06%,2.09%,18.28%,1.22%,3.84%
"EBT, Incl. Unusual Items",(25.31%),2.19%,19.93%,1.22%,3.84%
Income Tax Expense,(29.57%),(1.51%),(18.38%),(21.65%),(7.53%)
Earnings From Continuing Operations,(23.78%),3.42%,32.09%,5.71%,5.92%
Net Income to Company,(23.78%),3.42%,32.09%,5.71%,5.92%
Net Income,(23.78%),3.42%,32.09%,5.71%,5.92%
NI to Common Incl Extra Items,(23.78%),3.42%,32.09%,5.71%,5.92%
NI to Common Excl. Extra Items,(23.78%),3.42%,32.09%,5.71%,5.92%
Revenue Per Share,12.30%,12.59%,7.95%,4.66%,5.26%
Basic EPS,(21.02%),5.28%,34.04%,6.28%,6.24%
Basic EPS - Continuing Ops,(21.02%),5.28%,34.04%,6.28%,6.24%
Basic Weighted Average Shares Outst.,(3.51%),(1.80%),(1.52%),(0.55%),(0.30%)
Diluted EPS,(20.51%),4.15%,33.92%,6.28%,6.37%
Diluted EPS - Continuing Ops,(20.51%),4.15%,33.92%,6.28%,6.37%
Diluted Weighted Average Shares Outst.,(4.17%),(0.67%),(1.28%),(0.58%),(0.32%)
Normalized Basic EPS,3.69%,3.91%,20.03%,1.84%,4.15%
Normalized Diluted EPS,4.34%,2.76%,19.86%,1.88%,4.17%
Dividend Per Share,12.77%,13.21%,13.33%,9.56%,6.94%
Payout Ratio,42.97%,6.88%,(15.29%),4.42%,1.79%
EBITDA,4.09%,5.95%,16.37%,(0.25%),1.91%
EBITA,2.95%,5.29%,17.01%,0.42%,1.99%
EBIT,1.62%,4.23%,18.04%,0.37%,2.04%
EBITDAR,4.89%,6.68%,14.95%,0.54%,
Effective Tax Rate,(5.69%),(3.61%),(31.95%),(22.59%),(10.95%)
Normalized Net Income,0.06%,2.09%,18.28%,1.22%,3.84%
Interest on Long-Term Debt,180.00%,89.29%,24.53%,(34.85%),
R&D Expense From Footnotes,,0.98%,(1.11%),4.33%,4.33%
Foreign Sales,17.61%,24.41%,6.80%,4.88%,
