Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.02%,4.55%,(5.13%),(13.72%),(10.43%)
Total Revenues,7.02%,4.55%,(5.13%),(13.72%),(10.43%)
Cost Of Revenues,7.53%,4.91%,(5.02%),(13.22%),(9.95%)
Gross Profit,4.52%,2.71%,(5.70%),(16.31%),(12.92%)
Selling General & Admin Expenses,3.13%,2.92%,(3.26%),(7.52%),(7.79%)
Total Operating Expenses,3.02%,3.09%,(3.28%),(7.52%),(7.78%)
Operating Income,9.71%,1.49%,(13.62%),(48.61%),(33.30%)
Interest Expense,-0.20%,-4.86%,-5.53%,-2.48%,-6.40%
Interest And Investment Income,33.33%,25.00%,0.00%,118.33%,52.44%
Net Interest Expenses,-2.83%,-8.07%,-6.34%,-21.35%,-19.41%
Currency Exchange Gains (Loss),-71.43%,(75.00%),(378.57%),-26.87%,-37.68%
Other Non Operating Income (Expenses),(712.50%),,"1,225.00%",1.89%,
"EBT, Excl. Unusual Items",10.05%,2.88%,(14.07%),(49.96%),(32.09%)
"EBT, Incl. Unusual Items",5.13%,2.36%,(9.17%),(78.45%),(63.31%)
Income Tax Expense,(25.50%),3.18%,11.01%,(43.63%),(28.59%)
Earnings From Continuing Operations,22.92%,2.07%,(16.35%),(94.89%),(79.68%)
Net Income to Company,22.92%,2.07%,(16.35%),(94.89%),(79.68%)
Net Income,22.92%,2.07%,(16.35%),(94.89%),(79.68%)
NI to Common Incl Extra Items,22.92%,2.07%,(16.35%),(94.89%),(79.68%)
NI to Common Excl. Extra Items,22.92%,2.07%,(16.35%),(94.89%),(79.68%)
Revenue Per Share,11.81%,8.59%,2.32%,(10.89%),(6.78%)
Basic EPS,28.41%,6.00%,(9.81%),(94.72%),(78.85%)
Basic EPS - Continuing Ops,28.41%,6.00%,(9.81%),(94.72%),(78.85%)
Basic Weighted Average Shares Outst.,(4.28%),(3.73%),(7.28%),(3.17%),(3.91%)
Diluted EPS,28.23%,6.47%,(9.81%),(94.69%),(78.88%)
Diluted EPS - Continuing Ops,28.23%,6.47%,(9.81%),(94.69%),(78.88%)
Diluted Weighted Average Shares Outst.,(4.10%),(4.12%),(7.37%),(3.32%),(3.89%)
Normalized Basic EPS,15.02%,6.84%,(7.30%),(48.33%),(29.32%)
Normalized Diluted EPS,14.77%,7.36%,(7.19%),(48.23%),(29.34%)
Dividend Per Share,8.14%,8.60%,7.92%,3.67%,3.67%
Payout Ratio,(14.99%),0.82%,21.40%,"1,854.02%",391.39%
EBITDA,8.70%,1.49%,(13.37%),(44.11%),(30.02%)
EBITA,9.09%,1.49%,(13.68%),(47.03%),(32.39%)
EBIT,9.71%,1.49%,(13.62%),(48.61%),(33.30%)
EBITDAR,,,,(37.34%),
Effective Tax Rate,(29.14%),0.79%,22.20%,161.65%,94.62%
Normalized Net Income,10.05%,2.88%,(14.07%),(49.96%),(32.09%)
Foreign Sales,9.41%,6.05%,(5.72%),(14.22%),
