Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,3.17%,(16.43%),(8.29%),(6.62%),(22.05%)
Other Revenue,,,,,0.00%
Total Revenues,3.96%,(17.15%),(8.19%),(6.62%),(21.95%)
Property Expenses,(0.09%),(19.44%),(8.54%),(4.67%),(19.47%)
Selling General & Admin Exp.,(6.68%),13.70%,(0.04%),(6.53%),(7.07%)
Depreciation & Amortization,9.94%,(10.05%),(3.68%),1.15%,(18.68%)
Other Operating Expenses,,,,0.73%,12.50%
Total Operating Expenses,6.57%,(14.37%),(2.89%),(1.81%),(17.63%)
Operating Income,(3.74%),(26.22%),(28.27%),(31.33%),(43.45%)
Total Interest Expense,-0.90%,-7.61%,-16.08%,(6.28%),-4.83%
Interest and Investment Income,6.86%,11.93%,16.14%,268.85%,110.18%
Net Interest Expenses,-1.22%,-8.48%,-17.85%,-14.03%,-21.62%
"EBT, Excl. Unusual Items",(20.23%),(90.63%),,(137.73%),
Gain (Loss) on Sale of Assets,(24.82%),125.18%,(25.73%),(76.31%),(3.98%)
"EBT, Incl. Unusual Items",(31.91%),115.74%,(28.35%),,(67.90%)
Income Tax Expense,(63.66%),-56.72%,,"31,190.82%",
Earnings From Continuing Operations,(28.18%),100.42%,(29.77%),,
Earnings Of Discontinued Operations,,,(7.13%),(42.41%),
Net Income to Company,(28.18%),106.47%,(29.11%),,
Minority Interest,-40.78%,(60.92%),-32.62%,-97.69%,-77.24%
Net Income,(26.63%),110.98%,(28.84%),,
Pref. Dividends and Other Adj.,(29.42%),8.04%,(17.56%),(97.46%),(94.96%)
NI to Common Incl Extra Items,(26.55%),113.97%,(29.01%),,
NI to Common Excl. Extra Items,(26.55%),107.13%,(29.73%),,
Revenue Per Share,3.70%,(16.97%),(5.98%),(9.03%),(27.63%)
Basic EPS,(26.71%),114.25%,(27.38%),,
Basic EPS - Continuing Ops,(26.71%),107.40%,(28.14%),,
Basic Weighted Average Shares Outst.,0.21%,(0.27%),(2.29%),2.63%,7.86%
Diluted EPS,(26.65%),114.87%,(27.32%),,
Diluted EPS - Continuing Ops,(26.65%),108.00%,(28.08%),,
Diluted Weighted Average Shares Outst.,0.26%,(0.46%),(2.22%),2.44%,7.69%
Normalized Basic EPS,,,-7.80%,-49.92%,(30.96%)
Normalized Diluted EPS,,,-7.97%,-49.92%,(31.17%)
Dividend Per Share,8.38%,5.03%,0.33%,(78.06%),(82.22%)
Payout Ratio,47.45%,(50.14%),39.63%,,
FFO,,,,,(26.92%)
FFO (Diluted),,,,,0.00%
EBITDA,4.42%,(16.41%),(12.22%),(8.06%),(28.27%)
EBITA,(3.08%),(26.22%),(28.27%),(31.33%),(43.45%)
EBIT,(3.74%),(26.22%),(28.27%),(31.33%),(43.45%)
EBITDAR,4.35%,(16.23%),(11.00%),(8.47%),
Normalized Net Income,,,-9.44%,-48.54%,(41.26%)
Interest Capitalized,(20.83%),(3.95%),58.90%,18.10%,
