Income Statement,Feb 2017,Feb 2018,Feb 2019,Feb 2020,Feb 2021,TTM
Revenues,1397.5,1478.8,1564.2,1707.4,2098.8,2098.8
Total Revenues,1397.5,1478.8,1564.2,1707.4,2098.8,2098.8
Cost Of Revenues,824.1,867.6,923.0,973.0,1171.5,1171.5
Gross Profit,573.4,611.2,641.1,734.5,927.3,927.3
Selling General & Admin Expenses,356.5,374.6,414.8,484.5,592.5,592.5
R&D Expenses,11.8,13.5,13.0,17.8,30.6,30.6
Depreciation & Amortization,9.6,11.2,11.6,11.8,13.3,13.3
Total Operating Expenses,399.9,418.1,439.4,514.1,636.4,636.4
Operating Income,173.5,193.1,201.7,220.4,290.9,290.9
Interest Expense,(14.4),(14.0),(11.7),(12.7),(12.6),(12.6)
Net Interest Expenses,(14.4),(14.0),(11.7),(12.7),(12.6),(12.6)
Currency Exchange Gains (Loss),0.5,(3.1),1.3,2.2,(0.6),(0.6)
Other Non Operating Income (Expenses),0.4,0.3,0.3,0.4,0.6,0.6
"EBT, Excl. Unusual Items",160.1,176.3,191.6,210.3,278.2,278.2
"EBT, Incl. Unusual Items",155.7,155.4,188.0,165.9,269.4,269.4
Income Tax Expense,11.4,26.6,13.8,13.6,15.5,15.5
Earnings From Continuing Operations,144.3,128.9,174.2,152.3,253.9,253.9
Earnings Of Discontinued Operations,(3.6),(84.4),(5.7),,,
Net Income to Company,140.7,44.4,168.5,152.3,253.9,253.9
Net Income,140.7,44.4,168.5,152.3,253.9,253.9
NI to Common Incl Extra Items,140.7,44.4,168.5,152.3,253.9,253.9
NI to Common Excl. Extra Items,144.3,128.9,174.2,152.3,253.9,253.9
Revenue Per Share,$50.78,$54.62,$59.99,$67.98,$84.00,$84.00
Basic EPS,$5.11,$1.64,$6.46,$6.06,$10.16,$10.16
Basic EPS - Continuing Ops,$5.24,$4.76,$6.68,$6.06,$10.16,$10.16
Basic Weighted Average Shares Outst.,27.5,27.1,26.1,25.1,25.0,25.0
Diluted EPS,$5.04,$1.63,$6.40,$6.02,$10.08,$10.08
Diluted EPS - Continuing Ops,$5.17,$4.73,$6.62,$6.02,$10.08,$10.08
Diluted Weighted Average Shares Outst.,27.9,27.3,26.3,25.3,25.2,25.2
Normalized Basic EPS,$3.64,$4.07,$4.59,$5.23,$6.96,$6.96
Normalized Diluted EPS,$3.59,$4.04,$4.55,$5.19,$6.90,$6.90
EBITDA,209.7,226.8,231.6,257.8,328.6,328.6
EBITA,195.6,211.9,215.9,241.6,308.5,308.5
EBIT,173.5,193.1,201.7,220.4,290.9,290.9
EBITDAR,215.0,232.3,239.5,265.6,338.1,338.1
Effective Tax Rate,7.3%,17.1%,7.3%,8.2%,5.7%,5.7%
Normalized Net Income,100.1,110.2,119.7,131.4,173.9,173.9
Interest on Long-Term Debt,14.5,14.0,,,,
R&D Expense From Footnotes,11.8,13.5,13.0,17.8,30.6,30.6
Foreign Earnings,169.7,,,,,
Foreign Sales,1397.5,317.1,342.3,350.1,432.5,432.5
