Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,6.26%,15.39%,16.49%,(37.24%),(42.20%)
Other Revenue,(83.20%),243.27%,"6,745.38%",47.66%,(7.17%)
Total Revenues,6.92%,9.52%,15.28%,(37.15%),(43.34%)
Property Expenses,38.60%,(5.34%),104.83%,(3.54%),4.33%
Selling General & Admin Exp.,15.56%,12.69%,(5.15%),(8.14%),(5.93%)
Depreciation & Amortization,12.81%,14.04%,14.77%,7.24%,0.12%
Other Operating Expenses,-84.50%,"(13,207.71%)",,(42.73%),(75.79%)
Total Operating Expenses,19.13%,(27.02%),106.55%,(2.28%),(10.87%)
Operating Income,0.60%,31.91%,(15.67%),(66.11%),(72.91%)
Total Interest Expense,(38.18%),(1.65%),(6.04%),(10.93%),(12.23%)
Interest and Investment Income,,91.15%,493.19%,29.54%,(49.20%)
Net Interest Expenses,(37.98%),(1.52%),(4.70%),(10.64%),(13.18%)
Other Non Operating Income,(977.96%),(20.25%),-6.06%,(36.34%),
"EBT, Excl. Unusual Items",(16.18%),52.46%,(25.35%),,
Gain (Loss) on Sale of Assets,689.13%,(92.76%),37.44%,"1,100.74%",947.68%
Asset Writedown,,"(1,334.44%)",-91.91%,"(3,782.91%)","(3,782.91%)"
Other Unusual Items,-36.80%,"(5,487.06%)",(19.75%),-15.59%,-17.47%
"EBT, Incl. Unusual Items",0.90%,(1.47%),(32.43%),,
Income Tax Expense,333.82%,(4.75%),,,
Earnings From Continuing Operations,0.08%,(1.43%),(30.36%),,
Earnings Of Discontinued Operations,,19.14%,5.89%,,
Net Income to Company,16.88%,1.53%,(24.25%),,
Net Income,16.88%,1.53%,(24.25%),,
Pref. Dividends and Other Adj.,20.77%,(16.03%),(0.02%),0.00%,0.00%
NI to Common Incl Extra Items,16.42%,3.68%,(26.66%),,
NI to Common Excl. Extra Items,(2.37%),0.71%,(34.07%),,
Revenue Per Share,(4.78%),4.91%,11.66%,(36.50%),(41.33%)
Basic EPS,3.79%,(0.65%),(29.03%),,
Basic EPS - Continuing Ops,(12.96%),(3.53%),(36.11%),,
Basic Weighted Average Shares Outst.,12.32%,4.36%,3.30%,(0.98%),(3.42%)
Diluted EPS,3.79%,(0.73%),(29.03%),,
Diluted EPS - Continuing Ops,(12.96%),(3.62%),(36.11%),,
Diluted Weighted Average Shares Outst.,12.26%,4.33%,3.29%,(1.03%),(3.46%)
Normalized Basic EPS,(25.31%),46.15%,(27.69%),,
Normalized Diluted EPS,(25.38%),46.06%,(27.73%),,
Dividend Per Share,6.25%,5.88%,4.17%,(66.33%),(91.51%)
Payout Ratio,0.39%,8.16%,41.65%,,
FFO,7.48%,26.53%,(18.27%),(88.58%),(99.53%)
FFO (Diluted),9.78%,25.33%,(17.61%),(89.08%),
AFFO,23.46%,26.47%,(9.35%),(66.07%),
Funds Available for Distribution,23.46%,26.47%,(9.35%),(66.07%),
FFO Per Share (Basic),(4.37%),21.30%,(20.97%),(88.44%),(99.52%)
FFO Shares (Basic),12.32%,4.36%,3.30%,(0.98%),(3.42%)
FFO Per Share (Diluted),(3.98%),20.31%,(20.33%),(88.38%),
FFO Shares (Diluted),14.35%,4.21%,3.23%,(5.69%),(9.17%)
Adjusted FFO Per Share (Basic),9.96%,21.17%,(12.29%),(65.75%),
Adjusted FFO Per Share (Diluted),7.94%,21.42%,(12.12%),(64.05%),
EBITDA,3.63%,26.88%,(8.10%),(43.49%),(48.49%)
EBITA,0.70%,31.86%,(15.34%),(65.00%),(73.17%)
EBIT,0.60%,31.91%,(15.67%),(66.11%),(72.91%)
EBITDAR,,,,(40.90%),
Effective Tax Rate,321.64%,(2.95%),,,(434.46%)
Normalized Net Income,(16.18%),52.46%,(25.35%),,
Interest Capitalized,(10.80%),(0.01%),(47.86%),(75.22%),
Interest on Long-Term Debt,32.78%,1.80%,2.32%,8.43%,
