Income Statement,Jul 2017,Jul 2018,Jul 2019,Jul 2020,TTM
Revenues,58.16%,14.93%,(5.57%),3.85%,3.24%
Total Revenues,58.16%,14.93%,(5.57%),3.85%,3.24%
Cost Of Revenues,60.88%,15.49%,(4.66%),3.21%,2.53%
Gross Profit,43.68%,11.60%,(11.18%),8.09%,7.66%
Selling General & Admin Expenses,37.08%,13.72%,12.27%,18.30%,(3.98%)
Total Operating Expenses,44.74%,10.09%,14.86%,19.56%,(2.71%)
Operating Income,42.77%,12.91%,(33.11%),(8.51%),25.95%
Interest Expense,(511.18%),-46.69%,"(1,213.13%)",(57.57%),-17.37%
Interest And Investment Income,24.23%,132.72%,276.16%,(61.44%),(76.35%)
Net Interest Expenses,(937.34%),-65.49%,"(1,875.39%)",(73.58%),-13.70%
Other Non Operating Income (Expenses),355.72%,9.68%,17.74%,3.44%,(39.64%)
"EBT, Excl. Unusual Items",41.78%,13.78%,(42.98%),(21.61%),40.27%
"EBT, Incl. Unusual Items",45.15%,13.78%,(70.83%),47.78%,88.28%
Income Tax Expense,45.37%,11.39%,(74.27%),(1.32%),73.81%
Earnings From Continuing Operations,45.05%,14.94%,(69.21%),67.13%,91.98%
Net Income to Company,45.90%,14.94%,(69.21%),67.13%,91.98%
Minority Interest,,,,96.30%,(89.56%)
Net Income,45.90%,14.94%,(69.02%),67.30%,90.49%
NI to Common Incl Extra Items,45.90%,14.94%,(69.02%),67.30%,90.49%
NI to Common Excl. Extra Items,45.05%,14.94%,(69.02%),67.30%,90.49%
Revenue Per Share,57.84%,14.69%,(7.73%),1.47%,2.95%
Basic EPS,45.61%,14.69%,(69.74%),63.62%,89.96%
Basic EPS - Continuing Ops,44.72%,14.69%,(69.74%),63.62%,89.96%
Basic Weighted Average Shares Outst.,0.20%,0.21%,2.34%,2.35%,0.28%
Diluted EPS,45.29%,14.81%,(69.66%),62.75%,89.22%
Diluted EPS - Continuing Ops,44.40%,14.81%,(69.66%),62.75%,89.22%
Diluted Weighted Average Shares Outst.,0.32%,0.18%,2.22%,2.54%,0.51%
Normalized Basic EPS,41.36%,13.46%,(44.07%),(23.00%),38.87%
Normalized Diluted EPS,41.44%,13.59%,(44.05%),(23.13%),38.55%
Dividend Per Share,10.00%,12.12%,5.41%,2.56%,2.53%
Payout Ratio,(24.46%),(2.26%),248.22%,(37.26%),(46.03%)
EBITDA,47.99%,10.22%,(21.19%),2.00%,18.98%
EBITA,48.49%,10.18%,(27.47%),(2.88%),22.42%
EBIT,42.77%,12.91%,(33.11%),(8.51%),25.95%
EBITDAR,47.54%,10.20%,(20.39%),2.61%,
Effective Tax Rate,0.14%,(2.08%),(11.80%),(33.23%),(7.68%)
Normalized Net Income,41.78%,13.78%,(42.78%),(21.19%),39.26%
Interest on Long-Term Debt,511.18%,,,65.12%,
R&D Expense From Footnotes,,(22.04%),366.95%,103.85%,103.85%
Foreign Sales,,,161.30%,39.30%,
