Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,12.45%,10.54%,1.46%,(1.47%),3.88%
Total Revenues,12.45%,10.54%,1.46%,(1.47%),3.88%
Cost Of Revenues,12.31%,12.86%,2.40%,(2.11%),2.00%
Gross Profit,12.89%,3.58%,(1.64%),0.74%,10.27%
Selling General & Admin Expenses,17.01%,0.89%,7.65%,(11.20%),(11.40%)
R&D Expenses,3.66%,4.71%,(2.25%),(5.75%),(5.81%)
Other Operating Expense/(Income),816.67%,(47.27%),27.59%,(13.51%),(44.44%)
Total Operating Expenses,22.59%,(1.97%),7.27%,(10.75%),(11.18%)
Operating Income,4.28%,9.36%,(9.96%),13.54%,32.78%
Interest Expense,-0.93%,(20.56%),(11.63%),-2.78%,(6.67%)
Net Interest Expenses,-0.93%,(20.56%),(11.63%),-2.78%,(6.67%)
Currency Exchange Gains (Loss),(100.00%),,31.58%,(44.00%),11.11%
Other Non Operating Income (Expenses),,,0.00%,,0.00%
"EBT, Excl. Unusual Items",5.35%,11.06%,(12.38%),14.59%,36.72%
"EBT, Incl. Unusual Items",(4.77%),25.76%,(15.93%),,
Income Tax Expense,43.09%,(42.01%),19.23%,(30.65%),(4.09%)
Earnings From Continuing Operations,(27.32%),88.62%,(25.96%),,
Net Income to Company,(27.32%),88.62%,(25.96%),,
Minority Interest,-83.33%,(100.00%),,,0.00%
Net Income,(26.46%),88.58%,(25.69%),,
NI to Common Incl Extra Items,(26.46%),88.58%,(25.69%),,
NI to Common Excl. Extra Items,(26.46%),88.58%,(25.69%),,
Revenue Per Share,15.39%,11.63%,2.58%,(0.93%),5.11%
Basic EPS,(24.65%),90.60%,(24.92%),,
Basic EPS - Continuing Ops,(24.65%),90.60%,(24.92%),,
Basic Weighted Average Shares Outst.,(2.53%),(0.99%),(1.09%),(0.55%),(1.17%)
Diluted EPS,(25.22%),91.76%,(24.74%),,
Diluted EPS - Continuing Ops,(25.22%),91.76%,(24.74%),,
Diluted Weighted Average Shares Outst.,(1.91%),(1.59%),(1.17%),(1.36%),(1.03%)
Normalized Basic EPS,9.39%,11.98%,(11.07%),15.60%,39.39%
Normalized Diluted EPS,8.70%,12.79%,(10.95%),16.53%,39.20%
Dividend Per Share,9.46%,4.94%,5.88%,8.89%,8.70%
Payout Ratio,49.42%,(45.19%),38.96%,,
EBITDA,5.78%,12.52%,(4.70%),10.61%,22.93%
EBITA,4.92%,11.22%,(9.42%),12.61%,30.73%
EBIT,4.28%,9.36%,(9.96%),13.54%,32.78%
EBITDAR,6.08%,13.19%,(4.99%),9.06%,
Effective Tax Rate,50.24%,(53.88%),41.83%,,
Normalized Net Income,6.72%,10.85%,(12.00%),15.08%,37.76%
Interest on Long-Term Debt,,,,50.00%,
R&D Expense From Footnotes,3.66%,4.71%,(2.25%),(5.75%),(5.81%)
Foreign Sales,10.21%,27.58%,(1.08%),(2.94%),
