Income Statement,Sep 2017,Sep 2018,Aug 2019,Aug 2020,TTM
Revenues,0.85%,10.95%,4.99%,(5.10%),(5.73%)
Total Revenues,0.85%,10.95%,4.99%,(5.10%),(5.73%)
Cost Of Revenues,1.71%,13.08%,6.67%,(4.28%),(5.37%)
Gross Profit,(0.20%),8.30%,2.81%,(6.20%),(6.23%)
Selling General & Admin Expenses,(0.62%),6.39%,(3.04%),(3.10%),(4.93%)
Depreciation & Amortization,,,,5.69%,5.69%
Total Operating Expenses,(0.62%),6.39%,3.69%,(2.52%),(4.23%)
Operating Income,0.81%,12.86%,0.81%,(14.71%),(11.14%)
Interest Expense,(113.02%),(16.92%),(16.78%),-1.28%,(13.25%)
Interest And Investment Income,0.61%,(1.67%),(19.94%),(35.71%),8.15%
Net Interest Expenses,(127.29%),(17.96%),(18.50%),-0.20%,(13.34%)
Other Non Operating Income (Expenses),(23.81%),,-9.67%,-69.70%,
"EBT, Excl. Unusual Items",(1.01%),12.34%,0.23%,(15.22%),(11.92%)
"EBT, Incl. Unusual Items",(1.01%),10.38%,(5.68%),(12.76%),(29.84%)
Income Tax Expense,(2.81%),(43.64%),22.56%,(12.55%),(30.33%)
Earnings From Continuing Operations,0.09%,42.26%,(12.28%),(12.83%),(29.67%)
Net Income to Company,0.09%,42.26%,(12.28%),(12.83%),(29.67%)
Minority Interest,,,,,"(7,006.25%)"
Net Income,0.09%,42.26%,(12.26%),(13.07%),(30.09%)
Preferred Dividend and Other Adjustments,(32.23%),(38.31%),(68.42%),,
NI to Common Incl Extra Items,0.22%,42.47%,(12.19%),(13.03%),(30.07%)
NI to Common Excl. Extra Items,0.22%,42.47%,(12.19%),(13.03%),(30.07%)
Revenue Per Share,8.55%,11.41%,7.10%,(5.49%),(6.40%)
Basic EPS,7.90%,43.02%,(10.50%),(13.44%),(30.56%)
Basic EPS - Continuing Ops,7.90%,43.02%,(10.50%),(13.44%),(30.56%)
Basic Weighted Average Shares Outst.,(7.09%),(0.42%),(1.97%),0.41%,0.71%
Diluted EPS,7.47%,43.19%,(10.34%),(13.27%),(30.77%)
Diluted EPS - Continuing Ops,7.47%,43.19%,(10.34%),(13.27%),(30.77%)
Diluted Weighted Average Shares Outst.,(6.72%),(0.46%),(2.11%),0.24%,0.74%
Normalized Basic EPS,6.67%,12.92%,2.38%,(15.86%),(12.99%)
Normalized Diluted EPS,6.24%,12.78%,2.34%,(15.76%),(13.02%)
Dividend Per Share,4.65%,23.33%,18.92%,13.64%,4.17%
Payout Ratio,(3.46%),(13.75%),32.39%,31.48%,49.96%
EBITDA,(1.32%),11.07%,1.16%,(12.03%),(9.18%)
EBITA,(0.82%),13.18%,1.07%,(14.39%),(10.90%)
EBIT,0.81%,12.86%,0.81%,(14.71%),(11.14%)
EBITDAR,(1.47%),,,,
Effective Tax Rate,(1.83%),(48.94%),29.93%,0.24%,(0.71%)
Normalized Net Income,(1.01%),12.34%,0.26%,(15.49%),(12.38%)
Interest on Long-Term Debt,,,16.78%,(1.28%),
Foreign Sales,,,,22.08%,
