Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,434.0,527.5,631.6,780.8,897.3,936.3
Total Revenues,434.0,527.5,631.6,780.8,897.3,936.3
Cost Of Revenues,276.7,328.1,385.5,464.1,516.9,527.8
Gross Profit,157.3,199.4,246.1,316.7,380.3,408.5
Selling General & Admin Expenses,116.1,140.8,163.2,205.3,240.6,244.5
R&D Expenses,44.2,39.9,46.9,56.4,59.1,60.7
Total Operating Expenses,160.3,180.7,210.2,261.6,299.7,305.3
Operating Income,(3.0),18.7,35.9,55.1,80.6,103.2
Interest Expense,(0.2),(0.4),(9.5),(22.3),(2.9),(2.8)
Interest And Investment Income,0.5,0.5,1.9,1.4,0.8,0.2
Net Interest Expenses,0.3,0.1,(7.6),(20.8),(2.1),(2.5)
Currency Exchange Gains (Loss),(1.9),(2.3),(3.3),(1.8),(3.4),(1.9)
Other Non Operating Income (Expenses),0.1,0.8,(0.0),0.4,2.0,2.3
"EBT, Excl. Unusual Items",(5.6),16.8,25.0,32.9,77.1,101.0
"EBT, Incl. Unusual Items",(19.2),14.1,20.5,9.4,75.0,96.5
Income Tax Expense,66.3,3.4,(47.3),(0.1),9.9,17.7
Earnings From Continuing Operations,(85.5),10.7,67.7,9.6,65.0,78.9
Earnings Of Discontinued Operations,16.0,51.9,48.7,427.9,(0.2),(1.0)
Net Income to Company,(69.5),62.6,116.5,437.4,64.9,77.8
Minority Interest,,,0.1,,,
Net Income,(69.5),62.6,116.6,437.4,64.9,77.8
NI to Common Incl Extra Items,(69.5),62.6,116.6,437.4,64.9,77.8
NI to Common Excl. Extra Items,(85.5),10.7,67.8,9.6,65.0,78.9
Revenue Per Share,$6.34,$7.58,$8.96,$10.85,$12.20,$12.68
Basic EPS,($1.01),$0.90,$1.65,$6.08,$0.88,$1.05
Basic EPS - Continuing Ops,($1.25),$0.15,$0.96,$0.13,$0.88,$1.07
Basic Weighted Average Shares Outst.,68.5,69.6,70.5,72.0,73.6,73.8
Diluted EPS,($1.02),$0.89,$1.64,$6.04,$0.88,$1.05
Diluted EPS - Continuing Ops,($1.25),$0.15,$0.95,$0.13,$0.88,$1.06
Diluted Weighted Average Shares Outst.,68.5,70.5,70.9,72.4,73.9,74.0
Normalized Basic EPS,($0.05),$0.15,$0.22,$0.29,$0.66,$0.86
Normalized Diluted EPS,($0.05),$0.15,$0.22,$0.28,$0.65,$0.85
Dividend Per Share,$0.40,$0.40,$0.40,$0.40,$0.40,$0.40
Payout Ratio,NM,44.61%,24.26%,6.61%,45.51%,37.99%
EBITDA,24.0,45.9,72.6,109.6,146.1,168.0
EBITA,11.8,35.8,60.1,90.3,122.4,144.1
EBIT,(3.0),18.7,35.9,55.1,80.6,103.2
EBITDAR,28.5,49.9,,,157.9,
Effective Tax Rate,NM,24.0%,NM,NM,13.3%,18.3%
Normalized Net Income,(3.5),10.5,15.7,20.6,48.2,63.1
Interest on Long-Term Debt,,,,,0.1,
R&D Expense From Footnotes,48.4,43.8,51.8,66.8,70.1,71.5
Foreign Sales,277.1,354.6,398.9,455.5,560.0,
