Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,75.91%,(10.57%),(8.10%),(24.97%),(14.00%)
Total Revenues,75.91%,(10.57%),(8.10%),(24.97%),(14.00%)
Cost Of Revenues,75.60%,(12.30%),(6.28%),(20.59%),(4.98%)
Gross Profit,76.10%,(9.43%),(9.25%),(27.84%),(19.97%)
Selling General & Admin Expenses,101.73%,(9.88%),(9.16%),(12.99%),(7.68%)
Total Operating Expenses,107.24%,(9.96%),(8.52%),(12.47%),(4.49%)
Operating Income,(43.52%),(1.96%),(18.69%),,
Interest Expense,(94.51%),(1.41%),(13.52%),-7.40%,(8.14%)
Interest And Investment Income,7.32%,209.09%,41.18%,(71.88%),(49.07%)
Net Interest Expenses,(97.79%),-2.83%,(11.72%),-2.10%,(11.08%)
Currency Exchange Gains (Loss),,,4.11%,,(43.94%)
Other Non Operating Income (Expenses),,-23.66%,(127.46%),-91.95%,-92.16%
"EBT, Excl. Unusual Items",(83.86%),19.60%,,"(4,237.32%)",(306.78%)
"EBT, Incl. Unusual Items",,-40.05%,(900.10%),-62.80%,-51.70%
Income Tax Expense,(542.33%),-87.59%,(70.19%),(589.23%),(436.94%)
Earnings From Continuing Operations,,-9.08%,(973.86%),-71.99%,-70.03%
Earnings Of Discontinued Operations,,,(48.40%),(27.93%),
Net Income to Company,,-67.93%,"(2,849.61%)",-73.40%,-61.29%
Minority Interest,(6.28%),(73.00%),-64.39%,-72.60%,
Net Income,,-60.02%,"(2,141.82%)",-73.40%,-61.56%
Preferred Dividend and Other Adjustments,,,,,84.62%
NI to Common Incl Extra Items,,-60.02%,"(2,141.82%)",-73.23%,-59.75%
NI to Common Excl. Extra Items,,-4.48%,(868.31%),-71.82%,-68.57%
Revenue Per Share,(5.47%),(23.31%),(8.32%),(25.75%),(15.07%)
Basic EPS,,-65.89%,"(2,090.23%)",-73.52%,-60.24%
Basic EPS - Continuing Ops,,-18.49%,(862.71%),-72.12%,-68.96%
Basic Weighted Average Shares Outst.,86.05%,16.63%,0.20%,1.05%,1.25%
Diluted EPS,,-65.57%,"(2,090.84%)",-73.51%,-60.08%
Diluted EPS - Continuing Ops,,-18.18%,(862.96%),-72.12%,-68.80%
Diluted Weighted Average Shares Outst.,81.48%,16.63%,0.20%,1.05%,1.25%
Normalized Basic EPS,(95.61%),(48.31%),,"(1,607.89%)",(239.63%)
Normalized Diluted EPS,(95.55%),(48.31%),,"(1,607.89%)",(239.63%)
Dividend Per Share,160.00%,(23.08%),0.00%,(25.00%),(75.00%)
EBITDA,11.44%,1.67%,(6.06%),(73.92%),(76.39%)
EBITA,(6.48%),(6.33%),(9.86%),,
EBIT,(43.52%),(1.96%),(18.69%),,
EBITDAR,20.16%,5.51%,(6.20%),(64.15%),
Effective Tax Rate,,,,,"1,011.60%"
Normalized Net Income,(91.89%),(42.73%),,"(1,556.82%)",(243.89%)
R&D Expense From Footnotes,191.82%,(22.34%),(8.88%),(5.18%),(5.18%)
Foreign Sales,75.55%,,,,
