Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,9.57%,14.32%,31.78%,(20.73%),(14.56%)
Total Revenues,7.32%,14.32%,31.78%,(20.73%),(14.56%)
Cost Of Revenues,8.99%,14.28%,37.18%,(12.79%),(11.51%)
Gross Profit,3.39%,14.42%,18.40%,(43.59%),(24.20%)
Selling General & Admin Expenses,5.16%,8.50%,34.66%,(5.90%),(0.25%)
Total Operating Expenses,5.16%,8.50%,34.66%,(5.90%),(0.25%)
Operating Income,2.54%,17.32%,11.00%,(64.39%),(39.04%)
Interest Expense,(12.81%),-18.66%,(76.81%),(12.83%),(4.71%)
Net Interest Expenses,(12.81%),-18.66%,(76.81%),(12.83%),(4.71%)
Other Non Operating Income (Expenses),,(46.15%),42.86%,(90.00%),(80.00%)
"EBT, Excl. Unusual Items",6.74%,28.60%,6.55%,(86.86%),(41.68%)
"EBT, Incl. Unusual Items",(30.46%),128.20%,(16.03%),(95.93%),(34.28%)
Income Tax Expense,,,10.72%,,(41.86%)
Earnings From Continuing Operations,26.58%,49.18%,(23.55%),(90.47%),(31.49%)
Earnings Of Discontinued Operations,58.77%,840.33%,,"(3,875.00%)","(3,050.00%)"
Net Income to Company,29.97%,151.10%,(61.11%),,
Minority Interest,,,,(33.33%),(75.00%)
Net Income,29.97%,151.10%,(61.03%),,
Preferred Dividend and Other Adjustments,(90.00%),,,,
NI to Common Incl Extra Items,31.09%,151.28%,(61.03%),,
NI to Common Excl. Extra Items,27.80%,49.30%,(23.38%),(90.35%),(31.66%)
Revenue Per Share,12.11%,30.65%,35.73%,(19.73%),(13.48%)
Basic EPS,37.08%,187.62%,(59.85%),,
Basic EPS - Continuing Ops,33.56%,70.71%,(21.07%),(90.23%),(30.79%)
Basic Weighted Average Shares Outst.,(4.26%),(12.50%),(2.91%),(1.25%),(1.25%)
Diluted EPS,36.78%,189.47%,(60.13%),,
Diluted EPS - Continuing Ops,33.51%,72.16%,(21.64%),(90.41%),(29.78%)
Diluted Weighted Average Shares Outst.,(4.95%),(13.33%),(2.40%),(1.23%),(2.35%)
Normalized Basic EPS,11.38%,46.91%,10.18%,(86.56%),(41.07%)
Normalized Diluted EPS,12.09%,48.13%,9.59%,(86.56%),(40.40%)
Dividend Per Share,15.23%,6.47%,7.59%,7.24%,7.06%
Payout Ratio,(13.40%),(56.09%),140.26%,,
EBITDA,(2.83%),(1.96%),16.91%,(45.68%),(24.66%)
EBITA,0.91%,16.20%,10.19%,(63.01%),(38.12%)
EBIT,2.54%,17.32%,11.00%,(64.39%),(39.04%)
EBITDAR,,,,(45.15%),
Effective Tax Rate,,,31.88%,,(11.53%)
Normalized Net Income,6.74%,28.60%,6.80%,(86.73%),(41.81%)
R&D Expense From Footnotes,1.74%,(58.29%),20.55%,6.82%,0.00%
