Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,44.72%,(4.14%),(2.84%),(13.80%),0.00%
Other Revenue,(23.74%),28.47%,(23.90%),,0.00%
Total Revenues,(3.77%),(1.50%),(5.06%),(22.27%),0.00%
Property Expenses,(2.62%),(6.83%),(0.10%),(5.43%),0.00%
Selling General & Admin Exp.,0.08%,(14.45%),(6.32%),34.04%,0.00%
Depreciation & Amortization,(3.75%),(2.38%),1.00%,(3.36%),0.00%
Total Operating Expenses,(3.02%),(5.15%),0.20%,(3.24%),0.00%
Operating Income,(5.69%),8.20%,(17.32%),(76.07%),0.00%
Total Interest Expense,(4.95%),(6.51%),(9.73%),(5.01%),0.00%
Interest and Investment Income,,,,116.39%,0.00%
Net Interest Expenses,(4.95%),(6.51%),-24.44%,-45.35%,0.00%
"EBT, Excl. Unusual Items",(18.24%),10.77%,(6.96%),,0.00%
Gain (Loss) on Sale of Assets,(89.78%),,-62.58%,(471.94%),0.00%
Other Unusual Items,,,-98.19%,,
"EBT, Incl. Unusual Items",(68.09%),(63.12%),59.32%,,0.00%
Income Tax Expense,"2,059.83%",,,,0.00%
Earnings From Continuing Operations,(70.86%),(57.34%),48.69%,,0.00%
Net Income to Company,(70.86%),(57.34%),48.69%,,0.00%
Minority Interest,-58.93%,-42.40%,-35.95%,,0.00%
Net Income,(71.73%),(58.93%),61.31%,,0.00%
Pref. Dividends and Other Adj.,(2.82%),46.10%,7.59%,(11.93%),0.00%
NI to Common Incl Extra Items,(71.84%),(59.47%),62.32%,,0.00%
NI to Common Excl. Extra Items,(71.84%),(59.47%),62.32%,,0.00%
Revenue Per Share,(0.55%),(1.00%),(5.23%),(24.89%),0.00%
Basic EPS,(70.89%),(59.08%),61.09%,,0.00%
Basic EPS - Continuing Ops,(70.89%),(59.08%),61.09%,,0.00%
Basic Weighted Average Shares Outst.,(3.22%),(0.52%),0.14%,3.46%,0.00%
Diluted EPS,(71.02%),(59.08%),61.09%,,0.00%
Diluted EPS - Continuing Ops,(71.02%),(59.08%),61.09%,,0.00%
Diluted Weighted Average Shares Outst.,(3.27%),(0.54%),0.14%,3.46%,0.00%
Normalized Basic EPS,18.17%,26.35%,(2.82%),(91.18%),0.00%
Normalized Diluted EPS,18.14%,26.35%,(2.82%),(91.18%),0.00%
Dividend Per Share,4.36%,3.48%,1.01%,(48.33%),0.00%
Payout Ratio,255.57%,129.97%,(37.26%),,0.00%
FFO,(9.25%),(3.16%),(4.87%),(36.77%),0.00%
FFO Payout Ratio %,10.76%,(2.46%),6.37%,(38.34%),0.00%
AFFO,(9.25%),(3.16%),(4.87%),(36.77%),
Funds Available for Distribution,(9.25%),(3.16%),(4.87%),(36.77%),
FFO Per Share (Basic),(6.19%),(2.73%),(5.14%),(38.88%),0.00%
FFO Shares (Basic),(3.20%),(0.52%),0.17%,3.40%,0.00%
FFO Per Share (Diluted),(6.21%),(2.73%),(5.14%),(38.88%),
FFO Shares (Diluted),(3.24%),(0.54%),0.17%,3.40%,
Adjusted FFO Per Share (Basic),(6.19%),(2.73%),(5.14%),(38.88%),
Adjusted FFO Per Share (Diluted),(6.21%),(2.73%),(5.14%),(38.88%),
EBITDA,(2.86%),2.38%,(8.38%),(34.48%),0.00%
EBITA,(5.42%),4.97%,(17.66%),(74.08%),0.00%
EBIT,(5.69%),8.20%,(17.32%),(76.07%),0.00%
Effective Tax Rate,"6,666.77%",,,(88.12%),0.00%
Normalized Net Income,13.29%,25.70%,(3.23%),(90.80%),0.00%
Interest Capitalized,27.57%,17.19%,(37.66%),(45.42%),
Interest on Long-Term Debt,6.29%,7.15%,6.17%,2.71%,
