Income Statement,Nov 2016,Nov 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,3582.9,4356.3,4533.8,4537.7,4167.7,4233.3
Other Revenues,11.7,12.3,13.2,15.1,15.5,15.6
Total Revenues,3594.6,4368.5,4547.0,4552.7,4183.2,4249.0
Cost Of Revenues,2995.5,3620.4,3711.5,3683.7,3334.7,3349.7
Gross Profit,599.1,748.1,835.5,869.0,848.5,899.3
Selling General & Admin Expenses,389.4,438.3,444.2,497.4,464.1,460.0
Total Operating Expenses,389.4,438.3,444.2,497.4,464.1,460.0
Operating Income,209.7,309.8,391.4,371.7,384.4,439.4
Interest Expense,(5.9),(0.6),,,,
Interest And Investment Income,0.5,1.2,3.5,2.2,2.6,2.3
Net Interest Expenses,(5.4),0.6,3.5,2.2,2.6,2.3
"EBT, Excl. Unusual Items",202.1,309.0,397.0,372.3,399.4,452.5
"EBT, Incl. Unusual Items",149.3,290.0,368.0,348.2,364.0,418.7
Income Tax Expense,43.7,109.4,197.6,79.4,67.8,85.2
Earnings From Continuing Operations,105.6,180.6,170.4,268.8,296.2,333.5
Net Income to Company,105.6,180.6,170.4,268.8,296.2,333.5
Net Income,105.6,180.6,170.4,268.8,296.2,333.5
Preferred Dividend and Other Adjustments,0.6,1.2,1.0,1.6,1.5,1.6
NI to Common Incl Extra Items,105.1,179.4,169.4,267.1,294.7,331.9
NI to Common Excl. Extra Items,105.1,179.4,169.4,267.1,294.7,331.9
Revenue Per Share,$41.94,$50.89,$51.80,$51.74,$46.24,$46.73
Basic EPS,$1.23,$2.09,$1.93,$3.04,$3.26,$3.65
Basic EPS - Continuing Ops,$1.23,$2.09,$1.93,$3.04,$3.26,$3.65
Basic Weighted Average Shares Outst.,85.7,85.8,87.8,88.0,90.5,90.9
Diluted EPS,$1.12,$1.85,$1.71,$2.85,$3.13,$3.52
Diluted EPS - Continuing Ops,$1.12,$1.85,$1.71,$2.85,$3.13,$3.52
Diluted Weighted Average Shares Outst.,96.3,98.3,101.1,93.8,94.1,94.3
Normalized Basic EPS,$1.47,$2.25,$2.83,$2.64,$2.76,$3.11
Normalized Diluted EPS,$1.31,$1.96,$2.45,$2.48,$2.65,$3.00
Dividend Per Share,$0.10,$0.10,$0.10,$0.23,$0.42,$0.48
Payout Ratio,8.13%,4.79%,5.22%,7.58%,12.85%,13.16%
EBITDA,213.3,312.6,393.9,398.8,412.8,467.5
EBITA,209.7,309.8,391.4,371.7,384.4,439.4
EBIT,209.7,309.8,391.4,371.7,384.4,439.4
EBITDAR,220.8,320.7,,,430.5,
Effective Tax Rate,29.3%,37.7%,53.7%,22.8%,18.6%,20.3%
Normalized Net Income,126.3,193.1,248.1,232.7,249.6,282.8
Interest Capitalized,179.6,170.9,149.7,143.4,124.1,
Interest on Long-Term Debt,,171.5,149.7,143.4,124.1,
