Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,(7.95%),2.06%,6.67%,(6.48%),(13.08%)
Total Interest Income,(3.97%),2.99%,6.69%,(10.80%),(16.90%)
Interest On Deposits,(5.45%),23.33%,44.42%,(28.44%),(43.03%)
Total Interest On Borrowings,(3.91%),2.99%,(19.06%),(10.31%),(10.06%)
Total Interest Expense,(4.71%),13.57%,16.80%,(22.97%),(33.43%)
Net Interest Income,(3.49%),(3.81%),(0.98%),0.08%,(2.38%)
Gain (Loss) on Sale of Assets,(43.21%),164.27%,(37.58%),30.10%,24.94%
Gain (Loss) on Sale of Invest. & Securities,253.33%,(73.76%),(92.16%),"3,075.00%",887.02%
Total Other Non Interest Income,15.48%,(1.38%),(4.07%),1.51%,(0.07%)
Total Non Interest Income,15.04%,0.74%,(7.80%),6.00%,10.36%
Revenue Before Loan Losses,5.91%,(1.30%),(4.82%),3.31%,4.61%
Provision For Loan Losses,(41.14%),49.21%,(35.20%),622.29%,(71.44%)
Total Revenues,10.16%,(3.74%),(2.54%),(27.46%),29.87%
Occupancy Expense,4.35%,3.36%,(21.57%),17.60%,14.09%
Total Selling General & Admin Expenses,4.57%,5.97%,8.11%,8.41%,6.05%
Total Other Non Interest Expense,(8.42%),(6.46%),(3.89%),13.12%,5.29%
Total Non Interest Expense,(3.91%),(2.61%),(3.29%),10.63%,4.74%
"EBT, Excl. Unusual Items",65.87%,(6.32%),(0.77%),,255.52%
Restructuring Charges,(46.41%),,,(146.36%),(146.36%)
Impairment of Goodwill,-27.84%,,,,-59.27%
Asset Writedown,-90.91%,,,-42.07%,-42.07%
Other Unusual Items,"(1,660.00%)",-82.45%,-98.70%,,
"EBT, Incl. Unusual Items",816.75%,232.46%,(2.06%),,
Income Tax Expense,,,(42.69%),,
Earnings From Continuing Operations,,82.00%,12.14%,,
Net Income to Company,,(4.51%),18.52%,,
Net Income,,(4.51%),18.52%,,
Preferred Dividend and Other Adjustments,,92.86%,0.00%,64.55%,32.60%
Net Income to Common Incl Extra Items,,(6.59%),19.34%,,
Net Income to Common Excl. Extra Items,,81.57%,12.64%,,
Revenue Per Share,36.95%,32.78%,18.81%,(28.87%),26.36%
Basic EPS,,29.06%,45.47%,,
Basic EPS - Continuing Ops,,150.13%,37.40%,,
Basic Weighted Average Shares Outst.,(19.60%),(27.50%),(17.98%),1.97%,2.78%
Diluted EPS,,29.37%,46.13%,,
Diluted EPS - Continuing Ops,,151.32%,37.96%,,
Diluted Weighted Average Shares Outst.,(18.78%),(27.55%),(18.40%),1.53%,2.85%
Normalized Basic EPS,105.74%,29.10%,20.94%,,245.91%
Normalized Diluted EPS,103.65%,29.27%,21.78%,,245.67%
Dividend Per Share,3.33%,46.77%,53.85%,0.00%,0.00%
Payout Ratio,,6.77%,6.81%,,0.00%
Effective Tax Rate,,,(41.50%),(17.33%),201.38%
Normalized Net Income,65.87%,(6.32%),(0.77%),,255.52%
Interest on Long-Term Debt,,(20.26%),(11.84%),(4.94%),
Foreign Sales,(52.35%),19.49%,(75.32%),84.21%,
