Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,11.16%,13.12%,8.05%,(10.97%),(11.96%)
Total Interest Income,10.90%,13.40%,8.81%,(9.99%),(11.16%)
Interest On Deposits,29.31%,51.77%,50.24%,(46.85%),(59.62%)
Total Interest On Borrowings,(5.11%),12.98%,11.89%,(3.36%),(4.41%)
Total Interest Expense,13.57%,36.96%,38.15%,(35.75%),(45.15%)
Net Interest Income,10.48%,9.58%,2.84%,(2.96%),(2.00%)
Trust Income,8.79%,5.89%,6.77%,6.07%,6.71%
Total Mortgage Banking Activities,2.64%,(4.53%),21.41%,128.62%,146.47%
Gain (Loss) on Sale of Invest. & Securities,,(483.14%),-88.71%,(138.59%),
Total Other Non Interest Income,74.07%,6.85%,7.01%,(8.70%),(7.20%)
Total Non Interest Income,0.88%,0.57%,14.02%,8.59%,28.20%
Revenue Before Loan Losses,7.91%,7.32%,5.46%,(0.03%),5.62%
Provision For Loan Losses,76.79%,101.27%,(30.02%),134.33%,(61.83%)
Total Revenues,6.61%,4.38%,7.61%,(5.31%),11.73%
Salaries And Other Employee Benefits,2.94%,3.62%,2.50%,2.86%,2.82%
Amort. of Goodwill & Intang. Assets,,,,23.89%,13.27%
Occupancy Expense,70.17%,3.96%,(38.39%),1.92%,1.63%
Total Selling General & Admin Expenses,(9.86%),13.48%,19.92%,(2.50%),(2.55%)
Total Other Non Interest Expense,15.21%,4.02%,8.61%,7.45%,23.24%
Total Non Interest Expense,5.50%,5.63%,2.62%,2.19%,3.78%
"EBT, Excl. Unusual Items",9.19%,1.58%,19.25%,(20.37%),30.09%
Restructuring Charges,,,,-41.05%,-41.05%
Other Unusual Items,,,,-33.47%,(710.01%)
"EBT, Incl. Unusual Items",12.58%,(0.63%),13.31%,(23.39%),15.39%
Income Tax Expense,34.48%,(60.80%),53.19%,(35.74%),18.04%
Earnings From Continuing Operations,6.27%,21.33%,8.61%,(21.34%),14.99%
Net Income to Company,6.27%,21.33%,8.61%,(21.34%),14.99%
Net Income,6.27%,21.33%,8.61%,(21.34%),14.99%
Net Income to Common Incl Extra Items,6.27%,21.33%,8.61%,(22.28%),12.57%
Net Income to Common Excl. Extra Items,6.27%,21.33%,8.61%,(22.28%),12.57%
Revenue Per Share,5.65%,3.92%,13.01%,(2.74%),13.93%
Basic EPS,5.70%,21.24%,13.96%,(20.34%),14.78%
Basic EPS - Continuing Ops,5.70%,21.24%,13.96%,(20.34%),14.78%
Basic Weighted Average Shares Outst.,0.81%,0.39%,(4.84%),(2.71%),(1.93%)
Diluted EPS,5.38%,20.41%,14.41%,(20.00%),14.36%
Diluted EPS - Continuing Ops,5.38%,20.41%,14.41%,(20.00%),14.36%
Diluted Weighted Average Shares Outst.,0.87%,0.35%,(4.96%),(2.80%),(1.96%)
Normalized Basic EPS,7.95%,1.24%,25.34%,(18.13%),32.64%
Normalized Diluted EPS,8.64%,1.82%,26.20%,(17.70%),32.68%
Dividend Per Share,12.82%,9.09%,8.33%,0.00%,1.92%
Payout Ratio,9.00%,(8.05%),(5.18%),25.25%,
Effective Tax Rate,19.44%,(60.55%),35.18%,(16.11%),2.30%
Normalized Net Income,9.19%,1.58%,19.25%,(20.37%),30.09%
Interest on Long-Term Debt,(10.46%),(3.26%),(3.95%),25.49%,
